Date,EU SMALL GROWTH
2007-05-31,1000.0
2007-06-01,1005.788485830061
2007-06-04,1001.0433317369738
2007-06-05,998.7385018417242
2007-06-06,979.6958657248548
2007-06-07,962.7549852318
2007-06-08,962.3330986078566
2007-06-11,972.1533083882756
2007-06-12,967.1156067610767
2007-06-13,968.4312604462946
2007-06-14,981.0816169972156
2007-06-15,989.835295713635
2007-06-18,989.7137000787978
2007-06-19,986.4583601433762
2007-06-20,990.888810337659
2007-06-21,979.8377860429691
2007-06-22,978.3602153591346
2007-06-25,973.7864963374303
2007-06-26,969.8591880750452
2007-06-27,966.2095299940972
2007-06-28,977.6332049824131
2007-06-29,983.1928507810377
2007-07-02,985.0974447016717
2007-07-03,995.509570413964
2007-07-04,1001.5822115322518
2007-07-05,998.4151291986074
2007-07-06,1003.8085647268881
2007-07-09,1006.1960696149813
2007-07-10,998.396938878777
2007-07-11,993.8472277279814
2007-07-12,1005.0162032430328
2007-07-13,1009.7009562107496
2007-07-16,1007.5455089868026
2007-07-17,1003.0094582795865
2007-07-18,998.2124318292474
2007-07-19,1006.7954744025338
2007-07-20,1001.0172813168168
2007-07-23,1001.8791274085476
2007-07-24,989.2476456258877
2007-07-25,976.6667499818105
2007-07-26,950.103864058797
2007-07-27,939.0284231195385
2007-07-30,943.6774022706521
2007-07-31,964.0894783822175
2007-08-01,950.0792541807915
2007-08-02,955.4158908583968
2007-08-03,947.0897789880778
2007-08-06,927.2557202100058
2007-08-07,936.0453163068379
2007-08-08,954.911553309048
2007-08-09,941.0034630192816
2007-08-10,915.9689381367097
2007-08-13,928.2615628340822
2007-08-14,920.4945574647745
2007-08-15,911.2934111263163
2007-08-16,870.3664072605665
2007-08-17,877.8046933681645
2007-08-20,884.991018657605
2007-08-21,881.5351672181952
2007-08-22,903.6364187559974
2007-08-23,908.932829728099
2007-08-24,911.8051357741923
2007-08-27,915.1288261658229
2007-08-28,901.610532614185
2007-08-29,906.2025044051053
2007-08-30,916.9463539389731
2007-08-31,932.1320749308327
2007-09-03,938.359705962849
2007-09-04,946.3781419080822
2007-09-05,931.572624230281
2007-09-06,932.491954207094
2007-09-07,916.7567717674422
2007-09-10,903.1070881838647
2007-09-11,919.3473716999683
2007-09-12,918.6763666665577
2007-09-13,915.1813893585072
2007-09-14,900.3491152279889
