Date,PACIFIC ex JAPAN SMALL GROWTH
1998-12-31,226.4841816002085
1999-01-01,226.51170286629204
1999-01-04,226.78290305390865
1999-01-05,227.37302672688472
1999-01-06,234.09679046597515
1999-01-07,239.39975850165305
1999-01-08,242.54111494589174
1999-01-11,245.06099809728437
1999-01-12,245.35752862936582
1999-01-13,236.80122200025457
1999-01-14,234.8150823992043
1999-01-15,237.81990547273497
1999-01-18,239.5615745351616
1999-01-19,241.02446507066287
1999-01-20,242.75004444989568
1999-01-21,241.07868143189242
1999-01-22,237.24004512533202
1999-01-25,233.08216241160378
1999-01-26,234.2893372684835
1999-01-27,238.19130377180966
1999-01-28,238.477767435361
1999-01-29,242.18660540436662
1999-02-01,244.5766351123092
1999-02-02,244.524426482903
1999-02-03,244.47591771216108
1999-02-04,248.51912634515904
1999-02-05,248.36003374609615
1999-02-08,247.99648898272176
1999-02-09,245.59472475888987
1999-02-10,242.6738466188934
1999-02-11,247.56468584341397
1999-02-12,248.27500480874488
1999-02-15,250.24742191758472
1999-02-16,249.8056126136289
1999-02-17,248.73611919482244
1999-02-18,249.42363891575368
1999-02-19,254.5386773303917
1999-02-22,255.6770678511732
1999-02-23,256.61903046872544
1999-02-24,256.02767793085496
1999-02-25,251.15971890198577
1999-02-26,253.36165217245366
1999-03-01,254.55341206505014
1999-03-02,254.86176153545202
1999-03-03,255.64755841223524
1999-03-04,256.7507665798482
1999-03-05,258.9447403332537
1999-03-08,259.2055783240706
1999-03-09,260.2057823609979
1999-03-10,260.0046184094268
1999-03-11,263.3598221070496
1999-03-12,262.79780546038074
1999-03-15,262.47689256414725
1999-03-16,261.4128988535719
1999-03-17,258.9654679975359
1999-03-18,259.98698491450216
1999-03-19,262.70291645061917
1999-03-22,265.15783559335335
1999-03-23,267.9659243307798
1999-03-24,265.5641348846798
1999-03-25,266.81752212781964
1999-03-26,270.0778138304672
1999-03-29,270.79292771887674
1999-03-30,269.93307165228765
1999-03-31,270.37591389751617
1999-04-01,272.7240988774122
1999-04-02,272.42047683946316
1999-04-05,274.98829995638744
1999-04-06,274.2730116670924
1999-04-07,274.86281186192514
1999-04-08,276.40508560433875
1999-04-09,282.63907171202726
1999-04-12,280.607974508821
1999-04-13,285.4277380050638
1999-04-14,287.6590074564913
1999-04-15,291.23060608051946
1999-04-16,298.47425712648425
1999-04-19,306.50565082554283
1999-04-20,301.2856481462715
1999-04-21,304.29446099078586
1999-04-22,309.3756720656479
1999-04-23,307.61946303685124
1999-04-26,308.67309798568493
1999-04-27,308.95421545476063
1999-04-28,308.59681411529874
1999-04-29,310.84488135339757
1999-04-30,316.73303404984455
