Date,PACIFIC SMALL GROWTH
1998-12-31,507.9385230025905
1999-01-01,507.95422641840844
1999-01-04,501.2495427272285
1999-01-05,502.09762401300264
1999-01-06,509.09982970536186
1999-01-07,520.913966670996
1999-01-08,524.3429385819434
1999-01-11,535.8477955241616
1999-01-12,526.1372125547716
1999-01-13,509.04648375634514
1999-01-14,511.7672460964685
1999-01-15,515.2878396829169
1999-01-18,516.7301870878396
1999-01-19,522.3211809942894
1999-01-20,529.9992305052793
1999-01-21,532.002938850593
1999-01-22,523.6475762423446
1999-01-25,524.1221820615538
1999-01-26,528.0354185550028
1999-01-27,529.462123830993
1999-01-28,528.5013052830153
1999-01-29,535.4991945682235
1999-02-01,543.3147322041142
1999-02-02,550.5406949142827
1999-02-03,547.6199613950323
1999-02-04,551.3075956584674
1999-02-05,545.8450468033095
1999-02-08,544.3185575717214
1999-02-09,538.3756974268399
1999-02-10,535.8664689205235
1999-02-11,540.1808794515684
1999-02-12,542.0482162650623
1999-02-15,542.8880274942802
1999-02-16,538.1403981598359
1999-02-17,531.7810358290818
1999-02-18,529.9167094256934
1999-02-19,534.8273872072003
1999-02-22,543.809869300867
1999-02-23,548.7023456300858
1999-02-24,549.6215577527721
1999-02-25,550.3664196594423
1999-02-26,560.7576553960612
1999-03-01,559.2165586486547
1999-03-02,553.3515710816283
1999-03-03,551.7580347807924
1999-03-04,549.3171952564772
1999-03-05,565.1923097933951
1999-03-08,565.0756794733412
1999-03-09,569.3461450536897
1999-03-10,576.6008383274434
1999-03-11,583.2856669713668
1999-03-12,583.5537813708994
1999-03-15,592.1769521042469
1999-03-16,605.3318440476387
1999-03-17,604.6982084773987
1999-03-18,603.2562894308941
1999-03-19,621.6895636702614
1999-03-22,620.7242213437565
1999-03-23,620.6673168696091
1999-03-24,614.5902683740877
1999-03-25,624.3081379877099
1999-03-26,627.8556501923208
1999-03-29,633.432603473582
1999-03-30,631.3750672437911
1999-03-31,642.916516244039
1999-04-01,649.0168459819795
1999-04-02,654.2334727633637
1999-04-05,660.3411084066228
1999-04-06,662.5795748610282
1999-04-07,665.05943166898
1999-04-08,674.5007725349708
1999-04-09,690.2273348061024
1999-04-12,682.0627258744843
1999-04-13,689.0358834746171
1999-04-14,696.230093203352
1999-04-15,701.0852524234905
1999-04-16,712.3279056835802
1999-04-19,714.5968427204061
1999-04-20,700.6396280706332
1999-04-21,694.0529296889546
1999-04-22,705.0918909989324
1999-04-23,712.4806719000757
1999-04-26,721.1169947800577
1999-04-27,715.0223038678157
1999-04-28,720.3267676371621
1999-04-29,723.8610259539489
1999-04-30,727.8036035341034
1999-05-03,726.7918035712461
1999-05-04,722.0526297495403
1999-05-05,717.4967812738067
1999-05-06,722.9508670340808
1999-05-07,714.8433702010881
1999-05-10,716.888590524588
1999-05-11,715.9547038382264
1999-05-12,721.2556890069943
1999-05-13,720.3768481111172
1999-05-14,714.6130524747942
1999-05-17,700.6545377320723
1999-05-18,700.4589688084043
1999-05-19,687.3460104624564
1999-05-20,689.0272847919906
1999-05-21,695.2648721593818
1999-05-24,694.913131108908
1999-05-25,689.9167644193237
1999-05-26,698.9167726311033
1999-05-27,700.545536655706
1999-05-28,698.4655487390213
1999-05-31,696.3742970867403
1999-06-01,705.382512238372
1999-06-02,717.272062623311
1999-06-03,718.4991987244865
1999-06-04,726.9253459337947
1999-06-07,736.9212601221539
1999-06-08,736.3576441453706
1999-06-09,745.0905642126919
1999-06-10,752.4478520895251
1999-06-11,759.1220571073372
1999-06-14,754.791122265152
1999-06-15,750.3271449652743
1999-06-16,764.2201395055253
1999-06-17,777.8463400658012
1999-06-18,771.5295069324435
1999-06-21,783.0575727675804
1999-06-22,793.3647946789825
1999-06-23,797.5877252827652
1999-06-24,790.9218270128055
1999-06-25,783.1967215335106
1999-06-28,797.9139786932791
1999-06-29,809.2807230178511
1999-06-30,814.685992632426
1999-07-01,837.9464171183937
1999-07-02,848.2104468646235
1999-07-05,847.5493596657584
1999-07-06,844.4289999944336
1999-07-07,841.1782875089069
1999-07-08,835.0582644541302
1999-07-09,836.119284901446
1999-07-12,849.1491311194947
1999-07-13,852.3332892059829
1999-07-14,857.0835122451955
1999-07-15,860.7806891083266
1999-07-16,852.0384766928693
1999-07-19,865.138205144223
1999-07-20,847.7834072132625
1999-07-21,836.6571285249769
1999-07-22,825.9505491141803
1999-07-23,825.2569570868366
1999-07-26,810.5964166286743
1999-07-27,804.1810187718597
1999-07-28,816.292321410055
1999-07-29,825.308755068964
1999-07-30,827.0461727214067
1999-08-02,828.0998392714314
1999-08-03,828.6803183423128
1999-08-04,821.5506450465645
1999-08-05,803.4456481876744
1999-08-06,797.9966349140329
1999-08-09,799.1375139080928
1999-08-10,798.0354085013236
1999-08-11,797.3333154329445
1999-08-12,806.6352299069608
1999-08-13,814.690599960704
1999-08-16,836.2656799938982
1999-08-17,846.3112752200163
1999-08-18,858.7561934516011
1999-08-19,849.7916256799863
1999-08-20,854.1926210917005
1999-08-23,861.526789832833
1999-08-24,871.1389418804706
1999-08-25,879.3006946209382
1999-08-26,872.7883204432973
1999-08-27,872.1526069639491
1999-08-30,878.9048531426934
1999-08-31,879.2887480842392
1999-09-01,888.796113809975
1999-09-02,885.963478715892
1999-09-03,893.3536868444572
1999-09-06,910.1918952075114
1999-09-07,901.5741200049379
1999-09-08,900.8679058228556
1999-09-09,925.0746000943791
1999-09-10,942.6406616720815
1999-09-13,983.0730935807456
1999-09-14,979.3565703762499
1999-09-15,988.1793707571045
1999-09-16,960.6638091103763
1999-09-17,947.2812884996823
1999-09-20,950.824588923135
1999-09-21,955.3454801630814
1999-09-22,932.5701445020511
1999-09-23,939.2844860495712
1999-09-24,909.2420426697952
1999-09-27,896.6492192846102
1999-09-28,908.3448519632428
1999-09-29,896.9332076823533
1999-09-30,914.8344517338704
1999-10-01,927.0565039990356
1999-10-04,920.0152474563691
1999-10-05,916.9640043453132
1999-10-06,910.5885503611989
1999-10-07,915.1833325635737
1999-10-08,922.909305468771
1999-10-11,926.9847939686296
1999-10-12,921.3275452415876
1999-10-13,901.326633699945
1999-10-14,900.038040939664
1999-10-15,883.5802324896781
1999-10-18,852.5405301984714
1999-10-19,856.5369336404373
1999-10-20,880.5444681522414
1999-10-21,876.2986841049126
1999-10-22,892.4592752073592
1999-10-25,904.6019760814902
1999-10-26,909.7647173081455
1999-10-27,916.0286476839962
1999-10-28,915.8091073739546
1999-10-29,932.3806843356376
1999-11-01,936.473294643479
1999-11-02,941.9143303571533
1999-11-03,938.1250424842403
1999-11-04,953.8777754661841
1999-11-05,948.360798259458
1999-11-08,954.6458223902499
1999-11-09,956.2177846049466
1999-11-10,961.1087764578899
1999-11-11,956.5389832303963
1999-11-12,964.5277383476157
1999-11-15,965.1736194885807
1999-11-16,955.8592440846603
1999-11-17,957.4943472884211
1999-11-18,970.3520235434883
1999-11-19,978.0424861499556
1999-11-22,985.9760592593475
1999-11-23,993.0320197651238
1999-11-24,996.0219747635571
1999-11-25,980.9664814984098
1999-11-26,1007.2138051703206
1999-11-29,1013.8519813298474
1999-11-30,1003.3628428686818
1999-12-01,989.1875985582045
1999-12-02,976.1459772205301
1999-12-03,987.2418084635573
1999-12-06,970.0690332620077
1999-12-07,976.1680060555091
1999-12-08,967.2718938192426
1999-12-09,971.5052949803755
1999-12-10,983.3738340170189
1999-12-13,983.2479229225103
1999-12-14,971.0296978620822
1999-12-15,970.93033681403
1999-12-16,959.1436219445875
1999-12-17,959.884388231997
1999-12-20,949.9474805166906
1999-12-21,948.280260494504
1999-12-22,964.7968567736009
1999-12-23,956.1965336217509
1999-12-24,965.4826045367186
1999-12-27,966.9470327569937
1999-12-28,969.1206897766529
1999-12-29,975.4550361377318
1999-12-30,990.6961311817751
1999-12-31,990.7316474748405
2000-01-03,988.6532492641069
2000-01-04,966.4953197860732
2000-01-05,929.7888992419057
2000-01-06,904.4812480662184
2000-01-07,901.7811029691609
2000-01-10,910.0682510482271
2000-01-11,928.611443401372
2000-01-12,928.6476453211213
2000-01-13,930.0698521820466
2000-01-14,943.5917271671145
2000-01-17,967.7183937746897
2000-01-18,960.8003713838641
2000-01-19,949.3309316357919
2000-01-20,953.6492903548834
2000-01-21,950.4820054069863
2000-01-24,953.9618065453119
2000-01-25,946.0355306129247
2000-01-26,961.5325606283809
2000-01-27,993.4382234333764
2000-01-28,998.2179501991619
2000-01-31,994.2458654409317
2000-02-01,996.0946906081789
2000-02-02,1005.4334025476034
2000-02-03,995.5338199392886
2000-02-04,1004.0820628958572
2000-02-07,1007.5732383174367
2000-02-08,987.0450983195506
2000-02-09,989.6958878506917
2000-02-10,996.561919846382
2000-02-11,992.3359044073106
2000-02-14,995.2646372378823
2000-02-15,982.1037873506712
2000-02-16,976.2419759130663
2000-02-17,972.637769094269
2000-02-18,980.0028275064348
2000-02-21,964.5397275250695
2000-02-22,933.5311913023602
2000-02-23,936.378675035876
2000-02-24,957.9015824008716
2000-02-25,989.6942924485089
2000-02-28,1014.5399858150785
2000-02-29,1020.0646159012567
2000-03-01,1035.0094972514669
2000-03-02,1034.5051321218739
2000-03-03,1030.6666163524308
2000-03-06,1015.5270966319283
2000-03-07,1017.9644359080985
2000-03-08,1023.9572160297835
2000-03-09,1018.8603577647177
2000-03-10,1026.184496922403
2000-03-13,986.6649008944553
2000-03-14,993.3683259014648
2000-03-15,998.5707965538792
2000-03-16,1010.793513882038
2000-03-17,1026.4823591670913
2000-03-20,1022.3358528028948
2000-03-21,1023.9501593038078
2000-03-22,1037.4261630301712
2000-03-23,1017.8218075474277
2000-03-24,1014.6803018772721
2000-03-27,1022.2713625241464
2000-03-28,1035.7944146894652
2000-03-29,1070.416497461781
2000-03-30,1065.8743630078936
2000-03-31,1079.7895381300427
2000-04-03,1060.0031838319114
2000-04-04,1033.2178392519725
2000-04-05,1008.7316588344967
2000-04-06,1007.0118062842189
2000-04-07,1016.6069660203515
2000-04-10,1021.1780158791747
2000-04-11,1010.8380707154936
2000-04-12,1023.5223398681464
2000-04-13,1005.2970982425733
2000-04-14,999.5537554053838
2000-04-17,913.9152342538546
2000-04-18,933.8269645001499
2000-04-19,964.0641177967418
2000-04-20,977.2110240339572
2000-04-21,977.0888738580005
2000-04-24,985.545356240602
2000-04-25,994.7425908285924
2000-04-26,998.256183355687
2000-04-27,1002.2691301129944
2000-04-28,996.2461096101239
2000-05-01,1004.5959786875694
2000-05-02,1020.3644165165213
2000-05-03,1036.9432816862143
2000-05-04,1042.2986327643678
2000-05-05,1040.0730128059179
2000-05-08,1043.8073993747005
2000-05-09,1018.4945197554205
2000-05-10,1002.4449594122259
2000-05-11,996.1876679905477
2000-05-12,1006.6062357768468
2000-05-15,991.311935525673
2000-05-16,1010.9399303209052
2000-05-17,1026.5555579904997
2000-05-18,1016.4758179915067
2000-05-19,1023.1863398707951
2000-05-22,980.233132060201
2000-05-23,970.2138821364003
2000-05-24,951.1470106905372
2000-05-25,959.7885404921672
2000-05-26,938.1193070632274
2000-05-29,944.2118755338927
2000-05-30,945.2893243109257
2000-05-31,947.0863681287298
2000-06-01,942.4146356355146
2000-06-02,941.6498655460977
2000-06-05,964.9736509634258
