Date,NORDIC COUNTRIES SMALL GROWTH
2007-05-31,1000.0
2007-06-01,1006.8769468265186
2007-06-04,999.1508588818645
2007-06-05,998.4318334824952
2007-06-06,986.7083049011472
2007-06-07,962.3482168696702
2007-06-08,960.8152462658579
2007-06-11,969.2135655969377
2007-06-12,954.130995932196
2007-06-13,956.3145794289403
2007-06-14,972.58233463779
2007-06-15,982.0878346925991
2007-06-18,976.9920631049608
2007-06-19,977.0872319836261
2007-06-20,987.706740945395
2007-06-21,977.6825707102897
2007-06-22,980.8611474310408
2007-06-25,972.1958089228168
2007-06-26,966.5628982368056
2007-06-27,962.6013690809782
2007-06-28,977.7251408424952
2007-06-29,982.2796590901837
2007-07-02,987.5670766565751
2007-07-03,995.6272743272634
2007-07-04,1004.126624349901
2007-07-05,1003.5933565643109
2007-07-06,1005.0029549580113
2007-07-09,1006.3822777413138
2007-07-10,1001.2483816032628
2007-07-11,1001.383150412504
2007-07-12,1011.3474416982455
2007-07-13,1008.4027426784519
2007-07-16,1012.9383742191096
2007-07-17,1008.6959395503712
2007-07-18,1005.2543113364316
2007-07-19,1008.6503027691617
2007-07-20,1007.6017340722449
2007-07-23,1005.902265295554
2007-07-24,988.1380124238669
2007-07-25,978.4685054218916
2007-07-26,955.6553695864218
2007-07-27,938.1507725462266
2007-07-30,945.5003462538991
2007-07-31,961.4358887789843
2007-08-01,940.2934583911206
2007-08-02,950.4512097764233
2007-08-03,935.0882394392805
2007-08-06,911.129145407835
2007-08-07,918.1353664149957
2007-08-08,945.6159154771386
2007-08-09,927.9726340144631
2007-08-10,904.1413026227693
2007-08-13,917.7130705932834
2007-08-14,918.2657370536845
2007-08-15,900.6883870666699
2007-08-16,857.8120377220724
2007-08-17,874.4353603447697
2007-08-20,886.8559514165122
2007-08-21,882.0208842982235
2007-08-22,901.6930242750841
2007-08-23,907.7717194876002
2007-08-24,915.4156689908934
2007-08-27,915.1907097134801
2007-08-28,899.4447381764679
2007-08-29,903.236135763624
2007-08-30,907.1403411210034
2007-08-31,919.1000156652227
2007-09-03,925.0349838762909
2007-09-04,931.6936622049519
2007-09-05,921.5994085884688
2007-09-06,928.4695134392007
2007-09-07,907.8313383859821
2007-09-10,893.8880553692305
2007-09-11,913.3965503667225
2007-09-12,917.671349288987
2007-09-13,921.1978847442854
2007-09-14,913.4193556681877
2007-09-17,899.7090486115608
2007-09-18,902.8069788662879
2007-09-19,926.33663899593
2007-09-20,920.9183052275152
2007-09-21,926.8624756048059
2007-09-24,929.3740934196162
2007-09-25,914.7955459119389
2007-09-26,920.0935660177762
2007-09-27,927.041715914333
2007-09-28,932.0847000995129
2007-10-01,940.0344093449614
2007-10-02,940.3679707402504
2007-10-03,943.2015091577023
2007-10-04,942.306889262194
2007-10-05,955.5969847148942
2007-10-08,960.3178919251808
2007-10-09,960.6015485603227
2007-10-10,965.6482161037443
2007-10-11,979.1344218896917
2007-10-12,976.7341688645334
2007-10-15,976.3726533465575
2007-10-16,961.8094976412688
2007-10-17,971.6877666547314
2007-10-18,961.3646997742567
2007-10-19,953.094513364866
2007-10-22,923.6336616795086
2007-10-23,940.0042884637996
2007-10-24,929.249646112266
2007-10-25,937.7697032163436
2007-10-26,939.6194061710182
2007-10-29,943.0898852802432
2007-10-30,936.4820334983422
