Date,WORLD ex UK SMALL GROWTH
1998-12-31,483.8302502387833
1999-01-01,483.7940233742655
1999-01-04,482.5926081693461
1999-01-05,484.22262730173605
1999-01-06,493.08244901315936
1999-01-07,497.5721218963287
1999-01-08,504.5925165589322
1999-01-11,510.86109924526954
1999-01-12,505.57604361719297
1999-01-13,491.59544926086244
1999-01-14,490.84098676856405
1999-01-15,498.9503801090728
1999-01-18,500.91316450717244
1999-01-19,505.1058315233699
1999-01-20,508.60162871117484
1999-01-21,502.31828438779013
1999-01-22,498.5080716625653
1999-01-25,498.2462500192188
1999-01-26,502.66553524163544
1999-01-27,503.2211560621529
1999-01-28,508.9114690112888
1999-01-29,514.5612739666034
1999-02-01,518.998509740534
1999-02-02,514.6210250507297
1999-02-03,516.9442254629209
1999-02-04,515.6608771827368
1999-02-05,510.34179610300197
1999-02-08,508.91205393661534
1999-02-09,497.79795747660006
1999-02-10,492.0459926676232
1999-02-11,502.09176147611714
1999-02-12,498.5488523801191
1999-02-15,499.6300295538013
1999-02-16,499.0067490077235
1999-02-17,489.95000103756155
1999-02-18,489.87795890102507
1999-02-19,495.5358444500046
1999-02-22,503.9556658035307
1999-02-23,507.25367712386463
1999-02-24,506.7596529763634
1999-02-25,501.84279831786336
1999-02-26,504.3836459645703
1999-03-01,507.0116304297882
1999-03-02,505.43886442616736
1999-03-03,502.64634977197016
1999-03-04,505.33062037550195
1999-03-05,512.2667709907953
1999-03-08,514.527143601757
1999-03-09,514.7057346772699
1999-03-10,515.3438078744236
1999-03-11,520.7966427766664
1999-03-12,516.074862927048
1999-03-15,518.6095550422209
1999-03-16,520.6886570536207
1999-03-17,517.8159969387146
1999-03-18,519.2717351184949
1999-03-19,522.0033824127735
1999-03-22,519.6529646055196
1999-03-23,510.1128454657925
1999-03-24,507.38892553212315
1999-03-25,518.3563746189843
1999-03-26,523.7155405088629
1999-03-29,530.8458866035077
1999-03-30,530.3046592187964
1999-03-31,532.2906324735138
1999-04-01,532.4770455324474
1999-04-02,534.4858456241144
1999-04-05,538.5560690493127
1999-04-06,537.0261061270215
1999-04-07,535.017660081612
1999-04-08,538.2950158593767
1999-04-09,547.8583117533292
1999-04-12,548.7448157982858
1999-04-13,557.9464236193293
1999-04-14,556.223347158417
1999-04-15,558.4749671533615
1999-04-16,563.2135048779273
1999-04-19,555.4919663715153
1999-04-20,554.1980757515292
1999-04-21,564.7465813024493
1999-04-22,570.322344217083
1999-04-23,571.9042921531714
1999-04-26,579.1236933333475
1999-04-27,577.5531959355962
1999-04-28,576.8377996247161
1999-04-29,577.9447789659198
1999-04-30,580.6895138785138
1999-05-03,582.4037799903821
1999-05-04,578.3199413120394
1999-05-05,576.542881420556
1999-05-06,573.1488226636151
1999-05-07,573.2937126063003
1999-05-10,577.2571928569699
1999-05-11,584.5784403561013
1999-05-12,590.4243794463911
1999-05-13,592.870198007841
1999-05-14,583.685865049614
1999-05-17,579.4558455096156
1999-05-18,581.6278700517425
1999-05-19,582.7383794246089
1999-05-20,586.6232992506299
1999-05-21,591.1759582595982
1999-05-24,582.9256815386194
1999-05-25,573.6482224688008
1999-05-26,578.8557858698937
1999-05-27,578.0898504930578
1999-05-28,582.0933801666205
1999-05-31,583.2422038294708
1999-06-01,583.4518058104329
1999-06-02,587.5070069673483
1999-06-03,588.8092616997521
1999-06-04,597.4557800161355
1999-06-07,603.7844937785092
1999-06-08,596.8359536302358
1999-06-09,600.3443373333597
1999-06-10,597.8181055615504
1999-06-11,596.9692218835771
1999-06-14,593.0202356924505
1999-06-15,592.5567108314024
1999-06-16,603.4987066972726
1999-06-17,608.5600023710035
1999-06-18,607.4469816250606
1999-06-21,616.5741520495025
1999-06-22,617.3356658355011
1999-06-23,618.8838985337063
1999-06-24,613.6962220769927
1999-06-25,608.6408079657882
1999-06-28,619.0310605549572
1999-06-29,627.3772978727633
1999-06-30,638.606261588742
