Date,KOKUSAI INDEX (WORLD ex JP) SMALL GROWTH
1998-12-31,458.96822350173517
1999-01-01,458.92822564648384
1999-01-04,458.7668916744347
1999-01-05,460.3603520268736
1999-01-06,469.36262252909927
1999-01-07,472.6175577309727
1999-01-08,479.8450193552702
1999-01-11,484.55710607924374
1999-01-12,480.66027323219276
1999-01-13,468.16693578281803
1999-01-14,467.01543009963564
1999-01-15,474.83963935272004
1999-01-18,476.95095217435
1999-01-19,480.5287020613227
1999-01-20,483.02142067021924
1999-01-21,476.2904316615531
1999-01-22,473.36968377316515
1999-01-25,472.73997693779444
1999-01-26,476.8406735431357
1999-01-27,477.86992081769165
1999-01-28,484.1795137943321
1999-01-29,489.49997221750357
1999-02-01,493.4492229162085
1999-02-02,488.18421557739185
1999-02-03,490.88619190406814
1999-02-04,489.9880880268137
1999-02-05,485.562947682168
1999-02-08,484.4099107709126
1999-02-09,473.92608372637534
1999-02-10,467.87439485322744
1999-02-11,477.76320413392693
1999-02-12,474.2638999150888
1999-02-15,475.4281410738366
1999-02-16,475.94079652278015
1999-02-17,467.7062429338
1999-02-18,468.022568760959
1999-02-19,473.8429659227577
1999-02-22,481.12278534478367
1999-02-23,483.67156726563127
1999-02-24,483.0569059835156
1999-02-25,477.3533882791448
1999-02-26,478.7328718328958
1999-03-01,482.2117725567463
1999-03-02,481.97973536982715
1999-03-03,479.8301451650562
1999-03-04,483.3337274109541
1999-03-05,488.05941514825196
1999-03-08,490.27241067454105
1999-03-09,490.01629817948896
1999-03-10,489.6190911768956
1999-03-11,495.1109168564761
1999-03-12,490.42246390796277
1999-03-15,491.29202016963046
1999-03-16,491.4215715806667
1999-03-17,488.0526167553408
1999-03-18,489.94250053665655
1999-03-19,490.30357207107096
1999-03-22,488.531484349985
1999-03-23,479.3073371850085
1999-03-24,477.1367315591617
1999-03-25,486.6369432614865
1999-03-26,491.9554132557487
1999-03-29,498.32709508633314
1999-03-30,497.69812078328926
1999-03-31,497.66402336926024
1999-04-01,496.6838072839985
1999-04-02,497.8495355061035
1999-04-05,501.35087424380913
1999-04-06,498.9107496429372
1999-04-07,496.6799888371045
1999-04-08,498.8278297441728
1999-04-09,506.404988726774
1999-04-12,508.4636743819104
1999-04-13,517.2947583022899
1999-04-14,514.8086453004096
1999-04-15,516.8442319168
1999-04-16,520.9147346428048
