Date,EAFE ex UK SMALL GROWTH
1998-12-31,515.6399081780071
1999-01-01,515.5471862642966
1999-01-04,520.4139754998739
1999-01-05,521.1238514755535
1999-01-06,526.6121173909341
1999-01-07,530.4805421796059
1999-01-08,533.5242301702203
1999-01-11,538.2574677454708
1999-01-12,532.7951319101999
1999-01-13,515.1262590556679
1999-01-14,519.5192095522434
1999-01-15,521.1499940257191
1999-01-18,526.350767895242
1999-01-19,528.8227634863232
1999-01-20,533.776344319716
1999-01-21,533.2080162212861
1999-01-22,526.0891789886048
1999-01-25,525.4900032018771
1999-01-26,530.3318136896598
1999-01-27,532.3247504788355
1999-01-28,532.6113545603813
1999-01-29,536.6938375822522
1999-02-01,542.6368512291059
1999-02-02,544.6165369302518
1999-02-03,543.2484069318364
1999-02-04,546.5426485255207
1999-02-05,545.0095488311302
1999-02-08,544.5252138777224
1999-02-09,539.9819085902137
1999-02-10,535.5017192343266
1999-02-11,540.0127522555322
1999-02-12,544.2051442582717
1999-02-15,544.3193734966688
1999-02-16,542.8374418979472
1999-02-17,538.8792377268268
1999-02-18,537.1886444944392
1999-02-19,539.2341269222763
1999-02-22,544.7889919877036
1999-02-23,546.2208564741946
1999-02-24,549.4908128781137
1999-02-25,549.7024777413299
1999-02-26,554.4066071467455
1999-03-01,553.893261418189
1999-03-02,549.4030902465691
1999-03-03,548.6943963312914
1999-03-04,545.4735599896687
1999-03-05,555.5267201076895
1999-03-08,556.5228570034886
1999-03-09,558.5898785716797
1999-03-10,559.533674342527
1999-03-11,563.2246572020291
1999-03-12,565.626185503896
1999-03-15,569.4432399360202
1999-03-16,574.6496551873471
1999-03-17,574.3267102116226
1999-03-18,572.6736830885427
1999-03-19,582.5896531809841
1999-03-22,580.4921706080734
1999-03-23,576.9674115502773
1999-03-24,569.5077726291373
1999-03-25,576.718369928728
1999-03-26,579.1704249620119
1999-03-29,581.5193149234792
1999-03-30,581.202426431852
1999-03-31,585.3697758846461
1999-04-01,586.0854276618975
1999-04-02,589.2807548951907
1999-04-05,590.9216160255719
1999-04-06,593.8972565913923
1999-04-07,596.5509117485254
1999-04-08,602.0739652561971
1999-04-09,610.2173978425475
1999-04-12,606.0462378967984
1999-04-13,611.6772120578967
1999-04-14,616.4017953686953
1999-04-15,618.4716401749442
1999-04-16,623.1182265436474
1999-04-19,624.5737616590511
1999-04-20,614.8339332731882
1999-04-21,612.8727739478154
1999-04-22,618.0273321694056
1999-04-23,621.7024954556575
1999-04-26,626.0882770552457
1999-04-27,625.9424961337019
1999-04-28,628.3778280083686
1999-04-29,630.3985453963772
1999-04-30,634.6549551707586
1999-05-03,636.3242990254461
1999-05-04,635.3108310126128
1999-05-05,633.2135310449444
1999-05-06,637.1224749699985
1999-05-07,633.1626882219321
1999-05-10,634.3589981558581
1999-05-11,635.3565793602022
1999-05-12,637.9269073520177
1999-05-13,637.6828958545411
1999-05-14,635.1198037364411
1999-05-17,624.8970106386626
1999-05-18,627.3443155534657
1999-05-19,623.1385459958045
1999-05-20,626.6978613958066
1999-05-21,630.3688322322787
1999-05-24,630.0053767351753
1999-05-25,625.66620857812
1999-05-26,628.5204562691275
1999-05-27,628.8034560657817
1999-05-28,626.7431803422102
1999-05-31,627.0857196617178
1999-06-01,633.9495206132049
1999-06-02,637.5940742453301
1999-06-03,639.862303599381
1999-06-04,644.203804182644
1999-06-07,649.5596267576359
1999-06-08,649.5256454086856
1999-06-09,653.196360048778
1999-06-10,655.573784195124
1999-06-11,658.3780928491348
1999-06-14,656.9376057183803
1999-06-15,654.8314918870952
1999-06-16,661.1199150617347
1999-06-17,668.0931505324186
1999-06-18,666.3271685408267
1999-06-21,674.7893591929876
1999-06-22,678.9905929749215
1999-06-23,680.1388610184674
1999-06-24,677.6139879135866
1999-06-25,673.1406752776919
1999-06-28,680.1408811276033
1999-06-29,686.2327492580933
1999-06-30,689.8858204674003
1999-07-01,702.7952738426943
1999-07-02,707.7170868644946
1999-07-05,711.4861251022921
1999-07-06,710.1071148814528
1999-07-07,709.2140421875633
1999-07-08,705.9441527193925
1999-07-09,706.5934147170512
1999-07-12,713.1393802510876
1999-07-13,712.5100151744995
1999-07-14,714.9441868844369
1999-07-15,717.8862734858712
1999-07-16,715.3998043395866
1999-07-19,723.1272921267037
1999-07-20,714.1751801260376
1999-07-21,706.036661592916
1999-07-22,701.7857587298608
1999-07-23,701.2121051666261
1999-07-26,693.2871691117504
1999-07-27,688.453450072223
1999-07-28,695.6354795657005
1999-07-29,697.0048704417843
1999-07-30,696.7620628718198
1999-08-02,695.3425274936401
1999-08-03,696.4645774773412
1999-08-04,694.8480659251926
1999-08-05,683.9561246337684
1999-08-06,683.9683517891204
1999-08-09,687.3617181034351
1999-08-10,686.4645219143156
1999-08-11,687.0954886619203
1999-08-12,693.6710262532649
1999-08-13,700.2788248474303
1999-08-16,712.6279508532217
1999-08-17,718.6921411350917
1999-08-18,727.0319741126407
1999-08-19,722.6774669571412
1999-08-20,727.8033239795569
1999-08-23,734.8619149048518
1999-08-24,737.7960228465744
1999-08-25,743.9434803985537
1999-08-26,742.1353820415068
1999-08-27,744.3541758639707
1999-08-30,750.9325110623387
1999-08-31,749.8396074755152
1999-09-01,756.6091239551287
1999-09-02,755.0299670898446
1999-09-03,760.1975847723692
1999-09-06,773.5341963496832
1999-09-07,771.5963560170923
1999-09-08,770.6082229568005
1999-09-09,781.8227978396683
1999-09-10,793.9996043523693
1999-09-13,817.0558873945567
1999-09-14,815.6037888837432
1999-09-15,823.391183815454
1999-09-16,814.9379822777312
1999-09-17,809.9616593332754
1999-09-20,807.7165294049051
1999-09-21,801.3306081734723
1999-09-22,790.9038797714946
1999-09-23,789.3511682942498
1999-09-24,767.3089767866459
1999-09-27,756.1894021415695
1999-09-28,764.8611147057218
1999-09-29,760.6145356723421
1999-09-30,771.9053584031302
1999-10-01,778.1905433923712
1999-10-04,779.5034392853837
1999-10-05,784.89816832454
1999-10-06,786.4979310053999
1999-10-07,790.339987481011
1999-10-08,794.6965981499546
1999-10-11,801.9896737252147
1999-10-12,805.137586333387
1999-10-13,793.3735306739628
1999-10-14,787.4828372908106
1999-10-15,774.7643319478727
1999-10-18,750.5772458215771
1999-10-19,754.5034095892296
1999-10-20,773.6871546614962
1999-10-21,772.5925564863104
1999-10-22,779.3079819428002
