Date,WORLD SMALL GROWTH
1998-12-31,480.7959342507274
1999-01-01,480.759013324523
1999-01-04,479.57442050530506
1999-01-05,481.1222331946124
1999-01-06,489.9101451608011
1999-01-07,494.24237990345597
1999-01-08,501.15998663161287
1999-01-11,507.0295763138556
1999-01-12,501.94059778817274
1999-01-13,488.565447341147
1999-01-14,488.0850651194978
1999-01-15,495.57812849495286
1999-01-18,497.59454397349646
1999-01-19,501.6150265909213
1999-01-20,504.9277598008416
1999-01-21,499.16455509135415
1999-01-22,495.53616429048543
1999-01-25,495.384383931339
1999-01-26,499.65583361671514
1999-01-27,500.48566764793816
1999-01-28,506.137660271392
1999-01-29,511.78580592361374
1999-02-01,516.4064662349437
1999-02-02,512.6479705757586
1999-02-03,514.7021741111981
1999-02-04,514.0836158373048
1999-02-05,509.18784950142333
1999-02-08,507.92432446678697
1999-02-09,497.5604743658254
1999-02-10,491.8501153370509
1999-02-11,501.20298342279517
1999-02-12,498.19770274648533
1999-02-15,499.2287283350054
1999-02-16,499.01961427875614
1999-02-17,490.55290495676337
1999-02-18,490.5025248443278
1999-02-19,496.1746027329907
1999-02-22,504.15201819902586
1999-02-23,507.16316537302066
1999-02-24,506.7862425565636
1999-02-25,502.0564587228708
1999-02-26,504.7149981923027
1999-03-01,507.56479431538776
1999-03-02,506.4094950176287
1999-03-03,504.11660365327293
1999-03-04,506.85703655724325
1999-03-05,513.4774198623833
1999-03-08,515.4694502072144
1999-03-09,515.8104859224298
1999-03-10,516.5922822959623
1999-03-11,522.3817066361945
1999-03-12,518.1658270323114
1999-03-15,520.3353269991552
1999-03-16,522.595504663209
1999-03-17,519.6208597579614
1999-03-18,521.0404947343951
1999-03-19,524.0052128462693
1999-03-22,522.0061325307713
1999-03-23,513.2713461369349
1999-03-24,510.5436130700035
1999-03-25,520.6756518489332
1999-03-26,525.8248828557546
1999-03-29,532.4853576287196
1999-03-30,531.6627195853463
1999-03-31,533.3984216393137
1999-04-01,533.2441905771931
1999-04-02,535.1586387622801
1999-04-05,539.1006095089485
1999-04-06,537.2772867445095
1999-04-07,535.5672840542202
1999-04-08,538.8827027004714
1999-04-09,547.7479236358514
1999-04-12,548.5344548047998
1999-04-13,557.3006934500277
1999-04-14,555.9520356448388
1999-04-15,558.2636377746658
1999-04-16,563.1178434875317
1999-04-19,556.6545692343635
1999-04-20,554.6844041374153
1999-04-21,564.4653868463328
1999-04-22,570.1004560252536
1999-04-23,571.6770645133319
1999-04-26,578.5250418609609
1999-04-27,577.0198952361887
1999-04-28,576.4552264793668
1999-04-29,577.5211544329625
1999-04-30,580.2104720753307
1999-05-03,581.8409634697883
1999-05-04,578.4502210941414
1999-05-05,576.2511455853255
1999-05-06,573.2255562743131
1999-05-07,573.3028605280848
1999-05-10,576.6855797055476
1999-05-11,583.5353650963127
1999-05-12,588.8994316454832
1999-05-13,591.2810951673869
1999-05-14,582.3526807931083
1999-05-17,578.2422649218225
1999-05-18,580.1876642944036
1999-05-19,581.118675920374
1999-05-20,584.7860150120046
1999-05-21,589.1032159902727
1999-05-24,581.4323988904799
1999-05-25,572.5338545789091
1999-05-26,577.6378786472839
1999-05-27,577.0479179448394
1999-05-28,580.7654253632334
1999-05-31,581.9648888185383
1999-06-01,582.2252834829578
