Date,USA MOMENTUM SR VARIANT
2002-05-29,801.4447737373177
2002-05-30,801.407332316727
2002-05-31,806.0480316434802
2002-06-03,794.16306571665
2002-06-04,789.6265819981926
2002-06-05,797.2747332915384
2002-06-06,785.6123765155594
2002-06-07,788.3142714182047
2002-06-10,793.6922673653668
2002-06-11,785.9198227547291
2002-06-12,788.3860703221341
2002-06-13,779.361440670186
2002-06-14,776.8197745633972
2002-06-17,794.2594567724327
2002-06-18,796.1773833839143
2002-06-19,794.1431707130798
2002-06-20,788.0339041499142
2002-06-21,779.4130095408193
2002-06-24,772.018311714192
2002-06-25,758.9864603376553
2002-06-26,757.5134617148717
2002-06-27,764.9743605210693
2002-06-28,764.5252232619655
2002-07-01,754.6056490166229
2002-07-02,743.9125620531261
2002-07-03,743.8970710686357
2002-07-04,743.8970710686357
2002-07-05,762.5701771962285
2002-07-08,761.4292736895783
2002-07-09,745.072126241059
2002-07-10,723.0760405987681
2002-07-11,720.8468637270231
2002-07-12,711.6035374187285
2002-07-15,706.6137493738432
2002-07-16,692.4751521465543
2002-07-17,696.3809777567392
2002-07-18,676.0467750192612
2002-07-19,646.1228914800923
2002-07-22,636.5636658319764
2002-07-23,630.8289886859699
2002-07-24,668.0250410130756
2002-07-25,674.6258265529754
2002-07-26,679.9889055672348
2002-07-29,711.1357165888396
2002-07-30,707.7862525572364
2002-07-31,719.4773265318687
2002-08-01,706.5783593924295
2002-08-02,695.1046684813813
2002-08-05,677.5309622873716
2002-08-06,692.7703819064774
2002-08-07,703.9987462299958
2002-08-08,723.4628181313743
2002-08-09,726.2515346359668
2002-08-12,722.040102632641
2002-08-13,709.0151634296237
2002-08-14,728.5587658392129
2002-08-15,732.5397037587214
2002-08-16,730.8131911997681
2002-08-19,740.409240268728
2002-08-20,732.9116944964929
2002-08-21,737.4090627020416
2002-08-22,744.4427067436256
2002-08-23,732.4052385177945
2002-08-26,738.7132651548889
2002-08-27,735.0372259321191
2002-08-28,724.8487326701945
2002-08-29,723.4000963679548
2002-08-30,728.3766816808469
2002-09-02,728.3766816808469
2002-09-03,707.0131861045395
2002-09-04,715.5906994592998
2002-09-05,712.9436715925482
2002-09-06,721.9095420843878
2002-09-09,727.7573847325721
2002-09-10,727.1587470039385
2002-09-11,726.8511164129044
2002-09-12,714.6041765562773
2002-09-13,718.288285063963
2002-09-16,721.5593031871877
2002-09-17,707.484865919453
2002-09-18,705.730815498418
2002-09-19,689.0531794947915
2002-09-20,692.7373495652365
2002-09-23,688.8673446796852
2002-09-24,673.9280295875435
2002-09-25,685.6251879754577
2002-09-26,701.0394006320563
2002-09-27,687.953779836461
2002-09-30,680.8560743822208
2002-10-01,700.1568984896272
2002-10-02,686.4226783402096
2002-10-03,676.1777798963881
2002-10-04,663.9474260375783
2002-10-07,650.2222478397839
2002-10-08,660.5595216946716
2002-10-09,641.673415876076
2002-10-10,657.6214625467644
2002-10-11,676.9131079021092
2002-10-14,680.0186216743065
2002-10-15,700.7933054964212
2002-10-16,688.925050444741
2002-10-17,693.5844442251154
2002-10-18,699.3637645295787
2002-10-21,712.3816173155857
2002-10-22,703.7099091638257
2002-10-23,709.1174948216081
2002-10-24,698.0946455623906
2002-10-25,703.4173305774087
2002-10-28,690.5390539379756
2002-10-29,691.1090362625232
2002-10-30,695.2564876463059
2002-10-31,688.0982441119871
2002-11-01,696.2692817277178
2002-11-04,687.8361460434671
2002-11-05,693.7738731822246
2002-11-06,696.6857617700298
2002-11-07,683.1676473026495
2002-11-08,671.4529244784594
2002-11-11,662.2720023396174
2002-11-12,664.0510929790989
2002-11-13,665.3469168728584
2002-11-14,676.0106084828861
2002-11-15,681.943981388718
2002-11-18,673.3907586813054
2002-11-19,672.1390518395998
2002-11-20,679.2831341072329
2002-11-21,683.3925198162373
2002-11-22,682.6778427258464
2002-11-25,676.1997367133214
2002-11-26,667.6090523905762
2002-11-27,683.461159272356
2002-11-28,683.461159272356
2002-11-29,679.473949946392
2002-12-02,676.0941790848111
2002-12-03,672.9117034587597
2002-12-04,676.4136548585908
2002-12-05,669.441090611197
2002-12-06,675.9850242345104
2002-12-09,666.2926716563895
2002-12-10,674.7273747677682
2002-12-11,674.5744668086629
2002-12-12,671.4683288580738
2002-12-13,663.5237581883005
2002-12-16,676.7577254971598
2002-12-17,672.0462570525156
2002-12-18,666.6911406800486
2002-12-19,663.7946696762733
2002-12-20,674.3993588004001
2002-12-23,675.5566806065972
2002-12-24,672.8448638531338
2002-12-25,672.8448638531338
2002-12-26,671.0991102720006
2002-12-27,661.5930905240884
2002-12-30,666.0367865920807
2002-12-31,665.5825474813341
2003-01-01,665.5825474813341
2003-01-02,684.7403214218068
2003-01-03,682.9701368119762
2003-01-06,693.6763355183571
2003-01-07,687.35534548154
2003-01-08,680.6839858260574
2003-01-09,689.7246181982723
2003-01-10,687.3999310456994
2003-01-13,685.527116318635
2003-01-14,686.948403549515
2003-01-15,678.2555375406896
2003-01-16,676.9905907943071
2003-01-17,674.8504803963724
2003-01-20,674.8504803963724
2003-01-21,665.2632874913162
2003-01-22,660.8138772673937
2003-01-23,667.3989137064079
2003-01-24,652.9332003828252
2003-01-27,643.0731995642071
