Date,USA MOMENTUM
1994-06-30,125.84851103
1994-07-29,129.83982398
1994-08-31,135.93685733
1994-09-30,131.93868183
1994-10-31,134.38673069
1994-11-30,127.77064004
1994-12-30,129.94836377
1995-01-31,131.5988324
1995-02-28,137.06122525
1995-03-31,143.35798751
1995-04-28,149.54031793
1995-05-31,155.11945331
1995-06-30,160.98881397
1995-07-31,166.68187031
1995-08-31,165.68479617
1995-09-29,173.56498303
1995-10-31,178.49114128
1995-11-30,183.56747571
1995-12-29,185.22138838
1996-01-31,194.28115479
1996-02-29,197.70021959
1996-03-29,197.47979709
1996-04-30,201.12672025
1996-05-31,209.29866808
1996-06-28,212.31456691
1996-07-31,204.05781359
1996-08-30,209.38290879
1996-09-30,223.5605097
1996-10-31,230.50194203
1996-11-29,247.05744492
1996-12-31,240.83335147
1997-01-01,240.83335147
1997-01-02,239.22426456
1997-01-03,244.28355095
1997-01-06,244.23879866
1997-01-07,246.28089219
1997-01-08,244.74518985
1997-01-09,246.77021321
1997-01-10,248.05675401
1997-01-13,248.53884209
1997-01-14,253.05324783
1997-01-15,251.78819679
1997-01-16,253.22553365
1997-01-17,255.76087469
1997-01-20,256.91758697
1997-01-21,258.92091249
1997-01-22,261.15069902
1997-01-23,256.83860619
1997-01-24,254.03519313
1997-01-27,251.67559966
1997-01-28,252.91061108
1997-01-29,256.53683555
1997-01-30,261.4407606
1997-01-31,262.86215178
1997-02-03,263.6303127
1997-02-04,264.97217049
1997-02-05,260.3221391
1997-02-06,261.06668286
1997-02-07,265.37906871
1997-02-10,262.82770665
1997-02-11,264.82238107
1997-02-12,270.01295419
1997-02-13,273.93279056
1997-02-14,272.23040345
1997-02-17,272.23040345
1997-02-18,275.39809887
1997-02-19,273.85672355
1997-02-20,269.4167415
1997-02-21,267.77325885
1997-02-24,272.22685682
1997-02-25,273.13425485
1997-02-26,270.66763942
1997-02-27,265.88033306
1997-02-28,263.58679922
1997-03-03,266.63678763
1997-03-04,264.35472549
1997-03-05,269.62574468
1997-03-06,267.61769288
1997-03-07,270.14809939
1997-03-10,273.85078028
1997-03-11,272.59084871
1997-03-12,269.55533672
1997-03-13,263.99234496
1997-03-14,264.21005109
1997-03-17,266.09025373
1997-03-18,263.407208
1997-03-19,262.43876988
1997-03-20,260.73415708
1997-03-21,261.06920163
1997-03-24,263.4868327
1997-03-25,262.99802075
1997-03-26,263.13476993
1997-03-27,256.98905257
1997-03-28,256.98905257
1997-03-31,249.22315049
1997-04-01,252.05791422
1997-04-02,248.4654205
1997-04-03,249.62578511
1997-04-04,252.92099388
1997-04-07,254.00915531
1997-04-08,256.32501283
1997-04-09,253.47838576
1997-04-10,252.3190255
1997-04-11,244.65203291
1997-04-14,248.17505311
1997-04-15,251.91121759
1997-04-16,254.90126548
1997-04-17,254.87938407
1997-04-18,256.22707457
1997-04-21,254.96834786
1997-04-22,261.47635893
1997-04-23,261.51863812
1997-04-24,261.65240577
1997-04-25,259.79130332
1997-04-28,263.01401881
1997-04-29,271.55730032
1997-04-30,274.18499318
1997-05-01,272.70902173
1997-05-02,278.12969723
1997-05-05,283.27057777
1997-05-06,283.08689081
1997-05-07,277.89642001
1997-05-08,279.3288561
1997-05-09,281.69365483
1997-05-12,286.36316128
1997-05-13,284.72380855
1997-05-14,286.34406761
1997-05-15,288.57375403
1997-05-16,283.39129495
1997-05-19,283.9545189
1997-05-20,288.34317119
1997-05-21,286.75044912
1997-05-22,285.80138634
1997-05-23,289.6920911
1997-05-26,289.6920911
1997-05-27,290.39343333
1997-05-28,289.08708461
1997-05-29,287.07417507
1997-05-30,288.226635
1997-06-02,286.5288865
1997-06-03,286.0554501
1997-06-04,284.37727625
1997-06-05,285.86149696
1997-06-06,292.3201584
1997-06-09,294.74688207
1997-06-10,294.88268309
1997-06-11,297.50085796
1997-06-12,302.81662532
1997-06-13,306.78490897
1997-06-16,306.76839643
1997-06-17,306.98983465
1997-06-18,304.67093454
1997-06-19,309.09342909
1997-06-20,309.59025267
1997-06-23,301.78631376
1997-06-24,309.56611482
1997-06-25,306.59863744
1997-06-26,304.36968888
1997-06-27,305.89563635
1997-06-30,304.09681797
1997-07-01,306.4051276
1997-07-02,311.32927815
1997-07-03,316.78630849
1997-07-04,316.78630849
1997-07-07,314.35078128
1997-07-08,316.9945455
1997-07-09,313.22354334
1997-07-10,314.77617061
1997-07-11,316.3381935
1997-07-14,317.15861706
1997-07-15,320.11578284
1997-07-16,325.65173923
1997-07-17,324.67795178
1997-07-18,318.04996082
1997-07-21,316.88965254
1997-07-22,324.61690689
1997-07-23,325.33996525
1997-07-24,326.76228581
1997-07-25,325.58712093
1997-07-28,323.05766952
1997-07-29,325.14673408
1997-07-30,328.95720181
1997-07-31,329.90713525
1997-08-01,327.24453235
1997-08-04,327.85279574
1997-08-05,328.55867739
1997-08-06,330.68919037
1997-08-07,326.71462139
1997-08-08,319.48552463
1997-08-11,319.2160417
1997-08-12,314.78850831
1997-08-13,313.67879517
1997-08-14,315.89101903
1997-08-15,306.34396707
1997-08-18,311.59754042
1997-08-19,317.16749673
1997-08-20,322.44144925
1997-08-21,316.50751194
1997-08-22,315.12576218
1997-08-25,312.67787987
1997-08-26,309.35571449
1997-08-27,309.81398323
1997-08-28,306.2248644
1997-08-29,305.04442937
1997-09-01,305.04442937
1997-09-02,315.32612073
1997-09-03,315.04126343
1997-09-04,316.49064282
1997-09-05,315.88778054
1997-09-08,316.3522095
1997-09-09,316.95865781
1997-09-10,310.72550603
1997-09-11,308.53326357
1997-09-12,312.93922047
1997-09-15,311.07191606
1997-09-16,321.17996211
1997-09-17,320.98871856
1997-09-18,321.32729009
1997-09-19,322.97497162
1997-09-22,325.50853351
1997-09-23,324.86804745
1997-09-24,321.16663238
1997-09-25,318.2897342
1997-09-26,321.8862506
1997-09-29,325.0862703
1997-09-30,321.80430362
