Date,SWITZERLAND MOMENTUM
1995-05-31,1000.0
1995-06-30,1029.146772498052
1995-07-31,1048.3463881093764
1995-08-31,1038.0347679570634
1995-09-29,1148.1985630087668
1995-10-31,1211.9303542916364
1995-11-30,1240.6900214313325
1995-12-29,1284.1242789799242
1996-01-31,1198.5158748138604
1996-02-29,1256.1051613865502
1996-03-29,1408.6351442769214
1996-04-30,1348.3316072832392
1996-05-31,1292.5600339411544
1996-06-28,1370.3613689292686
1996-07-31,1334.8858076788845
1996-08-30,1399.7786151698992
1996-09-30,1376.4111724143454
1996-10-31,1357.4117179888256
1996-11-29,1367.989470115755
1996-12-31,1344.0165255254062
1997-01-01,1344.0165255254062
1997-01-02,1343.5662519723342
1997-01-03,1330.735462722581
1997-01-06,1324.478062127667
1997-01-07,1325.9329815396145
1997-01-08,1326.7500548423984
1997-01-09,1327.853831612443
1997-01-10,1312.807017843004
1997-01-13,1321.7166171855938
1997-01-14,1325.2705930401821
1997-01-15,1327.5108987383996
1997-01-16,1330.9493458398
1997-01-17,1317.9305180218248
1997-01-20,1297.0948796039113
1997-01-21,1295.7113163204144
1997-01-22,1310.8039601408605
1997-01-23,1331.5576780973179
1997-01-24,1338.6746404624396
1997-01-27,1331.4610682504551
1997-01-28,1334.171816671298
1997-01-29,1337.5616661107606
1997-01-30,1347.1751028128208
1997-01-31,1368.9362903219155
1997-02-03,1379.2007389577732
1997-02-04,1378.2992544821202
1997-02-05,1376.673144121856
1997-02-06,1386.6062456324332
1997-02-07,1384.3316810034835
1997-02-10,1406.8611843092956
1997-02-11,1414.075358441152
1997-02-12,1408.9162272916124
1997-02-13,1399.1244751392383
1997-02-14,1396.140428773396
1997-02-17,1392.6116871428376
1997-02-18,1394.271630220565
1997-02-19,1396.5490717982923
1997-02-20,1405.3196909866213
1997-02-21,1418.9899134330847
1997-02-24,1410.357600544672
1997-02-25,1416.362222542552
1997-02-26,1417.9840809278528
1997-02-27,1408.8819297979392
1997-02-28,1403.3727225335654
1997-03-03,1394.2900032805912
1997-03-04,1404.6180812123998
1997-03-05,1415.9149560586593
1997-03-06,1431.7371788842643
1997-03-07,1450.2513543648902
1997-03-10,1476.6834976709204
1997-03-11,1469.7685319193104
1997-03-12,1482.0678774016244
1997-03-13,1465.1322788744392
1997-03-14,1467.9570367605938
1997-03-17,1446.3814416422842
1997-03-18,1454.5665886567847
1997-03-19,1459.8557526415302
1997-03-20,1427.637467461247
1997-03-21,1433.6428835605861
1997-03-24,1431.3481597694974
1997-03-25,1451.2162618821865
1997-03-26,1467.5253366922614
1997-03-27,1492.9639271289561
1997-03-28,1496.0538835148734
1997-03-31,1505.2964765755996
1997-04-01,1454.816769101615
1997-04-02,1452.492909016899
1997-04-03,1443.255970446084
1997-04-04,1444.6554003983417
1997-04-07,1446.5323447021192
1997-04-08,1444.6291979598896
1997-04-09,1458.7758140812775
1997-04-10,1457.264356178944
1997-04-11,1446.722731897988
1997-04-14,1440.8200339700745
1997-04-15,1460.5769832404155
1997-04-16,1455.224369181836
1997-04-17,1473.8942498668591
1997-04-18,1501.1217269256622
1997-04-21,1522.7266540475969
1997-04-22,1521.4201797507758
1997-04-23,1526.526454250832
1997-04-24,1545.22679611555
1997-04-25,1518.2050822072588
1997-04-28,1520.7578674333881
1997-04-29,1542.6617773039948
1997-04-30,1550.8992032585345
1997-05-01,1558.7277531249142
1997-05-02,1571.8385228319162
1997-05-05,1593.5902132264453
1997-05-06,1592.5164597224923
1997-05-07,1603.2799457031754
1997-05-08,1621.5078771482583
1997-05-09,1636.716166023165
1997-05-12,1640.925856057979
1997-05-13,1651.4457114262464
1997-05-14,1664.1132970157219
1997-05-15,1670.4508640082643
1997-05-16,1688.3897688337597
1997-05-19,1677.7508919034904
1997-05-20,1681.45100159907
1997-05-21,1709.7019645933094
1997-05-22,1714.3406078728694
1997-05-23,1716.4355423859192
1997-05-26,1728.8809018886589
1997-05-27,1704.7875521812853
1997-05-28,1685.1866471735727
1997-05-29,1689.521366289894
1997-05-30,1652.9067949160042
1997-06-02,1671.8684153470124
1997-06-03,1682.536128343867
1997-06-04,1684.159940150676
1997-06-05,1686.284275696931
1997-06-06,1702.8316333111698
1997-06-09,1732.856192828933
1997-06-10,1724.7174491841176
1997-06-11,1721.662353888528
1997-06-12,1727.8830983750624
1997-06-13,1730.5448739072071
1997-06-16,1732.0174511964626
1997-06-17,1714.6839874701677
1997-06-18,1737.97306471376
1997-06-19,1784.2152801548116
1997-06-20,1797.077885318184
1997-06-23,1815.193157315694
1997-06-24,1810.5176774096426
1997-06-25,1841.0887666379517
1997-06-26,1840.5057096740743
1997-06-27,1843.4061538760482
1997-06-30,1801.8774531432966
1997-07-01,1811.317712440192
1997-07-02,1810.0872877508511
1997-07-03,1858.3900995992133
1997-07-04,1870.359638546081
1997-07-07,1918.8087408605559
1997-07-08,1926.9730720156895
1997-07-09,1915.6649771901687
1997-07-10,1903.7337634716675
1997-07-11,1863.7445876214997
1997-07-14,1856.1986031744098
1997-07-15,1853.5642790139236
1997-07-16,1871.1413830074866
1997-07-17,1853.3606131959114
1997-07-18,1819.549147799927
1997-07-21,1780.2750030374107
1997-07-22,1793.7865411906757
1997-07-23,1846.6154063481451
1997-07-24,1826.513681688098
1997-07-25,1804.3466928556518
1997-07-28,1813.3562492181807
1997-07-29,1807.302407325586
1997-07-30,1829.0217525155877
1997-07-31,1826.7162574597744
1997-08-01,1816.6245661985695
1997-08-04,1769.9777325011025
1997-08-05,1761.3413811273072
1997-08-06,1780.4647043184373
1997-08-07,1815.4535159465838
1997-08-08,1822.4164117826467
1997-08-11,1799.3741456851988
1997-08-12,1790.0724826691264
1997-08-13,1771.2694852443942
1997-08-14,1725.3584037413439
