Date,GERMANY MOMENTUM
1998-11-30,1000.0
1998-12-01,964.0373471842711
1998-12-02,954.6102588555274
1998-12-03,975.0749049395756
1998-12-04,973.1945844742446
1998-12-07,962.4536718518618
1998-12-08,968.1277813251254
1998-12-09,967.1919294067962
1998-12-10,962.3708648387465
1998-12-11,946.4074582871037
1998-12-14,943.8141097887135
1998-12-15,952.622776389096
1998-12-16,972.6588535025008
1998-12-17,985.5020430935706
1998-12-18,966.314574804824
1998-12-21,996.6435961124524
1998-12-22,1003.2073990725568
1998-12-23,1027.4487102240414
1998-12-24,1023.749222233055
1998-12-25,1023.749222233055
1998-12-28,1031.5562292202658
1998-12-29,1033.7017229106914
1998-12-30,1025.1453768626316
1998-12-31,1029.0844561205097
1999-01-01,1029.0848770505313
1999-01-04,1094.0294436117454
1999-01-05,1097.9185058408227
1999-01-06,1132.4529671923958
1999-01-07,1107.1328932311112
1999-01-08,1102.267562875276
1999-01-11,1075.2074638121358
1999-01-12,1072.915807899553
1999-01-13,1037.2353309047323
1999-01-14,1053.3268507836049
1999-01-15,1045.0769953136366
1999-01-18,1068.8702242498312
1999-01-19,1082.1043884367048
1999-01-20,1101.7843423690647
1999-01-21,1111.812659605049
1999-01-22,1074.712117096873
1999-01-25,1068.689641146339
1999-01-26,1071.97349000232
1999-01-27,1075.6800293203507
1999-01-28,1079.8374101580728
1999-01-29,1089.0854019286894
1999-02-01,1108.0535450123705
1999-02-02,1091.2492692267533
1999-02-03,1068.9370394377122
1999-02-04,1063.4935315567911
1999-02-05,1066.1080481426582
1999-02-08,1042.0615897074035
1999-02-09,1002.4629340288295
1999-02-10,987.8762993356563
1999-02-11,1004.8883132718029
1999-02-12,1016.3316269959596
1999-02-15,1008.8642027281229
1999-02-16,1000.3910750526372
1999-02-17,984.513059008521
1999-02-18,1004.315469891436
1999-02-19,990.0616368058176
1999-02-22,996.3879921278822
1999-02-23,1024.1452691171373
1999-02-24,1023.1782681436468
1999-02-25,1006.7155429119327
1999-02-26,996.5415409005773
1999-03-01,975.0869418321585
1999-03-02,981.6410432444642
1999-03-03,950.5386670581937
1999-03-04,948.977016830138
1999-03-05,974.5484054213896
1999-03-08,966.9480474932856
1999-03-09,961.984550023081
1999-03-10,951.1098566014842
1999-03-11,942.3294639912405
1999-03-12,993.1865333003224
1999-03-15,992.3680066896995
1999-03-16,998.3749587827149
1999-03-17,998.4013534216366
1999-03-18,985.4119339621583
1999-03-19,992.8929837318977
1999-03-22,977.4248848202803
1999-03-23,954.5170399511076
1999-03-24,939.7086333994641
1999-03-25,950.1470607624163
1999-03-26,922.0877474210345
1999-03-29,936.8462949452538
1999-03-30,938.0830113879936
1999-03-31,951.9331990119882
1999-04-01,959.1271164960085
1999-04-02,956.9979900291997
1999-04-05,951.1872490468675
1999-04-06,975.5804261841412
1999-04-07,980.8172764019764
1999-04-08,990.4955990611923
1999-04-09,992.0225726545634
1999-04-12,1009.7000039834716
1999-04-13,1021.6609253093959
1999-04-14,1011.8925746305896
1999-04-15,980.541945768641
1999-04-16,971.1204381946937
1999-04-19,981.3207932144701
1999-04-20,953.4880231705879
1999-04-21,964.00865996061
1999-04-22,966.7774408806155
1999-04-23,965.5496786641594
1999-04-26,978.3166247487243
1999-04-27,1004.3651054927653
1999-04-28,1000.3617202461173
1999-04-29,994.0160135313741
1999-04-30,991.6991871077206
1999-05-03,996.8666840850642
1999-05-04,1004.3543845774524
1999-05-05,990.1279805587849
1999-05-06,995.898777005579
1999-05-07,988.4503895780276
1999-05-10,987.0092198537257
1999-05-11,987.389070785691
1999-05-12,973.5177141070186
1999-05-13,969.3221067758784
1999-05-14,962.0864093023068
1999-05-17,943.6444581338143
1999-05-18,954.9876660567228
1999-05-19,968.8397067561425
1999-05-20,981.9989534589942
1999-05-21,979.2903319520666
1999-05-24,980.9139007843496
1999-05-25,963.3900731107253
1999-05-26,952.4337565429574
1999-05-27,932.0921297504782
1999-05-28,944.4267622979603
1999-05-31,949.0932714979666
1999-06-01,944.5876053302228
1999-06-02,936.3513981558938
1999-06-03,935.8542284218726
1999-06-04,943.525676949125
1999-06-07,965.3169032288504
1999-06-08,977.1321785840778
1999-06-09,988.8420895787536
1999-06-10,989.1826031309237
1999-06-11,1007.7660562951708
1999-06-14,997.0130512974725
1999-06-15,999.6494825795155
1999-06-16,993.0195143284058
1999-06-17,1002.2970538383486
1999-06-18,1003.6068849206314
1999-06-21,1016.5548839763735
1999-06-22,1019.3934559196807
1999-06-23,1006.3727082629966
1999-06-24,998.1534244635799
1999-06-25,1013.6112568499228
1999-06-28,1004.7250772515285
1999-06-29,1004.0516769599625
1999-06-30,1001.9199446204941
1999-07-01,1010.4851685977994
1999-07-02,1012.6758704809151
1999-07-05,1034.009494331577
1999-07-06,1035.486658219496
1999-07-07,1030.4236344480864
1999-07-08,1028.635495410916
1999-07-09,1028.2794216431132
1999-07-12,1018.6547377167187
1999-07-13,1010.1023628465127
1999-07-14,1019.1722458480518
1999-07-15,1031.8652261055968
1999-07-16,1029.6553073193245
1999-07-19,1028.6512276969597
1999-07-20,1032.4905156941
1999-07-21,1024.4903222278465
1999-07-22,1012.4248931657492
1999-07-23,1012.4384990730141
1999-07-26,1011.2918976776316
1999-07-27,1013.3739474220467
1999-07-28,1016.6725027914061
1999-07-29,990.0740439198712
1999-07-30,1002.3753195697421
1999-08-02,1009.3110697137873
1999-08-03,1005.563525602757
1999-08-04,1017.1212592836611
1999-08-05,995.1686561308771
1999-08-06,999.4149300158692
1999-08-09,1005.1341407514271
1999-08-10,994.4458245968123
1999-08-11,990.1802903150773
1999-08-12,1004.2333785351973
1999-08-13,1008.4038269807946
1999-08-16,1019.3143775061661
1999-08-17,1009.964229682921
1999-08-18,1003.8250475774842
1999-08-19,1002.0020001024512
