Date,EM IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1017.2021662175986
2010-05-28,1023.8618688563416
2010-05-31,1039.3911594599997
2010-06-01,1020.5674847179306
2010-06-02,1027.2787735807442
2010-06-03,1042.735907707435
2010-06-04,1042.3335324459383
2010-06-07,1027.5204482508177
2010-06-08,1027.2801150099115
2010-06-09,1029.2650989467074
2010-06-10,1040.301077588674
2010-06-11,1050.4912483077212
2010-06-14,1049.2255965998108
2010-06-15,1052.908652074311
2010-06-16,1054.341995180901
2010-06-17,1056.529595938041
2010-06-18,1060.6922902711938
2010-06-21,1086.2318909716705
2010-06-22,1086.1677681986532
2010-06-23,1085.0975350817093
2010-06-24,1068.7612678350688
2010-06-25,1069.9764647069587
2010-06-28,1071.7803002008877
2010-06-29,1059.521052393212
2010-06-30,1044.7234264065862
2010-07-01,1021.0882741293456
2010-07-02,1012.3926534297859
2010-07-05,1018.8280184570465
2010-07-06,1028.1092525578774
2010-07-07,1026.59639778232
2010-07-08,1034.4746596712232
2010-07-09,1045.977753478078
2010-07-12,1049.7582910300002
2010-07-13,1046.6162509518963
2010-07-14,1043.1623946707016
2010-07-15,1024.981651365641
2010-07-16,1013.5593119050708
2010-07-19,1012.2471066850462
2010-07-20,1028.3400018129007
2010-07-21,1045.118022552131
2010-07-22,1048.1070499066618
2010-07-23,1062.2643267455571
2010-07-26,1056.7871944459002
2010-07-27,1059.53400242636
2010-07-28,1059.3775151100056
2010-07-29,1059.2780024826745
2010-07-30,1062.9934578017994
2010-08-02,1071.4144012133606
2010-08-03,1063.4137853946343
2010-08-04,1072.3334745153506
2010-08-05,1074.3489617999778
2010-08-06,1062.543710864875
2010-08-09,1069.0509174229933
2010-08-10,1067.2163371733925
2010-08-11,1065.711355654347
2010-08-12,1066.8618921059017
2010-08-13,1075.7763491461455
2010-08-16,1077.2898066500036
2010-08-17,1082.0078763923957
2010-08-18,1083.4046432440978
2010-08-19,1082.864595397998
2010-08-20,1092.9295941063133
2010-08-23,1094.9631633923254
2010-08-24,1081.0656452568826
2010-08-25,1074.6864012573974
2010-08-26,1070.4229648409685
2010-08-27,1081.059877142293
2010-08-30,1086.7692093901837
2010-08-31,1081.1127431813154
2010-09-01,1091.5765985894009
2010-09-02,1094.5079570162363
2010-09-03,1100.4643721743134
2010-09-06,1105.2004367642578
2010-09-07,1113.9168195904897
2010-09-08,1111.9023177460615
2010-09-09,1120.3567584285415
2010-09-10,1125.4731239129828
2010-09-13,1136.0348349685894
2010-09-14,1131.5934007441015
2010-09-15,1126.723862626503
2010-09-16,1114.9704506940618
2010-09-17,1123.0034403585048
2010-09-20,1128.080477879563
2010-09-21,1124.9662577056602
2010-09-22,1108.3490571860261
2010-09-23,1113.3102761556104
2010-09-24,1106.5062411433512
2010-09-27,1118.7461056684417
2010-09-28,1113.7188891363637
2010-09-29,1120.651390902178
2010-09-30,1119.2322316992995
2010-10-01,1118.0265853909139
2010-10-04,1127.0714555615368
2010-10-05,1122.1128129412857
2010-10-06,1130.0631531106
2010-10-07,1123.777914393674
2010-10-08,1121.1806237665887
2010-10-11,1135.9729960190186
2010-10-12,1134.6122005946274
2010-10-13,1140.4820438383379
2010-10-14,1139.5575447501747
2010-10-15,1140.3069186742312
2010-10-18,1131.498973296339
2010-10-19,1137.8204464882126
2010-10-20,1124.3075276725224
2010-10-21,1124.278128356351
2010-10-22,1128.4482319666645
2010-10-25,1131.0160247805577
2010-10-26,1141.1233762624718
2010-10-27,1130.883357577074
2010-10-28,1127.3214447387845
2010-10-29,1133.260966925082
2010-11-01,1147.5782970133919
2010-11-02,1140.2985020333826
2010-11-03,1151.9592684620677
2010-11-04,1153.9108859760422
2010-11-05,1176.8427566122198
2010-11-08,1187.7591032305704
2010-11-09,1186.495752276255
2010-11-10,1193.9568697559969
2010-11-11,1193.9306612986932
2010-11-12,1176.4876239261243
2010-11-15,1178.5607835431395
2010-11-16,1167.7339276927446
2010-11-17,1161.120140780884
2010-11-18,1173.5683058450118
2010-11-19,1171.0871520076191
2010-11-22,1178.7325970280212
2010-11-23,1168.2159544658205
2010-11-24,1178.2171783516892
2010-11-25,1184.2327871706887
2010-11-26,1183.3970596914996
2010-11-29,1194.7146496398793
2010-11-30,1193.4917848211298
2010-12-01,1207.2968343203731
2010-12-02,1215.9823482406787
2010-12-03,1206.0362815797312
2010-12-06,1219.437804849099
2010-12-07,1217.3825376286597
2010-12-08,1215.7112877013592
2010-12-09,1222.739579800741
2010-12-10,1216.8685369072252
2010-12-13,1210.7794726467737
2010-12-14,1215.4174330955702
2010-12-15,1213.6838110354024
2010-12-16,1218.4025498282529
2010-12-17,1225.0216165768538
2010-12-20,1223.5746536059512
2010-12-21,1234.4600217121215
2010-12-22,1240.2778151092443
2010-12-23,1244.5661174525458
2010-12-24,1239.8557587353466
2010-12-27,1235.9770194736955
2010-12-28,1234.5846662200063
2010-12-29,1243.9115983824925
2010-12-30,1238.9508277436148
2010-12-31,1233.5063210289998
2011-01-03,1251.2016568601807
2011-01-04,1257.109989364568
2011-01-05,1267.8918965007047
2011-01-06,1273.3676282951847
2011-01-07,1271.3045358565216
2011-01-10,1269.7069117425324
2011-01-11,1278.8726701671324
2011-01-12,1282.2040051102751
2011-01-13,1258.4430286868203
2011-01-14,1250.8066769324255
2011-01-17,1253.624785467377
2011-01-18,1246.0035731148257
2011-01-19,1242.7895380851626
2011-01-20,1231.3446690404219
2011-01-21,1210.5901364667325
2011-01-24,1201.8668513462492
2011-01-25,1200.9118561294188
2011-01-26,1203.6947331784631
2011-01-27,1200.085559062357
2011-01-28,1191.23855230267
2011-01-31,1180.0598377337656
2011-02-01,1182.2546128081326
2011-02-02,1185.547292943622
2011-02-03,1197.0795567277635
2011-02-04,1203.4494603094206
2011-02-07,1198.5364887018827
2011-02-08,1186.2284361604968
2011-02-09,1168.4837397131896
2011-02-10,1155.7874842505632
2011-02-11,1157.7799272848313
2011-02-14,1175.6497863057803
2011-02-15,1168.8727265212776
2011-02-16,1176.4440220332126
2011-02-17,1174.6755057148098
2011-02-18,1178.8600642606389
2011-02-21,1176.783738586528
2011-02-22,1158.230171775353
2011-02-23,1145.7702434959485
2011-02-24,1135.6021896369027
2011-02-25,1153.208356221186
2011-02-28,1156.2109185773056
2011-03-01,1161.9635955195624
2011-03-02,1158.2903213383206
2011-03-03,1163.0444845736813
2011-03-04,1166.7967537425525
2011-03-07,1161.7581655712834
2011-03-08,1176.8236663664636
2011-03-09,1175.1769865527365
2011-03-10,1169.0749751810254
2011-03-11,1155.0826770320518
2011-03-14,1148.6002928154949
2011-03-15,1119.437145147273
2011-03-16,1125.1330274764814
2011-03-17,1111.3379418443621
2011-03-18,1110.8129611163235
2011-03-21,1118.8154214223146
2011-03-22,1125.4147983019188
2011-03-23,1135.1333062925105
2011-03-24,1139.1692722681794
2011-03-25,1152.6965902116362
2011-03-28,1148.6821594856106
2011-03-29,1157.3513642729824
2011-03-30,1170.8273578311596
2011-03-31,1174.5556264983293
2011-04-01,1192.936189566536
2011-04-04,1195.5890288662056
2011-04-05,1201.0688618948084
2011-04-06,1200.1947530990242
2011-04-07,1206.7926724341085
