Date,KOREA IMI MOMENTUM
1998-12-31,1000.0
1999-01-01,999.9999999999995
1999-01-04,1075.2285043885697
1999-01-05,1094.8196722831594
1999-01-06,1123.320862666274
1999-01-07,1178.4424519064974
1999-01-08,1146.2448792426915
1999-01-11,1180.4978395498078
1999-01-12,1146.130263129104
1999-01-13,1113.8005238346336
1999-01-14,1027.6629077607859
1999-01-15,1067.879241100283
1999-01-18,1075.765270702668
1999-01-19,1077.2614281539813
1999-01-20,1080.0564752873188
1999-01-21,1018.3960656548951
1999-01-22,967.1112750223575
1999-01-25,957.5968564713864
1999-01-26,948.272237387955
1999-01-27,1018.6063583682684
1999-01-28,1023.902618184091
1999-01-29,1028.6881200721132
1999-02-01,1063.9688690812602
1999-02-02,1035.344211304763
1999-02-03,1004.936306516461
1999-02-04,1012.0614176776589
1999-02-05,1022.3736592011073
1999-02-08,1016.3414195266461
1999-02-09,995.303734240547
1999-02-10,993.1421879019028
1999-02-11,995.6220997624503
1999-02-12,1051.4672957411976
1999-02-15,1055.350701852821
1999-02-16,1061.1805835723055
1999-02-17,1056.1736779434148
1999-02-18,1029.1335637842017
1999-02-19,987.6202915278182
1999-02-22,948.8393580296595
1999-02-23,948.4905755232611
1999-02-24,938.3454231697341
1999-02-25,925.5380887122457
1999-02-26,968.4487399315132
1999-03-01,975.9355608513655
1999-03-02,998.6518162823296
1999-03-03,995.275509260241
1999-03-04,990.1464766545743
1999-03-05,993.1317107684442
1999-03-08,1066.5581315990325
1999-03-09,1071.4751975221877
1999-03-10,1057.8724765349507
1999-03-11,1099.7490458376833
1999-03-12,1102.7571872772835
1999-03-15,1107.0004849386505
1999-03-16,1125.1168238958717
1999-03-17,1108.7838598910762
1999-03-18,1075.4368961803361
1999-03-19,1126.8059689718777
1999-03-22,1135.4503414466408
1999-03-23,1146.614899130264
1999-03-24,1128.4089724160262
1999-03-25,1130.1332641449644
1999-03-26,1147.725006530974
1999-03-29,1135.177467906192
1999-03-30,1157.4379778322102
1999-03-31,1148.5814235080504
1999-04-01,1188.985279921378
1999-04-02,1199.7518561671218
1999-04-05,1205.5455372028923
1999-04-06,1238.9241647625606
1999-04-07,1254.3851098576595
1999-04-08,1266.9047884551196
1999-04-09,1286.0674371236335
1999-04-12,1262.3228516067832
1999-04-13,1268.0005118106178
1999-04-14,1274.491142357854
1999-04-15,1389.153598567981
1999-04-16,1427.233663597642
1999-04-19,1533.0823341958292
1999-04-20,1554.9645166256373
1999-04-21,1511.4576477022172
1999-04-22,1498.5750796270236
1999-04-23,1532.7791873211515
1999-04-26,1642.5258287934382
1999-04-27,1669.9083564881205
1999-04-28,1666.1064137782932
1999-04-29,1571.9821099887472
1999-04-30,1565.1564553690305
1999-05-03,1556.893569680983
1999-05-04,1570.3572964195218
1999-05-05,1558.4354677766175
1999-05-06,1628.6446393113645
1999-05-07,1645.6323068839065
1999-05-10,1663.0821887639581
1999-05-11,1601.6174032705364
1999-05-12,1572.4445905828497
1999-05-13,1481.8760374299495
1999-05-14,1468.880796105695
1999-05-17,1441.4059111688293
1999-05-18,1471.751029770229
1999-05-19,1491.5703073319753
1999-05-20,1430.053328017463
1999-05-21,1444.4196061712469
1999-05-24,1422.548877695553
1999-05-25,1436.522740457486
1999-05-26,1497.6568380105532
1999-05-27,1502.9910231512408
1999-05-28,1525.1477702341278
1999-05-31,1532.4875791671711
1999-06-01,1539.2671358067944
1999-06-02,1622.029206831192
1999-06-03,1624.4220723231083
1999-06-04,1666.1683343817845
1999-06-07,1797.8436713286442
1999-06-08,1832.0077568588356
1999-06-09,1738.0884646186566
1999-06-10,1851.3793656264534
1999-06-11,1804.1129290275685
1999-06-14,1721.9470367335982
1999-06-15,1693.3587532245638
1999-06-16,1733.362726990778
1999-06-17,1758.288242989036
1999-06-18,1738.445486610481
1999-06-21,1779.6935551384197
1999-06-22,1781.455052151892
1999-06-23,1837.5559486704028
1999-06-24,1812.1426407137972
1999-06-25,1808.4542105766002
1999-06-28,1867.323301965992
1999-06-29,1858.3475237509385
1999-06-30,1829.6724893044718
1999-07-01,1907.590993255219
1999-07-02,1934.1873195957755
1999-07-05,2003.1355878342777
1999-07-06,1988.151604343098
1999-07-07,2033.0803286733983
1999-07-08,2012.280530630567
1999-07-09,2080.2017609648597
1999-07-12,2002.4057903034702
1999-07-13,1949.294991522489
1999-07-14,1858.7444064454708
1999-07-15,1903.5670965029565
1999-07-16,1988.2258541894416
1999-07-19,1958.494152565991
1999-07-20,1851.0846423260966
1999-07-21,1743.7507189368316
1999-07-22,1749.8086914247492
1999-07-23,1614.537777656665
1999-07-26,1496.5988056022495
1999-07-27,1628.5772229046947
1999-07-28,1668.7013267316067
1999-07-29,1717.7461905022017
1999-07-30,1640.1007266542706
1999-08-02,1614.8281932912155
1999-08-03,1638.5419461864622
1999-08-04,1641.5244946954456
1999-08-05,1579.2452806108013
1999-08-06,1581.736346735851
1999-08-09,1615.4899295249518
1999-08-10,1645.9590517755373
