Date,THAILAND IMI MOMENTUM
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,999.397973241192
1999-01-05,1075.3182129997049
1999-01-06,1120.1783953068878
1999-01-07,1129.8317832547855
1999-01-08,1145.2631135925578
1999-01-11,1155.4757341163004
1999-01-12,1161.112707502686
1999-01-13,1078.930034463244
1999-01-14,1082.3060380998843
1999-01-15,1085.7722467474139
1999-01-18,1099.8099768026455
1999-01-19,1094.5629044945417
1999-01-20,1134.1930675242108
1999-01-21,1098.9176009265886
1999-01-22,1048.1997915108182
1999-01-25,1006.3135794194932
1999-01-26,1016.9760830839831
1999-01-27,1044.2912443346463
1999-01-28,1034.9093177745456
1999-01-29,1013.0578342871497
1999-02-01,1016.4562909148272
1999-02-02,981.6968775457752
1999-02-03,957.8656454110205
1999-02-04,957.1405425330352
1999-02-05,936.51676816103
1999-02-08,905.4727320379025
1999-02-09,871.7259753327605
1999-02-10,858.3587858647688
1999-02-11,854.4779257782799
1999-02-12,942.528913772623
1999-02-15,955.752047470512
1999-02-16,977.4317709858775
1999-02-17,929.3151562347808
1999-02-18,939.2447612300627
1999-02-19,941.6151085511315
1999-02-22,928.8768038753882
1999-02-23,941.4158129361094
1999-02-24,947.6374704604438
1999-02-25,929.582590294522
1999-02-26,978.8069008579029
1999-03-01,983.272883277753
1999-03-02,969.3966018207813
1999-03-03,987.5500358275092
1999-03-04,982.2316722549282
1999-03-05,970.6689188194365
1999-03-08,959.1630087965783
1999-03-09,917.3393085318611
1999-03-10,926.2026258568369
1999-03-11,973.3892545924161
1999-03-12,967.9018285231816
1999-03-15,1007.3325065000384
1999-03-16,993.3402097401549
1999-03-17,990.3657677074957
1999-03-18,1000.059273553599
1999-03-19,1009.6081352351679
1999-03-22,990.7993483563839
1999-03-23,993.4942754528798
1999-03-24,968.0261339198981
1999-03-25,980.5436595919679
1999-03-26,991.1362289828468
1999-03-29,986.6568863297359
1999-03-30,976.5256510299401
1999-03-31,961.341815818195
1999-04-01,960.8166902907742
1999-04-02,957.165752239999
1999-04-05,928.7591790423984
1999-04-06,923.0264046178021
1999-04-07,958.4819858749964
1999-04-08,957.384450015738
1999-04-09,971.3302891966059
1999-04-12,959.1695971797348
1999-04-13,965.8461749111407
1999-04-14,970.9344067754595
1999-04-15,979.5335427542382
1999-04-16,1072.0594532597593
1999-04-19,1121.218970500231
1999-04-20,1095.6506045377973
1999-04-21,1082.7553225823822
1999-04-22,1093.2840914203703
1999-04-23,1079.7388296235547
1999-04-26,1118.7398759564958
1999-04-27,1149.2582067497083
1999-04-28,1181.4466525963899
1999-04-29,1211.4859586364878
1999-04-30,1298.6863173382917
1999-05-03,1305.436963753542
1999-05-04,1455.324866896211
1999-05-05,1445.3922712713497
1999-05-06,1457.813946414452
1999-05-07,1380.4673279834208
1999-05-10,1416.959572550329
1999-05-11,1438.798124809896
1999-05-12,1427.7649490022936
1999-05-13,1405.3048380488833
1999-05-14,1400.599911730244
1999-05-17,1400.8630787164059
1999-05-18,1435.0755318318995
1999-05-19,1442.0560347293144
1999-05-20,1419.1012212617718
1999-05-21,1431.1684964928681
1999-05-24,1412.347286009343
1999-05-25,1381.5645867562348
1999-05-26,1387.6025882890347
1999-05-27,1412.5312561714654
1999-05-28,1320.1426407666386
1999-05-31,1325.4713430264892
1999-06-01,1354.7995448479562
1999-06-02,1402.1555827100192
1999-06-03,1398.387039070873
1999-06-04,1415.3352140910204
1999-06-07,1433.4412525348353
1999-06-08,1467.6813033866913
1999-06-09,1551.46181335076
1999-06-10,1552.1238800597996
1999-06-11,1533.583229405146
1999-06-14,1551.743207430509
1999-06-15,1545.413862133402
1999-06-16,1577.5303109452238
1999-06-17,1619.7170970371535
1999-06-18,1591.4604945044828
1999-06-21,1648.6552654258232
1999-06-22,1702.8093968350224
1999-06-23,1669.7974447443678
1999-06-24,1665.1199894235017
1999-06-25,1656.0639513905094
1999-06-28,1620.1446985601885
1999-06-29,1586.1209410903657
1999-06-30,1584.8075156436257
1999-07-01,1597.8321332419548
1999-07-02,1626.7148848679724
1999-07-05,1635.826938860351
1999-07-06,1610.0303752063644
1999-07-07,1549.0295517072575
1999-07-08,1475.492522071093
1999-07-09,1496.954430433269
1999-07-12,1528.1469706771948
1999-07-13,1486.9882930949607
1999-07-14,1456.0614901497029
1999-07-15,1465.4132648018094
1999-07-16,1448.1846973264085
1999-07-19,1435.8081051466766
1999-07-20,1425.271230860416
1999-07-21,1435.834384321571
1999-07-22,1394.5850824218362
1999-07-23,1349.0199709990886
1999-07-26,1258.9347227520082
1999-07-27,1261.8222463997688
1999-07-28,1271.6146988965904
1999-07-29,1242.7477145788973
1999-07-30,1219.9909043506145
1999-08-02,1197.2582512870556
1999-08-03,1220.5793458242288
1999-08-04,1203.2935309702214
1999-08-05,1183.9641146693946
1999-08-06,1133.7545501494599
