Date,EAFE VALUE WEIGHTED
1994-06-30,369.9931508
1994-07-29,377.9508883
1994-08-31,388.2570494
1994-09-30,375.2314978
1994-10-31,388.5376376
1994-11-30,370.3701482
1994-12-30,372.3780844
1995-01-31,360.2462402
1995-02-28,362.0284477
1995-03-31,384.0832115
1995-04-28,396.7826438
1995-05-31,397.0373838
1995-06-30,392.7886731
1995-07-31,415.9171043
1995-08-31,400.0360771
1995-09-29,408.4289574
1995-10-31,399.3917381
1995-11-30,409.3990409
1995-12-29,425.9695793
1996-01-31,430.9296138
1996-02-29,433.716251
1996-03-29,441.0325928
1996-04-30,453.8687561
1996-05-31,449.8451445
1996-06-28,453.2744699
1996-07-31,442.5580981
1996-08-30,447.5212413
1996-09-30,459.2168946
1996-10-31,459.2894707
1996-11-29,481.3953187
1996-12-31,480.9906148
1997-01-01,480.9906148
1997-01-02,475.6072923
1997-01-03,476.0744043
1997-01-06,478.0571719
1997-01-07,476.5545132
1997-01-08,475.5325245
1997-01-09,472.9406651
1997-01-10,467.2148717
1997-01-13,472.7295578
1997-01-14,475.3933729
1997-01-15,477.0201905
1997-01-16,480.2467674
1997-01-17,478.1219483
1997-01-20,473.2029371
1997-01-21,471.1913388
1997-01-22,473.0670678
1997-01-23,472.4274179
1997-01-24,469.5383198
1997-01-27,465.1424386
1997-01-28,464.3669391
1997-01-29,464.251612
1997-01-30,464.6547016
1997-01-31,469.6406933
1997-02-03,468.4064768
1997-02-04,469.7001224
1997-02-05,470.6062564
1997-02-06,470.1359587
1997-02-07,469.1107195
1997-02-10,474.6658314
1997-02-11,472.5533492
1997-02-12,472.6843288
1997-02-13,473.4290236
1997-02-14,474.9314092
1997-02-17,473.6780842
1997-02-18,472.2983047
1997-02-19,472.3906803
1997-02-20,475.7380545
1997-02-21,476.9174978
1997-02-24,479.2422102
1997-02-25,482.03295
1997-02-26,478.3828984
1997-02-27,479.2275939
1997-02-28,475.5081996
1997-03-03,473.6711083
