Date,EUROPE ex UK VALUE WEIGHTED
1992-05-29,210.1083446
1992-06-30,208.0708566
1992-07-31,199.8021595
1992-08-31,199.0689088
1992-09-30,192.9163929
1992-10-30,181.2342862
1992-11-30,179.5663791
1992-12-31,181.6090037
1993-01-29,186.6518418
1993-02-26,193.7275377
1993-03-31,201.0713617
1993-04-30,205.3570298
1993-05-31,206.9139254
1993-06-30,205.6599679
1993-07-30,208.3396495
1993-08-31,230.0748798
1993-09-30,229.4875231
1993-10-29,238.7843924
1993-11-30,230.0631483
1993-12-31,249.3103802
1994-01-31,264.1127315
1994-02-28,258.6015961
1994-03-31,259.6596279
1994-04-29,273.9795464
1994-05-31,263.4632998
1994-06-30,259.3526877
1994-07-29,274.4007849
1994-08-31,278.7283622
1994-09-30,266.8352174
1994-10-31,275.8553031
1994-11-30,265.473475
1994-12-30,266.4803455
1995-01-31,265.9919992
1995-02-28,272.9811497
1995-03-31,280.9959189
1995-04-28,292.0420903
1995-05-31,299.3347272
1995-06-30,303.0820567
1995-07-31,317.7604734
1995-08-31,300.9289644
1995-09-29,308.8907163
1995-10-31,307.5577262
1995-11-30,310.8322746
1995-12-29,322.1346297
1996-01-31,326.7716185
1996-02-29,334.0314299
1996-03-29,338.8355115
1996-04-30,342.6832496
1996-05-31,346.3179232
1996-06-28,352.5709236
1996-07-31,345.0319165
1996-08-30,350.8188232
1996-09-30,357.9719612
1996-10-31,361.7594086
1996-11-29,379.630399
1996-12-31,384.4669975
1997-01-01,384.4669975
1997-01-02,379.5512479
1997-01-03,379.440746
1997-01-06,379.3642983
1997-01-07,379.8752767
1997-01-08,381.9768452
1997-01-09,383.6972285
1997-01-10,383.9097094
1997-01-13,387.8539636
1997-01-14,390.3024542
1997-01-15,391.4768748
1997-01-16,393.9000077
1997-01-17,391.3994793
1997-01-20,389.0169582
1997-01-21,387.2495261
1997-01-22,388.3300532
1997-01-23,390.8518803
1997-01-24,389.8829065
1997-01-27,387.2320126
1997-01-28,386.526188
1997-01-29,384.814594
1997-01-30,388.3574422
1997-01-31,392.4776887
1997-02-03,390.7817497
1997-02-04,391.9491727
1997-02-05,395.390717
1997-02-06,396.161813
1997-02-07,395.8386598
1997-02-10,400.4672686
1997-02-11,396.103279
1997-02-12,395.5258996
1997-02-13,396.663863
1997-02-14,397.6193426
1997-02-17,395.317591
1997-02-18,396.5169316
1997-02-19,394.6652656
1997-02-20,394.7416015
1997-02-21,395.2295852
1997-02-24,397.1398033
1997-02-25,400.1786102
1997-02-26,395.8484021
1997-02-27,396.1650063
1997-02-28,393.4930322
1997-03-03,392.676044
1997-03-04,395.7996765
1997-03-05,397.2689921
1997-03-06,400.4706261
1997-03-07,401.163541
1997-03-10,407.4792314
1997-03-11,407.6532099
1997-03-12,403.747299
1997-03-13,401.6687048
1997-03-14,403.1335475
1997-03-17,399.2323891
1997-03-18,397.1653946
1997-03-19,398.3173307
1997-03-20,390.5578148
1997-03-21,395.4643408
1997-03-24,393.250389
1997-03-25,397.8259597
1997-03-26,402.589073
1997-03-27,408.1214816
1997-03-28,407.863794
1997-03-31,409.0952398
1997-04-01,396.6064132
1997-04-02,394.803385
1997-04-03,391.7002571
1997-04-04,392.249818
1997-04-07,392.7091746
1997-04-08,392.9657172
1997-04-09,394.9058329
1997-04-10,394.1424288
1997-04-11,391.30007
1997-04-14,389.0794266
1997-04-15,393.5464001
1997-04-16,394.4767946
1997-04-17,396.6711839
1997-04-18,396.5181257
1997-04-21,399.509328
1997-04-22,397.9965889
1997-04-23,401.007647
1997-04-24,400.8252578
1997-04-25,396.6074215
1997-04-28,395.5048433
1997-04-29,400.9345232
1997-04-30,402.9302095
1997-05-01,406.2151524
1997-05-02,406.6451402
1997-05-05,410.1602765
1997-05-06,413.3853247
1997-05-07,413.9564089
1997-05-08,416.7968913
1997-05-09,421.2873863
1997-05-12,423.8041451
1997-05-13,426.789866
1997-05-14,429.0459505
1997-05-15,430.1932792
1997-05-16,432.9202288
1997-05-19,429.6722877
1997-05-20,430.6768019
1997-05-21,436.8667675
1997-05-22,434.7462755
1997-05-23,437.4631918
1997-05-26,437.0472833
1997-05-27,434.8643621
1997-05-28,429.9932063
1997-05-29,429.0713041
1997-05-30,421.262246
1997-06-02,422.0083241
1997-06-03,424.8221377
1997-06-04,426.4188687
1997-06-05,428.922177
1997-06-06,431.8802238
1997-06-09,435.5534531
1997-06-10,432.897563
1997-06-11,435.1353484
1997-06-12,438.9578366
1997-06-13,440.6580247
1997-06-16,442.6724399
1997-06-17,438.7323485
1997-06-18,441.7050076
1997-06-19,445.512122
1997-06-20,446.5587933
1997-06-23,449.7827484
1997-06-24,449.857506
1997-06-25,456.6484717
1997-06-26,455.8923534
1997-06-27,454.1205964
1997-06-30,448.6669867
1997-07-01,456.1693358
1997-07-02,455.8462236
1997-07-03,462.2165226
1997-07-04,463.5346096
1997-07-07,470.2417883
1997-07-08,466.8744007
1997-07-09,469.5546935
1997-07-10,467.6912206
1997-07-11,466.5401778
1997-07-14,464.9436798
1997-07-15,461.8555828
1997-07-16,469.5354547
1997-07-17,470.8412986
1997-07-18,463.956993
1997-07-21,457.8977026
1997-07-22,463.970252
1997-07-23,471.6554226
1997-07-24,466.106829
1997-07-25,466.1060286
1997-07-28,466.5127567
1997-07-29,466.5956917
1997-07-30,469.6117901
1997-07-31,470.524169
1997-08-01,463.1115167
1997-08-04,455.1628917
1997-08-05,451.6030521
1997-08-06,458.5547541
1997-08-07,464.7652334
1997-08-08,463.7144526
1997-08-11,459.7955102
1997-08-12,460.914769
1997-08-13,457.9419498
1997-08-14,452.1144682
1997-08-15,452.5734523
1997-08-18,445.9571317
1997-08-19,452.3609413
1997-08-20,453.7931755
1997-08-21,455.716314
1997-08-22,449.4722892
1997-08-25,448.7859442
1997-08-26,446.5636407
1997-08-27,445.5457375
1997-08-28,442.5013434
1997-08-29,437.369558
1997-09-01,440.8059089
1997-09-02,446.9084186
1997-09-03,451.7532054
1997-09-04,450.6731946
1997-09-05,456.2234421
1997-09-08,455.1330312
1997-09-09,453.8025907
1997-09-10,450.7130371
1997-09-11,446.8658166
1997-09-12,449.6746195
1997-09-15,455.7139068
1997-09-16,460.6677722
1997-09-17,465.3026328
