Date,WORLD ex UK VALUE WEIGHTED
1997-10-20,542.799525
1997-10-21,548.9231111
1997-10-22,547.9218512
1997-10-23,534.8473417
1997-10-24,532.7291498
1997-10-27,507.9667975
1997-10-28,511.4259128
1997-10-29,521.5776576
1997-10-30,513.6367457
1997-10-31,518.1748818
1997-11-03,528.1355746
1997-11-04,527.7422375
1997-11-05,528.5106764
1997-11-06,525.9523722
1997-11-07,517.0189863
1997-11-10,514.6081639
1997-11-11,515.2404921
1997-11-12,505.718591
1997-11-13,509.0784675
1997-11-14,509.9879111
1997-11-17,523.1198909
1997-11-18,523.6587846
1997-11-19,520.2081232
1997-11-20,527.4862345
1997-11-21,532.6692115
1997-11-24,525.7679572
1997-11-25,521.7771134
1997-11-26,522.1993595
1997-11-27,524.1703679
1997-11-28,526.101481
1997-12-01,534.6523172
1997-12-02,535.596304
1997-12-03,536.0121713
1997-12-04,534.7668129
1997-12-05,537.3693786
1997-12-08,537.5876238
1997-12-09,537.0836608
1997-12-10,534.1050769
1997-12-11,523.5901569
1997-12-12,522.2577428
1997-12-15,524.3873765
1997-12-16,525.8229893
1997-12-17,532.3193177
1997-12-18,527.8077191
1997-12-19,518.4755239
1997-12-22,516.4271007
1997-12-23,514.2926592
1997-12-24,513.1790387
1997-12-25,513.1923213
1997-12-26,514.3878074
1997-12-29,521.7553135
1997-12-30,529.7412972
1997-12-31,529.6401687
1998-01-01,529.6401687
1998-01-02,530.2712809
1998-01-05,529.49587
1998-01-06,524.0422706
1998-01-07,522.9273261
1998-01-08,517.5185557
1998-01-09,506.2854184
1998-01-12,500.9412028
1998-01-13,508.3690634
1998-01-14,514.3778028
1998-01-15,511.4879577
1998-01-16,521.2519563
1998-01-19,526.1298486
1998-01-20,530.4881293
1998-01-21,530.3212359
1998-01-22,527.8519093
1998-01-23,529.0259494
1998-01-26,533.2741998
1998-01-27,538.6179738
1998-01-28,541.8405199
1998-01-29,542.5127705
1998-01-30,539.5613881
1998-02-02,549.7679532
1998-02-03,554.5819066
1998-02-04,555.6640122
1998-02-05,559.8556156
1998-02-06,563.1564232
1998-02-09,563.4259013
1998-02-10,567.8548598
1998-02-11,568.4237728
1998-02-12,567.7390756
1998-02-13,561.6236128
1998-02-16,560.5093979
1998-02-17,563.6221368
1998-02-18,567.0234075
1998-02-19,565.1412434
1998-02-20,566.4135314
1998-02-23,568.5171469
1998-02-24,564.9568338
1998-02-25,569.6702213
1998-02-26,574.4296759
1998-02-27,578.8209767
1998-03-02,583.7492623
1998-03-03,584.0974645
1998-03-04,579.4556535
1998-03-05,571.8239181
1998-03-06,580.8583234
1998-03-09,581.8066752
1998-03-10,585.8131695
1998-03-11,586.1001453
1998-03-12,586.3774364
1998-03-13,591.8626993
1998-03-16,593.8705286
1998-03-17,596.861793
1998-03-18,594.7270449
1998-03-19,596.9110015
1998-03-20,601.5093895
1998-03-23,601.405471
1998-03-24,604.8331059
1998-03-25,607.6057808
1998-03-26,607.9626798
1998-03-27,606.3230516
1998-03-30,599.7211702
1998-03-31,602.3893392
1998-04-01,603.085698
1998-04-02,604.0133935
1998-04-03,604.8234457
1998-04-06,609.9549573
1998-04-07,607.0394462
1998-04-08,606.6841072
1998-04-09,613.430909
1998-04-10,613.4344435
1998-04-13,612.9541952
1998-04-14,618.1903047
1998-04-15,620.2697288
1998-04-16,611.0122919
1998-04-17,614.1330631
1998-04-20,615.9420611
1998-04-21,618.0298763
1998-04-22,617.4791943
1998-04-23,611.998375
1998-04-24,607.4098835
1998-04-27,593.2032583
1998-04-28,594.4401421
1998-04-29,596.187969
1998-04-30,605.5763961
1998-05-01,610.2209046
1998-05-04,614.7657869
1998-05-05,611.6811733
1998-05-06,607.4363001
1998-05-07,602.3701478
1998-05-08,606.7468943
1998-05-11,610.7205336
1998-05-12,610.1396437
1998-05-13,609.8961607
1998-05-14,608.6342082
1998-05-15,606.479094
1998-05-18,600.7007482
1998-05-19,604.7666287
1998-05-20,611.2786887
1998-05-21,613.9618059
1998-05-22,613.2834212
1998-05-25,613.2227996
1998-05-26,608.4351239
1998-05-27,600.6157462
1998-05-28,601.3717268
1998-05-29,599.6834404
1998-06-01,595.5567561
1998-06-02,598.4121928
1998-06-03,597.9048975
1998-06-04,599.9859967
1998-06-05,604.5409821
1998-06-08,605.0790651
1998-06-09,604.696288
1998-06-10,598.0368504
1998-06-11,588.6149204
1998-06-12,585.5838523
1998-06-15,571.8291384
1998-06-16,576.5954376
1998-06-17,590.9830712
1998-06-18,594.5261271
