Date,WORLD VALUE WEIGHTED
1994-06-30,314.051829
1994-07-29,322.3615264
1994-08-31,332.595366
1994-09-30,323.1859834
1994-10-31,332.5441745
1994-11-30,318.8727308
1994-12-30,321.8330452
1995-01-31,319.1540943
1995-02-28,325.5654804
1995-03-31,340.0928098
1995-04-28,351.0728571
1995-05-31,357.7171413
1995-06-30,358.2296532
1995-07-31,375.1902122
1995-08-31,367.8625085
1995-09-29,379.2973208
1995-10-31,373.3598377
1995-11-30,385.9437398
1995-12-29,398.3077957
1996-01-31,406.4854485
1996-02-29,409.1056525
1996-03-29,415.7922875
1996-04-30,425.1755788
1996-05-31,427.0659556
1996-06-28,429.4555774
1996-07-31,415.725143
1996-08-30,422.8661596
1996-09-30,438.1657639
1996-10-31,445.4220154
1996-11-29,472.2586109
1996-12-31,468.6016843
1997-01-01,468.6015668
1997-01-02,464.9668583
1997-01-03,467.6595228
1997-01-06,468.7220585
1997-01-07,469.3533688
1997-01-08,467.9500536
1997-01-09,468.2878846
1997-01-10,466.2643332
1997-01-13,469.369701
1997-01-14,473.1793697
1997-01-15,474.0222982
1997-01-16,476.0480955
1997-01-17,476.4161171
1997-01-20,473.8687747
1997-01-21,474.0472507
1997-01-22,476.1214368
1997-01-23,473.562709
1997-01-24,470.2861799
1997-01-27,466.8068061
1997-01-28,466.1961956
1997-01-29,468.0897047
1997-01-30,470.7473739
1997-01-31,474.0079855
1997-02-03,473.6178764
1997-02-04,475.1316512
1997-02-05,473.0761744
1997-02-06,473.2196358
1997-02-07,474.9492467
1997-02-10,477.3080323
1997-02-11,477.3805667
1997-02-12,480.3319413
1997-02-13,483.10628
1997-02-14,483.3128155
1997-02-17,482.598019
1997-02-18,483.8490024
1997-02-19,482.8649507
1997-02-20,482.1561301
1997-02-21,482.6974925
1997-02-24,486.2315881
1997-02-25,488.5555929
1997-02-26,484.7107992
1997-02-27,482.6790571
1997-02-28,479.6086887
1997-03-03,479.6235464
1997-03-04,479.8094178
1997-03-05,481.8798994
1997-03-06,482.1675608
1997-03-07,484.4458435
1997-03-10,488.4111371
1997-03-11,488.3749899
1997-03-12,484.3535229
1997-03-13,478.3496894
1997-03-14,479.999902
1997-03-17,478.4190612
1997-03-18,476.9595431
1997-03-19,476.5231924
1997-03-20,471.530615
1997-03-21,474.5822296
1997-03-24,475.6674384
1997-03-25,477.7699722
1997-03-26,479.8261038
1997-03-27,476.7099661
1997-03-28,476.5727518
1997-03-31,472.772212
1997-04-01,468.5730399
1997-04-02,466.2553542
1997-04-03,464.6177481
1997-04-04,465.340328
1997-04-07,465.8124447
1997-04-08,467.4770181
1997-04-09,465.9958667
1997-04-10,464.8437266
1997-04-11,458.915331
1997-04-14,458.2404989
1997-04-15,463.5541698
1997-04-16,467.1355769
1997-04-17,468.0357942
1997-04-18,470.0113636
1997-04-21,470.8289387
1997-04-22,473.5956854
1997-04-23,475.0036599
1997-04-24,474.3376443
1997-04-25,470.8801195
1997-04-28,472.7577713
1997-04-29,480.5182557
1997-04-30,484.2012743
1997-05-01,485.7101423
1997-05-02,490.26894
1997-05-05,495.5717033
1997-05-06,501.0097435
1997-05-07,498.0597715
1997-05-08,500.2036746
1997-05-09,503.983577
1997-05-12,510.8005744
1997-05-13,510.8236493
1997-05-14,513.147491
1997-05-15,514.6611756
1997-05-16,514.1316558
1997-05-19,513.5787045
1997-05-20,516.9652807
1997-05-21,517.0514142
1997-05-22,514.3458808
1997-05-23,518.98881
1997-05-26,519.4904517
1997-05-27,517.8640591
1997-05-28,517.8230849
1997-05-29,516.2884278
1997-05-30,513.399237
1997-06-02,514.1655435
1997-06-03,515.6456478
1997-06-04,515.0977258
