Date,WORLD ex AUSTRALIA VALUE WEIGHTED
1997-11-12,490.17299911
1997-11-13,492.61536248
1997-11-14,493.90784547
1997-11-17,506.36145023
1997-11-18,506.69031269
1997-11-19,503.45659356
1997-11-20,510.59578245
1997-11-21,515.24138968
1997-11-24,508.91592199
1997-11-25,504.76920746
1997-11-26,504.96170502
1997-11-27,506.89040959
1997-11-28,508.33607146
1997-12-01,516.5534497
1997-12-02,517.8124677
1997-12-03,518.21652786
1997-12-04,518.03667073
1997-12-05,520.17577803
1997-12-08,520.39318087
1997-12-09,519.77732242
1997-12-10,516.93218491
1997-12-11,507.093744
1997-12-12,506.1836969
1997-12-15,508.00053566
1997-12-16,509.98675434
1997-12-17,515.81906047
1997-12-18,511.89498951
1997-12-19,502.8594495
1997-12-22,501.01313996
1997-12-23,499.26285479
1997-12-24,498.12837529
1997-12-25,498.139903
1997-12-26,499.19713731
1997-12-29,506.52499378
1997-12-30,513.17471067
1997-12-31,512.89350671
1998-01-01,512.89350671
1998-01-02,513.71338301
1998-01-05,513.71162685
1998-01-06,508.91529583
1998-01-07,507.42844078
1998-01-08,502.52882851
1998-01-09,491.76088498
1998-01-12,486.71652348
1998-01-13,493.8035798
1998-01-14,499.04896899
1998-01-15,497.07526979
1998-01-16,506.35544663
1998-01-19,510.35725926
1998-01-20,513.95421521
1998-01-21,513.92446573
1998-01-22,512.43312371
1998-01-23,513.19548188
1998-01-26,517.06264229
1998-01-27,522.12581217
1998-01-28,525.23166188
1998-01-29,526.09870881
1998-01-30,523.62592854
1998-02-02,533.74143832
1998-02-03,538.54474868
1998-02-04,539.64875928
1998-02-05,543.53909658
1998-02-06,546.37282323
1998-02-09,545.683365
1998-02-10,549.30482817
1998-02-11,550.0137869
1998-02-12,549.25795182
1998-02-13,544.17110718
1998-02-16,544.08817948
1998-02-17,547.13705927
1998-02-18,550.86085964
1998-02-19,548.7522902
1998-02-20,550.4584718
1998-02-23,552.44646213
1998-02-24,549.27341702
1998-02-25,554.20825947
1998-02-26,558.28201307
1998-02-27,562.28089474
1998-03-02,567.48985958
1998-03-03,567.86873568
1998-03-04,562.79092399
