Date,EUROPE VALUE WEIGHTED
1994-06-30,248.74552574
1994-07-29,263.04609518
1994-08-31,271.42519859
1994-09-30,259.89650018
1994-10-31,271.1149251
1994-11-30,260.39433227
1994-12-30,261.73084952
1995-01-31,260.08406225
1995-02-28,265.38645453
1995-03-31,277.73873372
1995-04-28,286.43909256
1995-05-31,293.8696899
1995-06-30,296.25490437
1995-07-31,311.61589176
1995-08-31,298.32645822
1995-09-29,306.77941151
1995-10-31,305.76875258
1995-11-30,308.79244586
1995-12-29,319.65651203
1996-01-31,322.40735624
1996-02-29,328.15774101
1996-03-29,331.56102352
1996-04-30,335.90258997
1996-05-31,339.94508592
1996-06-28,343.18797236
1996-07-31,339.53914676
1996-08-30,349.7303601
1996-09-30,357.09876759
1996-10-31,365.35859109
1996-11-29,385.07711351
1996-12-31,394.17122873
1997-01-01,394.17122873
1997-01-02,387.4276112
1997-01-03,388.66013498
1997-01-06,388.78985568
1997-01-07,389.29871188
1997-01-08,390.39600202
1997-01-09,391.78902937
1997-01-10,389.93741029
1997-01-13,393.33513122
1997-01-14,396.95820708
1997-01-15,398.24385396
1997-01-16,400.90722844
1997-01-17,399.0393599
1997-01-20,396.41515582
1997-01-21,395.25197029
1997-01-22,395.93186495
1997-01-23,396.88657918
1997-01-24,394.6753162
1997-01-27,392.22537446
1997-01-28,391.12970996
1997-01-29,389.8169643
1997-01-30,392.32385372
1997-01-31,395.30808149
1997-02-03,394.44818525
1997-02-04,395.97420256
1997-02-05,399.89606123
1997-02-06,399.95912133
1997-02-07,400.37117469
1997-02-10,404.30518003
1997-02-11,401.96574645
1997-02-12,400.6883653
1997-02-13,400.85195563
1997-02-14,401.85267256
1997-02-17,399.9667637
1997-02-18,399.45574928
1997-02-19,399.6668667
1997-02-20,399.74183167
1997-02-21,400.25193303
1997-02-24,403.29133926
1997-02-25,406.0694875
1997-02-26,402.47320058
1997-02-27,402.44961803
1997-02-28,400.10261874
1997-03-03,398.78066683
1997-03-04,402.14691158
1997-03-05,402.71242101
1997-03-06,406.2133836
1997-03-07,406.71021653
1997-03-10,411.30647961
1997-03-11,411.92367219
1997-03-12,407.75020853
1997-03-13,406.07744951
1997-03-14,408.12375185
1997-03-17,403.68100354
1997-03-18,401.99525699
1997-03-19,402.92823238
1997-03-20,395.11330222
1997-03-21,399.07429512
1997-03-24,397.26270554
1997-03-25,402.56098392
1997-03-26,407.22530076
1997-03-27,411.48337119
1997-03-28,411.65304578
1997-03-31,413.12500004
1997-04-01,403.08848584
1997-04-02,401.48270029
1997-04-03,398.72939659
1997-04-04,399.81682553
