Date,WORLD ex EUROPE VALUE WEIGHTED
1994-05-31,1000.0
1994-06-30,995.5426211843901
1994-07-29,1007.9650512614234
1994-08-31,1039.9178219143964
1994-09-30,1017.4353895551513
1994-10-31,1040.2375011776955
1994-11-30,996.707430439572
1994-12-30,1007.952659556359
1995-01-31,998.5944140937345
1995-02-28,1018.5115952485822
1995-03-31,1063.0188445276508
1995-04-28,1097.8269755394087
1995-05-31,1114.8838905597868
1995-06-30,1112.8761082422823
1995-07-31,1163.145633582723
1995-08-31,1153.4771893561604
1995-09-29,1190.8039153418322
1995-10-31,1165.316578563244
1995-11-30,1217.7650975448166
1995-12-29,1254.8098081101414
1996-01-31,1288.2474519518064
1996-02-29,1289.1446621352172
1996-03-29,1314.1560766521827
1996-04-30,1350.1805085114302
1996-05-31,1351.0384555153034
1996-06-28,1355.9175574139279
1996-07-31,1297.9115131255119
1996-08-30,1311.5679789879548
1996-09-30,1369.478195947599
1996-10-31,1387.5119043682892
1996-11-29,1475.6565285715462
1996-12-31,1439.683778611028
1997-01-01,1439.6832172829152
1997-01-02,1435.9983621291196
1997-01-03,1446.3679005677925
1997-01-06,1451.1840128983597
1997-01-07,1453.1686095708512
1997-01-08,1444.233450683986
1997-01-09,1443.0214152632147
1997-01-10,1437.1074737475392
1997-01-13,1445.055521587424
1997-01-14,1455.9116750113405
1997-01-15,1457.3326004817447
1997-01-16,1461.6140272937785
1997-01-17,1467.1524395549359
1997-01-20,1460.3008114583272
1997-01-21,1463.507438499378
1997-01-22,1472.0356690536748
1997-01-23,1457.8842463933267
1997-01-24,1446.7146824593394
1997-01-27,1435.0596900510898
1997-01-28,1434.3620327186918
1997-01-29,1446.0622883301057
1997-01-30,1453.6777296042915
1997-01-31,1463.2059675016985
1997-02-03,1463.0843376297837
1997-02-04,1467.2233988085225
1997-02-05,1449.4612606470284
1997-02-06,1450.018743661843
1997-02-07,1457.446078666402
1997-02-10,1460.7412465810328
1997-02-11,1465.8287102347333
1997-02-12,1482.5161083615308
1997-02-13,1495.439341378706
1997-02-14,1494.3971102651483
1997-02-17,1494.8027377049514
1997-02-18,1501.7999209875923
1997-02-19,1496.680573291113
1997-02-20,1493.1485517907624
1997-02-21,1494.7014043258662
1997-02-24,1505.4251042213375
1997-02-25,1510.912555028129
1997-02-26,1499.8268616242265
1997-02-27,1490.199417523433
1997-02-28,1480.292172195755
1997-03-03,1483.0186435578887
1997-03-04,1477.1439021385765
1997-03-05,1485.8674786020692
1997-03-06,1480.2046400334928
1997-03-07,1490.0568044905176
1997-03-10,1499.7073790622155
1997-03-11,1498.2964341070033
1997-03-12,1487.5276357385808
1997-03-13,1462.2996027056508
1997-03-14,1466.0483224282432
1997-03-17,1467.4417120086691
1997-03-18,1463.8747043777578
1997-03-19,1459.930351263586
1997-03-20,1451.8309448464038
1997-03-21,1458.4150776920244
1997-03-24,1467.2019421940877
1997-03-25,1466.6010700986858
1997-03-26,1467.0467038916127
1997-03-27,1443.691068781448
1997-03-28,1442.6978162411099
1997-03-31,1421.6585979683477
1997-04-01,1421.7982250575328
1997-04-02,1413.9879635672985
1997-04-03,1411.7138823394948
1997-04-04,1412.9728066114335
1997-04-07,1413.878392015528
1997-04-08,1422.486318814272
1997-04-09,1411.5204092282831
1997-04-10,1405.6298985129379
1997-04-11,1383.5692721217408
1997-04-14,1384.1505173561295
1997-04-15,1400.76108461683
1997-04-16,1416.395081060349
1997-04-17,1416.553259200592
1997-04-18,1425.4542837187369
1997-04-21,1423.55688605298
1997-04-22,1437.770182414493
1997-04-23,1440.287520781577
1997-04-24,1437.1094549037234
1997-04-25,1428.159339004141
1997-04-28,1437.0555436014845
1997-04-29,1462.6728065668456
1997-04-30,1479.0473493734078
1997-05-01,1480.8959417750502
1997-05-02,1502.1461506104592
1997-05-05,1522.0910551146608
1997-05-06,1537.174427376789
1997-05-07,1521.4345187242031
1997-05-08,1528.2697882598552
1997-05-09,1536.972220243025
1997-05-12,1562.7986916359268
1997-05-13,1556.9689187190666
1997-05-14,1563.8730571502904
1997-05-15,1570.1344832155473
1997-05-16,1563.2482013625904
1997-05-19,1567.0068651809945
1997-05-20,1582.8802327049107
1997-05-21,1572.6054930214514
1997-05-22,1564.2893343884055
1997-05-23,1582.349630823468
1997-05-26,1583.5983835728423
1997-05-27,1579.4390160433413
