Date,EAFE ex UK VALUE WEIGHTED
1994-05-31,1000.0
1994-06-30,1010.5496038092905
1994-07-29,1024.2153122395996
1994-08-31,1043.8528736584408
1994-09-30,1010.992721995475
1994-10-31,1040.890582065664
1994-11-30,991.2389606994009
1994-12-30,996.0704063094644
1995-01-31,959.6033929431187
1995-02-28,963.5191977476112
1995-03-31,1017.5987319114303
1995-04-28,1055.4241069014404
1995-05-31,1049.4041741028448
1995-06-30,1036.0199858417259
1995-07-31,1096.9762580445386
1995-08-31,1051.0437458044883
1995-09-29,1070.535089871588
1995-10-31,1042.0064817882499
1995-11-30,1071.9719109885114
1995-12-29,1117.2458894385416
1996-01-31,1134.1607162377002
1996-02-29,1141.163393859997
1996-03-29,1164.2388254712994
1996-04-30,1200.9919652497583
1996-05-31,1184.3876800097246
1996-06-28,1197.8978416515854
1996-07-31,1159.3308278437435
1996-08-30,1159.1304427564191
1996-09-30,1190.5266277632586
1996-10-31,1176.1037323252451
1996-11-29,1228.0465113255561
1996-12-31,1212.298689523582
1997-01-01,1212.298689523582
1997-01-02,1203.4784548641107
1997-01-03,1201.7480697248552
1997-01-06,1207.6773240192645
1997-01-07,1202.4383839253708
1997-01-08,1199.9389432969167
1997-01-09,1191.0256002037906
1997-01-10,1177.5514561858538
1997-01-13,1193.4494187766277
1997-01-14,1197.1376888548764
1997-01-15,1201.1456743261626
1997-01-16,1208.9708410338974
1997-01-17,1202.592325843197
1997-01-20,1189.3039050505447
1997-01-21,1182.7713062000457
1997-01-22,1188.916082227624
1997-01-23,1188.7057937893844
1997-01-24,1183.2700383021947
1997-01-27,1170.784673329964
1997-01-28,1169.8217193060032
1997-01-29,1169.8390963961892
1997-01-30,1170.8499618016033
1997-01-31,1186.3578117502548
1997-02-03,1181.69333421374
1997-02-04,1184.0276623963466
1997-02-05,1182.9984498869442
1997-02-06,1182.6167333321116
1997-02-07,1177.7727998772973
1997-02-10,1193.6108665082302
1997-02-11,1185.3333863498583
1997-02-12,1187.9405642325742
1997-02-13,1191.821406056106
1997-02-14,1195.7674432739625
1997-02-17,1192.5627283219894
1997-02-18,1191.3929882213176
1997-02-19,1188.0917701255696
1997-02-20,1198.7533918787312
1997-02-21,1202.089699118371
1997-02-24,1205.2512156098362
1997-02-25,1212.4278294862918
1997-02-26,1202.3588760295459
1997-02-27,1205.6394899951388
1997-02-28,1195.0552388983244
1997-03-03,1191.0607120238817
1997-03-04,1195.6489598168675
1997-03-05,1194.1537326975254
1997-03-06,1194.6022759912548
1997-03-07,1196.5799341223246
1997-03-10,1207.293213014793
1997-03-11,1209.7082127480014
1997-03-12,1199.747615035439
1997-03-13,1190.1150100602674
1997-03-14,1190.9315129458407
1997-03-17,1184.538787740856
1997-03-18,1185.3816869011875
1997-03-19,1187.8522340742197
1997-03-20,1171.557127997979
1997-03-21,1184.3406851214243
1997-03-24,1177.1936100213736
1997-03-25,1186.8910077343908
1997-03-26,1196.834228407714
1997-03-27,1204.5703075887889
1997-03-28,1203.146530194279
1997-03-31,1204.0218892584357
1997-04-01,1179.3126737971593
1997-04-02,1181.3893165437732
1997-04-03,1175.5486492149403
1997-04-04,1170.6937190114404
1997-04-07,1164.710171694199
1997-04-08,1169.854973667101
1997-04-09,1167.9333549218902
1997-04-10,1162.134707701799
1997-04-11,1160.9703228400874
1997-04-14,1151.0224338525538
1997-04-15,1161.4195552354183
1997-04-16,1168.6115194584318
1997-04-17,1173.8047601225408
1997-04-18,1178.6667169584568
1997-04-21,1190.5704343601235
1997-04-22,1186.1570562678098
1997-04-23,1196.3546186190877
1997-04-24,1195.586090720475
1997-04-25,1187.0406279290276
1997-04-28,1182.9863987194753
1997-04-29,1191.6059698763145
1997-04-30,1204.2437282208302
1997-05-01,1215.06353251743
1997-05-02,1219.5800982458318
1997-05-05,1226.7257220507406
1997-05-06,1248.8896677396929
1997-05-07,1249.9490396941892
1997-05-08,1256.3039228437704
1997-05-09,1266.8051178373528
1997-05-12,1283.7964363435663
1997-05-13,1287.860938327399
1997-05-14,1294.6830315039324
1997-05-15,1298.4241773156773
1997-05-16,1308.784251990766
1997-05-19,1303.431002745744
1997-05-20,1313.4735458145692
1997-05-21,1315.0493220351586
1997-05-22,1304.6775082123459
1997-05-23,1315.0451736600462
1997-05-26,1315.1233967678597
1997-05-27,1306.9536523049524
1997-05-28,1308.7202314692731
1997-05-29,1304.5027365463363
1997-05-30,1284.2928299487135
1997-06-02,1296.428959686802
