Date,FAR EAST VALUE WEIGHTED
1994-05-31,1000.0
1994-06-30,1037.5015116224222
1994-07-29,1012.7950380119407
1994-08-31,1032.5409085134418
1994-09-30,1011.2757396802197
1994-10-31,1037.7202240612478
1994-11-30,978.1483034777565
1994-12-30,983.0945799657536
1995-01-31,917.8963945993017
1995-02-28,899.2882256345513
1995-03-31,978.6474561597262
1995-04-28,1010.5325302737383
1995-05-31,976.3455507561862
1995-06-30,942.4910193237225
1995-07-31,1005.6288618320639
1995-08-31,968.9562717367689
1995-09-29,981.7918818211162
1995-10-31,935.6524988079236
1995-11-30,979.369446759538
1995-12-29,1028.82658129953
1996-01-31,1043.6934903818271
1996-02-29,1030.3294214908478
1996-03-29,1060.1203037008383
1996-04-30,1116.108973973415
1996-05-31,1072.4145679768162
1996-06-28,1079.601925304772
1996-07-31,1032.3202795506145
1996-08-30,1005.8738697585916
1996-09-30,1043.1754031422379
1996-10-31,995.579696755269
1996-11-29,1032.8806520793548
1996-12-31,985.7104719728765
1997-01-01,985.7104719728765
1997-01-02,985.675289526792
1997-01-03,983.0336083372259
1997-01-06,994.6964891853179
1997-01-07,982.8090444907218
1997-01-08,971.7377941084701
1997-01-09,948.4987039333909
1997-01-10,921.4788270712847
1997-01-13,940.0078037211925
1997-01-14,938.936650557447
1997-01-15,942.4115686912002
1997-01-16,949.6186106175005
1997-01-17,944.9090169772181
1997-01-20,926.6622292372978
1997-01-21,920.7289564667649
1997-01-22,929.0393113665515
1997-01-23,921.1427664316766
1997-01-24,914.0224453474614
1997-01-27,898.5940958257135
1997-01-28,900.3495843515477
1997-01-29,904.7956112573621
1997-01-30,896.2306601138731
1997-01-31,913.3257316933992
1997-02-03,908.7544223805851
1997-02-04,911.5525602584036
1997-02-05,897.1851008405476
1997-02-06,893.7778850874978
1997-02-07,885.3426251809852
1997-02-10,902.196253255247
1997-02-11,899.4138932587203
1997-02-12,905.6182961792613
1997-02-13,906.2771549273969
1997-02-14,911.9331008763452
1997-02-17,911.9869329191237
1997-02-18,905.647501194748
1997-02-19,905.6223188285792
1997-02-20,926.317575944763
1997-02-21,930.3014116369543
1997-02-24,929.4209372620052
1997-02-25,932.3778089589817
1997-02-26,927.9283415036456
1997-02-27,934.3350664309705
1997-02-28,923.4722648326482
1997-03-03,918.0179911591563
1997-03-04,915.5589622225625
1997-03-05,908.6287009347157
1997-03-06,897.8511765685886
1997-03-07,899.4229574730955
1997-03-10,898.8147243350348
1997-03-11,901.9648419962853
1997-03-12,895.7466048055647
1997-03-13,884.2996178616527
1997-03-14,882.0367964668537
1997-03-17,882.6679433283259
1997-03-18,893.906628575034
1997-03-19,896.115467515839
1997-03-20,888.881834484448
1997-03-21,898.4320665380116
1997-03-24,890.4405985657919
1997-03-25,895.3004070513333
1997-03-26,899.0635256340352
1997-03-27,895.2248370264139
1997-03-28,892.9355825726162
1997-03-31,890.7078947732105
1997-04-01,886.2190080209899
1997-04-02,896.3339153683677
1997-04-03,895.821276152987
1997-04-04,884.8563526964999
1997-04-07,871.8825910080966
1997-04-08,880.1611575678365
1997-04-09,868.9324885456738
1997-04-10,860.0559150402873
1997-04-11,867.0876718308244
1997-04-14,856.7271880848822
1997-04-15,862.3179378616805
1997-04-16,872.5679279635367
1997-04-17,874.7015735877447
1997-04-18,882.7515908540043
1997-04-21,895.8837312357581
1997-04-22,891.7478461030676
1997-04-23,900.8817273056288
1997-04-24,900.1882733655023
1997-04-25,897.0245427764675
1997-04-28,893.0976305303633
1997-04-29,891.0404695625924
1997-04-30,908.6301403699442
1997-05-01,918.8723689660358
1997-05-02,925.8250700170267
1997-05-05,929.040756221138
1997-05-06,961.1658045048014
1997-05-07,961.0560877009519
1997-05-08,964.2780088864945
1997-05-09,969.2547801893049
1997-05-12,994.3146403995277
1997-05-13,992.6825094264557
1997-05-14,999.1773672294844
1997-05-15,1003.4306569906462
1997-05-16,1014.2687612479682
1997-05-19,1014.7434312781354
1997-05-20,1031.1907676892683
1997-05-21,1011.9506521660626
1997-05-22,998.6782901357363
1997-05-23,1011.8661754299479
1997-05-26,1012.1534466097577
1997-05-27,1004.2512907884742
1997-05-28,1023.6838781302498
1997-05-29,1017.8690574011636
1997-05-30,1002.6437936689665
1997-06-02,1021.3531194313764
1997-06-03,1025.1248839796194
1997-06-04,1029.4177077048223
1997-06-05,1031.4840212784939
1997-06-06,1028.8024645095995
1997-06-09,1043.3306872250018
