Date,PACIFIC ex JP VALUE WEIGHTED
1994-06-30,254.0345053
1994-07-29,268.3879742
1994-08-31,284.9736631
1994-09-30,277.695502
1994-10-31,282.1283485
1994-11-30,260.8255772
1994-12-30,258.4477935
1995-01-31,237.1805196
1995-02-28,259.7082172
1995-03-31,262.1237363
1995-04-28,266.9439361
1995-05-31,285.1200816
1995-06-30,281.9275147
1995-07-31,293.2027554
1995-08-31,285.5986124
1995-09-29,293.5100762
1995-10-31,290.4333031
1995-11-30,294.1268349
1995-12-29,304.4395912
1996-01-31,329.9975189
1996-02-29,332.2664244
1996-03-29,333.2332332
1996-04-30,342.7897001
1996-05-31,342.5594996
1996-06-28,338.6397647
1996-07-31,322.8220314
1996-08-30,337.4819646
1996-09-30,347.6429961
1996-10-31,358.7696163
1996-11-29,383.9560044
1996-12-31,385.1414045
1997-01-01,385.1414045
1997-01-02,381.344371
1997-01-03,381.5874875
1997-01-06,384.8369691
1997-01-07,385.5276071
1997-01-08,386.0095961
1997-01-09,383.6141974
1997-01-10,382.2645319
1997-01-13,382.0277958
1997-01-14,381.1849655
1997-01-15,387.0213804
1997-01-16,387.0239229
1997-01-17,389.0975132
1997-01-20,390.3048861
1997-01-21,386.9443487
1997-01-22,388.032059
1997-01-23,387.7804948
1997-01-24,383.983424
1997-01-27,382.1570574
1997-01-28,380.9781595
1997-01-29,380.6981318
1997-01-30,379.9024839
1997-01-31,380.0295714
1997-02-03,382.33067
1997-02-04,381.1656784
1997-02-05,383.0823451
1997-02-06,383.5709269
1997-02-07,383.5076691
1997-02-10,381.8291867
1997-02-11,381.110095
1997-02-12,383.9920876
1997-02-13,385.6542787
1997-02-14,383.3287438
1997-02-17,384.8602504
1997-02-18,383.8318298
1997-02-19,383.7949301
1997-02-20,387.1982532
1997-02-21,387.6829501
1997-02-24,386.4036917
1997-02-25,388.9333625
1997-02-26,386.9883415
1997-02-27,386.3129773
1997-02-28,384.5622767
1997-03-03,385.2172731
1997-03-04,385.3727815
1997-03-05,384.090267
1997-03-06,384.5612936
1997-03-07,383.6546561
1997-03-10,383.2462038
1997-03-11,384.7296331
1997-03-12,382.0967106
1997-03-13,379.1549852
