Date,KOKUSAI VALUE WEIGHTED
1994-06-30,263.146018
1994-07-29,274.9453141
1994-08-31,285.2235655
1994-09-30,276.6920333
1994-10-31,284.6676513
1994-11-30,273.591885
1994-12-30,276.0774342
1995-01-31,277.4580527
1995-02-28,287.4716843
1995-03-31,296.5341849
1995-04-28,305.5409232
1995-05-31,317.2544095
1995-06-30,321.2373177
1995-07-31,334.0791746
1995-08-31,328.9491319
1995-09-29,341.2141804
1995-10-31,339.3186468
1995-11-30,349.1057997
1995-12-29,358.7590317
1996-01-31,368.4314336
1996-02-29,372.5179922
1996-03-29,377.1427163
1996-04-30,382.6536022
1996-05-31,388.9976982
1996-06-28,390.7366122
1996-07-31,378.9535438
1996-08-30,389.7812343
1996-09-30,403.8927604
1996-10-31,416.4767498
1996-11-29,444.0707033
1996-12-31,444.6597463
1997-01-01,444.6596167
1997-01-02,440.4145715
1997-01-03,443.7016033
1997-01-06,444.0298959
1997-01-07,445.9453821
1997-01-08,445.5790062
1997-01-09,447.9598666
1997-01-10,448.2215412
1997-01-13,449.8579519
1997-01-14,454.0565669
1997-01-15,455.1436535
1997-01-16,456.6605323
1997-01-17,457.6809708
1997-01-20,456.7508709
1997-01-21,457.3141662
1997-01-22,458.8806945
1997-01-23,456.869658
1997-01-24,453.6233241
1997-01-27,451.1437277
1997-01-28,450.3191887
1997-01-29,451.838678
1997-01-30,455.6250573
1997-01-31,457.5938071
1997-02-03,457.7297371
1997-02-04,459.2162872
1997-02-05,458.4114963
1997-02-06,458.9320562
1997-02-07,461.6530576
1997-02-10,462.5526446
1997-02-11,462.7579247
1997-02-12,465.6085803
1997-02-13,468.4493571
1997-02-14,468.0105722
1997-02-17,467.2475719
1997-02-18,469.1335258
1997-02-19,468.085972
1997-02-20,465.6198768
1997-02-21,465.7827398
1997-02-24,469.5664093
1997-02-25,471.9669956
1997-02-26,468.0843627
1997-02-27,465.2515318
1997-02-28,462.8666681
1997-03-03,463.447871
1997-03-04,463.7831966
1997-03-05,466.699596
1997-03-06,467.9918409
1997-03-07,470.2646044
1997-03-10,474.564463
1997-03-11,474.2594888
1997-03-12,470.2307158
1997-03-13,464.5003414
1997-03-14,466.2644949
1997-03-17,464.5248212
1997-03-18,461.6232791
1997-03-19,460.8963401
1997-03-20,455.7473507
1997-03-21,458.1161455
1997-03-24,460.4060137
1997-03-25,462.3749278
1997-03-26,464.2188625
1997-03-27,460.8938764
1997-03-28,460.9271601
1997-03-31,456.8317549
1997-04-01,452.1865134
1997-04-02,448.6713816
1997-04-03,446.7230532
1997-04-04,448.70087
1997-04-07,450.529884
1997-04-08,451.8404013
1997-04-09,451.2912556
1997-04-10,450.7144819
1997-04-11,443.4936388
1997-04-14,443.3347131
1997-04-15,448.5607201
1997-04-16,451.7697945
1997-04-17,452.5229292
1997-04-18,453.9777465
