Date,NORTH AMERICA VALUE WEIGHTED
1994-06-30,253.1756432
1994-07-29,261.6377519
1994-08-31,271.5766743
1994-09-30,265.7462301
1994-10-31,271.0818354
1994-11-30,262.2519894
1994-12-30,266.0988573
1995-01-31,273.4317592
1995-02-28,284.4978488
1995-03-31,291.0989135
1995-04-28,300.1934818
1995-05-31,313.4162179
1995-06-30,319.6021481
1995-07-31,329.3297287
1995-08-31,332.1629903
1995-09-29,347.3147006
1995-10-31,345.0327176
1995-11-30,360.7792207
1995-12-29,368.157216
1996-01-31,380.3108456
1996-02-29,382.7392277
1996-03-29,388.7208011
1996-04-30,393.9799615
1996-05-31,403.0730676
1996-06-28,404.2972015
1996-07-31,387.0658342
1996-08-30,396.7169996
1996-09-30,416.181038
1996-10-31,431.6603062
1996-11-29,464.0388246
1996-12-31,456.3270957
1997-01-01,456.3268317
1997-01-02,454.8383315
1997-01-03,460.3138354
1997-01-06,460.240198
1997-01-07,463.5258599
1997-01-08,461.6396301
1997-01-09,465.6159045
1997-01-10,468.170956
1997-01-13,468.3085694
1997-01-14,473.5649458
1997-01-15,473.4409395
1997-01-16,473.9914856
1997-01-17,477.4520029
1997-01-20,477.8276144
1997-01-21,480.7217766
1997-01-22,483.0557119
1997-01-23,478.1007404
1997-01-24,474.3221961
1997-01-27,471.9561516
1997-01-28,471.5459919
1997-01-29,475.9435497
1997-01-30,481.4165287
1997-01-31,482.5568186
1997-02-03,483.2124935
1997-02-04,485.0096378
1997-02-05,479.2615015
1997-02-06,480.168516
1997-02-07,485.3338556
1997-02-10,483.7350206
1997-02-11,486.5242442
1997-02-12,493.001177
1997-02-13,498.3179231
1997-02-14,496.9140729
1997-02-17,496.8639058
1997-02-18,501.3846438
1997-02-19,499.059209
1997-02-20,493.3153129
1997-02-21,493.0687422
1997-02-24,498.1265405
1997-02-25,499.8889405
1997-02-26,495.7775884
1997-02-27,490.1742631
1997-02-28,487.8864046
1997-03-03,490.1928789
1997-03-04,487.6590644
1997-03-05,493.2960451
1997-03-06,492.5172399
1997-03-07,496.8401839
1997-03-10,501.3055671
1997-03-11,499.8159111
1997-03-12,496.0855318
1997-03-13,486.5892741
1997-03-14,488.9846964
1997-03-17,489.6072049
1997-03-18,486.264954
1997-03-19,484.1889711
1997-03-20,481.6909816
1997-03-21,482.9975816
1997-03-24,488.4899619
1997-03-25,487.391014
1997-03-26,486.8111494
1997-03-27,476.3680429
1997-03-28,476.2863457
1997-03-31,466.8231109
1997-04-01,468.4191938
1997-04-02,462.7662191
1997-04-03,461.9582487
1997-04-04,464.7923475
1997-04-07,467.8399307
1997-04-08,470.0656242
1997-04-09,466.8953225
1997-04-10,465.877716
1997-04-11,454.0925597
1997-04-14,456.7966252
1997-04-15,463.4748687
1997-04-16,468.652852
1997-04-17,468.1275162
1997-04-18,470.3357843
1997-04-21,466.7468162
1997-04-22,474.1877503
1997-04-23,473.3564197
1997-04-24,472.0384356
1997-04-25,468.4136535
1997-04-28,473.4747669
1997-04-29,485.7180282
1997-04-30,489.8148474
1997-05-01,488.5996398
1997-05-02,497.1469137
1997-05-05,506.051576
1997-05-06,506.6256267
1997-05-07,499.1546534
1997-05-08,501.7440116
1997-05-09,504.6676612
1997-05-12,511.8684722
1997-05-13,509.4656305
1997-05-14,511.5271359
1997-05-15,513.767955
1997-05-16,508.2459068
1997-05-19,510.0046071
1997-05-20,514.2377901
1997-05-21,512.7739778
1997-05-22,511.5163318
1997-05-23,517.7626772
1997-05-26,518.0529563
1997-05-27,517.8619866
1997-05-28,516.5918825
1997-05-29,514.91006
1997-05-30,517.8698781
1997-06-02,516.6212019
1997-06-03,517.4094282
1997-06-04,515.0946788
1997-06-05,516.9731297
1997-06-06,524.4335828
1997-06-09,526.3498794
1997-06-10,528.5957282
1997-06-11,531.3228571
1997-06-12,539.7497508
1997-06-13,545.107569
1997-06-16,545.5379096
1997-06-17,545.2979585
1997-06-18,543.0476627
1997-06-19,547.3838262
1997-06-20,547.2542953
1997-06-23,535.8833434
1997-06-24,545.4857962
1997-06-25,541.3502704
1997-06-26,538.8071201
1997-06-27,540.4021032
1997-06-30,539.1277882
1997-07-01,543.342352
1997-07-02,550.8426554
1997-07-03,557.9391439
1997-07-04,557.9392707
1997-07-07,554.9689777
1997-07-08,558.5595985
1997-07-09,552.2016827
1997-07-10,555.8987861
1997-07-11,557.9028413
1997-07-14,557.7973602
1997-07-15,561.3541404
1997-07-16,567.3425452
1997-07-17,564.0441947
1997-07-18,555.9475766
1997-07-21,554.2077725
1997-07-22,565.959569
1997-07-23,567.4860683
1997-07-24,569.8461601
1997-07-25,568.8564059
1997-07-28,568.8145179
1997-07-29,573.0856103
1997-07-30,579.912992
1997-07-31,581.4914209
1997-08-01,577.4667307
1997-08-04,578.7916559
1997-08-05,579.6415323
1997-08-06,584.6701038
1997-08-07,579.8013784
1997-08-08,569.1536849
1997-08-11,572.4025364
1997-08-12,566.710494
1997-08-13,564.43588
1997-08-14,565.9206126
1997-08-15,553.1821256
1997-08-18,559.3908804
1997-08-19,566.2032562
1997-08-20,573.3151001
1997-08-21,565.5352086
1997-08-22,564.5972564
1997-08-25,563.7503232
1997-08-26,559.7574484
1997-08-27,560.4720975
1997-08-28,555.1396614
1997-08-29,552.4219173
1997-09-01,552.4441231
1997-09-02,567.318228
1997-09-03,568.4160146
1997-09-04,569.504734
1997-09-05,568.7656932
1997-09-08,571.4815037
1997-09-09,573.3532707
1997-09-10,566.2455696
1997-09-11,562.1978229
1997-09-12,568.5365489
1997-09-15,567.7338697
1997-09-16,581.521387
1997-09-17,580.5666882
1997-09-18,583.8038911
1997-09-19,584.41807
1997-09-22,587.0697978
1997-09-23,584.5074028
1997-09-24,580.7621761
1997-09-25,576.4439045
1997-09-26,580.9144037
1997-09-29,585.3496487
1997-09-30,582.6201337
1997-10-01,586.8338951
1997-10-02,589.2998569
1997-10-03,592.1809479
1997-10-06,597.1383247
1997-10-07,602.3256946
1997-10-08,597.1807467
1997-10-09,595.2456795
1997-10-10,592.9399518
1997-10-13,594.1613267
1997-10-14,595.3672574
1997-10-15,592.9292347
1997-10-16,587.9275283
1997-10-17,582.2271537
1997-10-20,588.3678937
1997-10-21,598.751314
1997-10-22,597.4346625
1997-10-23,586.7532239
1997-10-24,582.1072724
1997-10-27,544.2986133
1997-10-28,566.5781258
1997-10-29,568.1444081
1997-10-30,559.1227861
1997-10-31,565.4701494
1997-11-03,579.0022504
1997-11-04,579.4177719
1997-11-05,580.8833735
1997-11-06,578.4808797
1997-11-07,571.8615055
1997-11-10,569.311826
1997-11-11,570.3735953
1997-11-12,560.4568756
1997-11-13,565.9051754
1997-11-14,571.6474826
1997-11-17,582.1296186
1997-11-18,579.082328
1997-11-19,582.3371679
1997-11-20,590.6753088
1997-11-21,593.5076719
1997-11-24,584.8216952
1997-11-25,586.9498198
1997-11-26,586.7722481
1997-11-27,586.5148515
1997-11-28,589.360502
1997-12-01,601.3233143
1997-12-02,600.3373336
1997-12-03,602.9196059
1997-12-04,601.4315965
1997-12-05,607.6499106
1997-12-08,607.4765227
1997-12-09,604.2407638
1997-12-10,600.416524
1997-12-11,591.6922587
1997-12-12,590.9781551
1997-12-15,597.123531
1997-12-16,599.0428501
1997-12-17,598.2865023
1997-12-18,592.3862241
1997-12-19,587.3492152
1997-12-22,591.4861172
1997-12-23,583.6508841
1997-12-24,580.5577943
1997-12-25,580.5577943
1997-12-26,582.4414059
1997-12-29,591.7144764
1997-12-30,601.2064721
1997-12-31,601.4829845
1998-01-01,601.4829845
1998-01-02,603.6400039
1998-01-05,604.0836272
1998-01-06,597.5219772
1998-01-07,596.2374325
1998-01-08,590.4013745
1998-01-09,573.6081267
1998-01-12,579.0938574
1998-01-13,586.3978228
1998-01-14,590.0169268
1998-01-15,585.7281406
1998-01-16,591.4829298
1998-01-19,591.8401219
1998-01-20,600.4766495
1998-01-21,595.4692976
1998-01-22,590.4436449
1998-01-23,587.3009428
1998-01-26,588.4659886
1998-01-27,594.8335345
1998-01-28,599.1869009
1998-01-29,603.8272045
1998-01-30,600.3091413
1998-02-02,612.3618584
1998-02-03,616.0393208
1998-02-04,616.2194833
1998-02-05,615.7733969
1998-02-06,620.9240544
1998-02-09,620.6928966
1998-02-10,624.8931777
1998-02-11,625.8696126
1998-02-12,628.5770061
1998-02-13,626.4970415
1998-02-16,626.4991282
1998-02-17,628.6162764
1998-02-18,633.4721597
1998-02-19,630.8386984
1998-02-20,634.1428963
1998-02-23,635.3411046
1998-02-24,631.5642752
1998-02-25,638.585253
1998-02-26,642.2149382
1998-02-27,643.0320345
1998-03-02,642.8556929
1998-03-03,646.0354816
1998-03-04,643.3088653
1998-03-05,637.4446825
1998-03-06,648.3471848
1998-03-09,648.3535569
1998-03-10,655.0574038
1998-03-11,658.9902075
1998-03-12,659.879845
1998-03-13,658.7960737
1998-03-16,665.3465402
1998-03-17,666.6143243
1998-03-18,669.56998
1998-03-19,671.7326275
1998-03-20,677.6276747
1998-03-23,674.4327768
1998-03-24,679.9919893
1998-03-25,677.7522039
1998-03-26,676.4448797
1998-03-27,674.0659283
1998-03-30,671.9015299
1998-03-31,676.4372787
1998-04-01,679.088052
1998-04-02,685.2004874
1998-04-03,686.2828002
1998-04-06,687.5315975
1998-04-07,680.9766979
1998-04-08,676.1714512
1998-04-09,681.7897448
1998-04-10,681.7897448
1998-04-13,682.5778484
1998-04-14,688.4123611
1998-04-15,690.8690239
1998-04-16,685.1664424
1998-04-17,692.9918097
1998-04-20,691.8821344
1998-04-21,692.754201
1998-04-22,694.2038086
1998-04-23,687.7719677
1998-04-24,680.709847
1998-04-27,667.9359738
1998-04-28,667.4710908
1998-04-29,672.2034906
1998-04-30,682.2795912
1998-05-01,687.9269229
1998-05-04,689.0845744
1998-05-05,684.9743925
1998-05-06,679.6164396
1998-05-07,674.8164909
1998-05-08,681.936919
1998-05-11,681.935753
1998-05-12,686.4230394
1998-05-13,688.0397048
1998-05-14,686.4870996
1998-05-15,681.8925064
1998-05-18,679.7371432
1998-05-19,680.508588
1998-05-20,686.3185746
1998-05-21,684.7581813
1998-05-22,683.0173476
1998-05-25,683.3738936
1998-05-26,673.3106697
1998-05-27,670.5669274
1998-05-28,674.4085248
1998-05-29,671.3371342
1998-06-01,671.4139078
1998-06-02,672.1340516
1998-06-03,666.7341196
1998-06-04,672.6846218
1998-06-05,683.1953428
1998-06-08,684.8680497
1998-06-09,685.5941152
1998-06-10,681.0145977
1998-06-11,670.9860484
1998-06-12,672.3002659
1998-06-15,658.4492209
1998-06-16,663.2288009
1998-06-17,673.8489899
1998-06-18,672.0303441
1998-06-19,668.0656171
1998-06-22,669.1030722
1998-06-23,676.6152641
1998-06-24,682.8054338
1998-06-25,681.4183448
1998-06-26,683.1521174
1998-06-29,686.1056621
1998-06-30,683.1732363
1998-07-01,692.1914748
1998-07-02,691.6290624
1998-07-03,691.7371982
1998-07-06,697.2574918
1998-07-07,696.5525532
1998-07-08,702.7355497
1998-07-09,697.1771699
1998-07-10,698.8004948
1998-07-13,697.3222276
1998-07-14,704.815294
1998-07-15,701.9250935
1998-07-16,706.153879
1998-07-17,707.1776072
1998-07-20,705.0295417
1998-07-21,694.6763606
1998-07-22,694.8047123
1998-07-23,681.8690124
1998-07-24,680.7363231
1998-07-27,684.4401551
1998-07-28,675.4446415
1998-07-29,673.4714356
1998-07-30,681.6380015
1998-07-31,671.1301906
1998-08-03,666.0607902
1998-08-04,643.0102602
1998-08-05,647.7392524
1998-08-06,651.3099598
1998-08-07,652.5775582
1998-08-10,648.7470753
1998-08-11,639.5344179
1998-08-12,650.1247025
1998-08-13,643.823549
1998-08-14,638.1600148
1998-08-17,649.5042155
1998-08-18,658.9172168
1998-08-19,655.4237967
1998-08-20,650.6814751
1998-08-21,644.4545099
1998-08-24,647.331549
1998-08-25,648.4379902
1998-08-26,641.9652519
1998-08-27,617.210625
1998-08-28,610.4451472
1998-08-31,576.7547678
1998-09-01,594.4352886
1998-09-02,592.4295455
1998-09-03,588.5435773
1998-09-04,585.5092839
1998-09-07,585.7077792
1998-09-08,611.9478664
1998-09-09,603.6669744
1998-09-10,590.2709932
1998-09-11,605.4973049
1998-09-14,617.9994546
1998-09-15,623.8772288
1998-09-16,628.9783487
1998-09-17,614.1696025
1998-09-18,615.5210875
1998-09-21,617.6462511
1998-09-22,620.6207519
1998-09-23,640.7931868
1998-09-24,627.3334375
1998-09-25,627.8113181
1998-09-28,630.7914075
1998-09-29,630.8575096
1998-09-30,612.944417
