Date,EAFE ex JAPAN VALUE WEIGHTED
1997-03-10,1607.87199677368
1997-03-11,1610.8927191558284
1997-03-12,1595.4184522649439
1997-03-13,1587.9533423331116
1997-03-14,1592.0848868657715
1997-03-17,1577.653602613071
1997-03-18,1568.7869279500203
1997-03-19,1570.8728290235083
1997-03-20,1543.199151982423
1997-03-21,1555.3828138300632
1997-03-24,1552.455443522317
1997-03-25,1570.1822981793418
1997-03-26,1585.2196938199095
1997-03-27,1598.034906187376
1997-03-28,1598.5533827278505
1997-03-31,1602.512424584597
1997-04-01,1564.1954642685346
1997-04-02,1559.0230234397602
1997-04-03,1548.0795547012513
1997-04-04,1552.1938839170168
1997-04-07,1554.5166563187925
1997-04-08,1556.0336025921592
1997-04-09,1563.1696273799523
1997-04-10,1562.6337169127723
1997-04-11,1552.6097424272352
1997-04-14,1542.0955686138632
1997-04-15,1555.779406615589
1997-04-16,1560.4414000122204
1997-04-17,1567.581183273182
1997-04-18,1570.1786065365636
1997-04-21,1581.35388450833
1997-04-22,1579.313419522641
1997-04-23,1587.257713208127
1997-04-24,1586.057447746171
1997-04-25,1573.3228608858449
1997-04-28,1571.7181252141427
1997-04-29,1590.3496941917724
1997-04-30,1595.6473918646573
1997-05-01,1605.8821459224164
1997-05-02,1608.1393651562523
1997-05-05,1618.6379904307487
1997-05-06,1638.2360461883284
1997-05-07,1642.1966385706837
1997-05-08,1647.9422647457566
1997-05-09,1664.9197166676747
1997-05-12,1676.4139391249632
1997-05-13,1685.5630025226064
1997-05-14,1692.9938003495538
1997-05-15,1692.3507433882346
1997-05-16,1700.0869208941092
1997-05-19,1689.440964858886
1997-05-20,1691.2622091185824
1997-05-21,1710.1190167153263
1997-05-22,1702.7668932188274
1997-05-23,1708.97526435684
1997-05-26,1713.4598763072963
1997-05-27,1706.4426580308948
1997-05-28,1697.6018239513505
1997-05-29,1694.347395238394
1997-05-30,1673.7705804869065
1997-06-02,1673.3614264475118
1997-06-03,1678.3906463350622
1997-06-04,1679.6450570001807
1997-06-05,1687.6167206021032
1997-06-06,1697.7325158927968
1997-06-09,1712.0828895622028
1997-06-10,1711.261440376461
1997-06-11,1713.573781062588
1997-06-12,1720.8705206904635
1997-06-13,1728.5045258504229
1997-06-16,1731.6417551219267
1997-06-17,1717.187135745387
1997-06-18,1721.5388897476214
1997-06-19,1735.0928151777994
1997-06-20,1739.1493437389918
1997-06-23,1746.468101981733
1997-06-24,1746.5430372869105
1997-06-25,1765.894714973098
1997-06-26,1767.8095089728802
1997-06-27,1759.9652196716454
1997-06-30,1747.7036677804622
1997-07-01,1774.1858824087337
1997-07-02,1774.8237248367848
1997-07-03,1804.2778764394761
1997-07-04,1801.0665030177524
1997-07-07,1811.7821257399805
1997-07-08,1802.310992612592
1997-07-09,1805.4327452608175
1997-07-10,1802.6593859117402
1997-07-11,1807.5398214501713
1997-07-14,1805.438339761517
1997-07-15,1797.5675142879022
1997-07-16,1818.227574388733
1997-07-17,1821.8112192617293
1997-07-18,1801.881419589009
1997-07-21,1783.2748126981392
1997-07-22,1798.0017929109333
1997-07-23,1822.635214626217
1997-07-24,1807.1788736086216
1997-07-25,1803.9179827818352
1997-07-28,1796.8961230728976
1997-07-29,1800.508518216205
1997-07-30,1811.7401412836957
1997-07-31,1816.0502800455863
1997-08-01,1797.512539555915
1997-08-04,1776.4493961197334
1997-08-05,1772.0521417644175
1997-08-06,1786.568465664597
1997-08-07,1803.244574480227
1997-08-08,1792.5304723078596
1997-08-11,1787.6639514452447
1997-08-12,1788.184519539997
1997-08-13,1775.9874099181986
1997-08-14,1764.2293074942422
1997-08-15,1760.0120229994516
1997-08-18,1740.7316244950282
1997-08-19,1755.4184751148864
1997-08-20,1764.903830408556
1997-08-21,1768.8313784968575
1997-08-22,1752.7440087545383
1997-08-25,1752.2756841004968
1997-08-26,1746.743379282429
1997-08-27,1744.7084251182996
