Date,WORLD ex ISRAEL VALUE WEIGHTED
2010-05-26,1000.0
2010-05-27,1031.4525717073625
2010-05-28,1027.8836890974221
2010-05-31,1027.3640475672673
2010-06-01,1016.2899375743343
2010-06-02,1022.0648783024064
2010-06-03,1034.0833731012563
2010-06-04,1004.9976869662837
2010-06-07,986.05681891645
2010-06-08,988.5592311369587
2010-06-09,993.8907111421547
2010-06-10,1016.9695223171373
2010-06-11,1023.0206398318785
2010-06-14,1035.1067878354088
2010-06-15,1050.8217767628237
2010-06-16,1053.405040638715
2010-06-17,1055.6898582760962
2010-06-18,1058.5652448728056
2010-06-21,1065.4476267420084
2010-06-22,1050.0579341670455
2010-06-23,1040.0941359930769
2010-06-24,1027.2341905049686
2010-06-25,1023.3087487862448
2010-06-28,1026.792326596046
2010-06-29,993.5264348381529
2010-06-30,988.0803435718194
2010-07-01,983.0809908533424
2010-07-02,985.0012372001714
2010-07-05,981.9211909497599
2010-07-06,1001.7396354658576
2010-07-07,1020.7915842395869
2010-07-08,1034.4075450620771
2010-07-09,1040.295319564853
2010-07-12,1040.1890337935254
2010-07-13,1058.1697464170609
2010-07-14,1061.9864794292678
2010-07-15,1061.391343588671
2010-07-16,1040.4406147928603
2010-07-19,1039.2093686784651
2010-07-20,1041.0905074772872
2010-07-21,1036.9288271899743
2010-07-22,1058.1231592540676
2010-07-23,1064.9188759207454
2010-07-26,1078.6299331961884
2010-07-27,1082.5513334530156
2010-07-28,1082.7542985966938
2010-07-29,1082.9975438387196
2010-07-30,1078.2817188735464
2010-08-02,1107.0410498811532
2010-08-03,1109.4753247681529
2010-08-04,1107.5920312044382
2010-08-05,1109.4916944965746
2010-08-06,1109.250288734936
2010-08-09,1114.2737654070181
2010-08-10,1100.6175390198152
2010-08-11,1067.9675142321312
2010-08-12,1060.5223455232315
2010-08-13,1057.8647329654902
2010-08-16,1060.202211282397
2010-08-17,1072.1490038423224
2010-08-18,1072.886514780553
2010-08-19,1060.554945539345
2010-08-20,1045.0153200898221
2010-08-23,1045.6318911891206
2010-08-24,1032.3661464161164
2010-08-25,1024.9770752028294
2010-08-26,1029.854230068362
2010-08-27,1041.0100496675443
2010-08-30,1036.3586203600491
2010-08-31,1033.110129745041
2010-09-01,1063.2526910019778
2010-09-02,1070.460557571207
2010-09-03,1082.9335000385986
2010-09-06,1088.4402361052648
2010-09-07,1074.934486703085
2010-09-08,1078.9881338344846
2010-09-09,1088.2532135330152
2010-09-10,1090.149009155976
2010-09-13,1106.09600252312
2010-09-14,1109.6660955850189
2010-09-15,1109.5487673313144
2010-09-16,1107.0488940205503
2010-09-17,1104.8905011778058
2010-09-20,1119.4831645936276
2010-09-21,1117.7647709060252
2010-09-22,1119.0958941872884
2010-09-23,1111.6508205224638
2010-09-24,1130.3548939558648
2010-09-27,1128.817240864703
2010-09-28,1133.0689496840562
2010-09-29,1133.3732390593643
2010-09-30,1128.987665393982
2010-10-01,1134.0638246521694
2010-10-04,1124.7401384567472
2010-10-05,1148.6676355792115
2010-10-06,1157.1443641154399
2010-10-07,1159.5360571102847
2010-10-08,1162.0064081972891
2010-10-11,1162.5014793539078
2010-10-12,1158.0882818133957
2010-10-13,1172.6245457092052
2010-10-14,1177.58963914788
2010-10-15,1173.0948614892438
2010-10-18,1178.1713685637233
2010-10-19,1160.413800954146
2010-10-20,1173.0803067066083
2010-10-21,1175.191076357082
2010-10-22,1172.6834456294182
2010-10-25,1178.4460883836841
2010-10-26,1172.0195146837498
2010-10-27,1161.8701085610724
2010-10-28,1169.6508744156931
2010-10-29,1170.1625178433426
2010-11-01,1169.6360477529638
2010-11-02,1179.7471746288968
2010-11-03,1178.8012944114855
2010-11-04,1209.1317917226952
2010-11-05,1209.263895057891
2010-11-08,1206.1123348599544
2010-11-09,1205.6563090263007
2010-11-10,1195.3978509329604
2010-11-11,1193.791112587944
2010-11-12,1184.6031332458779
2010-11-15,1183.7577027018167
2010-11-16,1161.0342608970097
2010-11-17,1163.868781003711
2010-11-18,1182.8126159933772
2010-11-19,1183.59478007728
2010-11-22,1177.7196668638462
2010-11-23,1156.6650049361958
2010-11-24,1164.9161587256006
2010-11-25,1166.6329368206468
2010-11-26,1152.4685244771172
2010-11-29,1142.00840987506
2010-11-30,1134.143925830801
2010-12-01,1156.801262595269
2010-12-02,1178.3912022328443
2010-12-03,1188.8638006039191
2010-12-06,1185.8754171013268
2010-12-07,1190.8103563635102
2010-12-08,1188.9453224043978
2010-12-09,1194.9706820645
2010-12-10,1199.498441649461
2010-12-13,1209.5032581283604
2010-12-14,1212.3022824251875
2010-12-15,1203.250314146332
2010-12-16,1202.6202181136462
2010-12-17,1198.9441252694555
2010-12-20,1201.1513311861843
2010-12-21,1213.394048364462
2010-12-22,1216.0990338541708
2010-12-23,1216.1774658615197
2010-12-24,1216.917620279788
2010-12-27,1215.120061004602
2010-12-28,1218.0318707617162
2010-12-29,1221.7955727684066
2010-12-30,1219.3945831886758
2010-12-31,1223.6038118183558
2011-01-03,1231.0821536913195
2011-01-04,1235.2502445869036
2011-01-05,1230.1067118930434
2011-01-06,1229.498069977661
2011-01-07,1226.980025344307
2011-01-10,1220.0256092105983
2011-01-11,1226.708854663221
2011-01-12,1245.3474596746012
2011-01-13,1255.7402563753544
2011-01-14,1259.2980317194451
2011-01-17,1257.0907885315996
2011-01-18,1266.8985582460007
2011-01-19,1261.6609110758527
2011-01-20,1249.9160374323267
2011-01-21,1259.276664099338
2011-01-24,1268.4791603334863
2011-01-25,1266.9189850321625
2011-01-26,1272.4849652684388
2011-01-27,1276.9758554556777
2011-01-28,1259.6903326985864
2011-01-31,1264.923079387568
2011-02-01,1287.5725070204478
2011-02-02,1291.2061513873496
2011-02-03,1286.522995512667
2011-02-04,1287.89553813769
2011-02-07,1295.7324554349746
2011-02-08,1304.4794962035382
2011-02-09,1299.7271981666038
2011-02-10,1293.9852118644062
2011-02-11,1295.680131027299
2011-02-14,1298.7819705290713
2011-02-15,1299.8345410550332
2011-02-16,1309.0117211536265
2011-02-17,1318.1119998143126
2011-02-18,1321.6002566885059
2011-02-21,1315.6274392664054
2011-02-22,1297.5007677708147
2011-02-23,1290.184088058233
2011-02-24,1286.5606107038102
2011-02-25,1299.7280441618423
2011-02-28,1310.068016357819
2011-03-01,1300.5625684215033
2011-03-02,1296.126018588748
2011-03-03,1308.3748356957278
2011-03-04,1305.48557502681
2011-03-07,1296.6748472903425
2011-03-08,1298.0227927802216
2011-03-09,1298.11995513292
2011-03-10,1272.294878962501
2011-03-11,1273.0506043762077
2011-03-14,1256.0859997981356
2011-03-15,1223.0515897987875
2011-03-16,1216.156607631595
2011-03-17,1236.584808826349
2011-03-18,1243.5218231756357
2011-03-21,1263.0302808847282
2011-03-22,1269.7755727167407
2011-03-23,1268.831385432832
2011-03-24,1280.2675325803527
2011-03-25,1281.2327574804413
2011-03-28,1277.1368090579122
2011-03-29,1277.876151027131
2011-03-30,1289.3235154000602
2011-03-31,1287.2021009999057
2011-04-01,1293.440222864334
2011-04-04,1297.574263586501
2011-04-05,1294.0439545878917
2011-04-06,1299.8700038199113
2011-04-07,1297.132802493595
2011-04-08,1304.9552600975403
2011-04-11,1302.2698994721045
2011-04-12,1287.8790437760842
2011-04-13,1292.1626417894631
2011-04-14,1289.1141595635693
2011-04-15,1289.1543874542247
2011-04-18,1266.7731823555537
2011-04-19,1272.87719523977
2011-04-20,1297.9470882138162
2011-04-21,1309.2774438543279
2011-04-22,1309.436706312104
2011-04-25,1305.9693715144508
2011-04-26,1315.215673355347
2011-04-27,1320.1811694493927
2011-04-28,1335.964846111068
2011-04-29,1339.9436213036956
2011-05-02,1344.5370868825023
2011-05-03,1336.6092613988026
2011-05-04,1325.9275579841594
2011-05-05,1310.2708209196571
2011-05-06,1312.8412745166077
2011-05-09,1304.6348288882982
2011-05-10,1317.9888675660718
2011-05-11,1310.3170990130911
2011-05-12,1302.7541721890814
2011-05-13,1294.4502816688353
2011-05-16,1288.407150585266
2011-05-17,1280.3266018530935
2011-05-18,1292.876145064296
2011-05-19,1295.8415805330253
2011-05-20,1286.304796254149
2011-05-23,1263.5738413255863
2011-05-24,1265.5405878235933
2011-05-25,1270.3304701334632
2011-05-26,1276.8176035226693
2011-05-27,1288.7022507444249
2011-05-30,1287.7545592716556
2011-05-31,1304.7617036161464
2011-06-01,1288.3143933778242
2011-06-02,1276.4415297977935
2011-06-03,1273.1841331738035
2011-06-06,1262.0530442696543
2011-06-07,1265.365955830552
2011-06-08,1256.2833964570957
2011-06-09,1261.0709153606974
2011-06-10,1243.2326241630617
2011-06-13,1243.306487732183
2011-06-14,1260.9597983042872
2011-06-15,1239.9511706132562
2011-06-16,1229.121942362905
2011-06-17,1238.0273724972599
2011-06-20,1237.7895126077308
2011-06-21,1257.7028972174417
2011-06-22,1257.1926220695502
2011-06-23,1235.6228322488114
2011-06-24,1230.626258864978
2011-06-27,1235.0685435248965
2011-06-28,1248.9793241956831
2011-06-29,1267.65371792763
2011-06-30,1285.781469789268
2011-07-01,1298.1702754798935
2011-07-04,1303.4146656386702
2011-07-05,1299.2393164670193
2011-07-06,1293.197739782836
2011-07-07,1301.1327165517437
2011-07-08,1290.7603751096708
