Date,WORLD IMI VALUE WEIGHTED
1994-11-30,262.9026713441
1994-12-30,265.6332441054
1995-01-31,262.6568170218
1995-02-28,266.6594157315
1995-03-31,277.5928492458
1995-04-28,286.0113798752
1995-05-31,289.9861877693
1995-06-30,290.9781727782
1995-07-31,305.1222135285
1995-08-31,300.4573492812
1995-09-29,307.747759201
1995-10-31,301.2957390953
1995-11-30,310.4604132977
1995-12-29,319.7282213524
1996-01-31,325.3678445809
1996-02-29,329.0612343998
1996-03-29,334.5627484471
1996-04-30,344.5117017601
1996-05-31,346.1194002704
1996-06-28,346.3092756094
1996-07-31,334.0802172931
1996-08-30,339.6973213911
1996-09-30,349.9072301562
1996-10-31,353.1634129569
1996-11-29,371.7223266785
1996-12-31,368.6984125237
1997-01-01,368.7011426306
1997-01-02,366.1254043807
1997-01-03,367.8194474235
1997-01-06,368.9261942639
1997-01-07,369.576675177
1997-01-08,368.4703950935
1997-01-09,368.2170813774
1997-01-10,366.3979802928
1997-01-13,368.6211457092
1997-01-14,371.1004941693
1997-01-15,371.6592851273
1997-01-16,373.4571733739
1997-01-17,373.5910379788
1997-01-20,371.9489706481
1997-01-21,371.8740315154
1997-01-22,372.9729524606
1997-01-23,371.3439644866
1997-01-24,369.116854299
1997-01-27,366.3080941576
1997-01-28,365.640932183
1997-01-29,366.5981557205
1997-01-30,368.2400761455
1997-01-31,370.465534375
1997-02-03,370.1703189021
1997-02-04,371.1136258307
1997-02-05,369.3030452374
1997-02-06,369.2838593636
1997-02-07,369.8007788079
1997-02-10,371.7239180132
1997-02-11,371.52592864
1997-02-12,373.4678224742
1997-02-13,375.4852709763
1997-02-14,375.8686837701
1997-02-17,375.3640856566
1997-02-18,376.1855212679
1997-02-19,375.6965556121
1997-02-20,375.757958904
1997-02-21,376.377907772
1997-02-24,378.899007851
1997-02-25,380.4051956606
1997-02-26,377.7901498503
1997-02-27,376.3754134123
1997-02-28,374.3766295039
1997-03-03,374.2245592843
1997-03-04,374.3027324789
1997-03-05,375.6310198887
1997-03-06,375.8153862533
1997-03-07,377.1937493562
1997-03-10,379.9298312766
1997-03-11,380.0463368791
1997-03-12,377.1946329385
1997-03-13,373.0754927317
1997-03-14,373.7256433989
1997-03-17,372.5474631463
1997-03-18,371.6166070417
1997-03-19,370.8591636599
1997-03-20,367.7580101558
1997-03-21,369.9791225289
1997-03-24,370.1743895645
1997-03-25,371.5003110221
1997-03-26,372.919728602
1997-03-27,370.7838777638
1997-03-28,370.6663160803
1997-03-31,367.847154219
1997-04-01,364.7334406787
1997-04-02,363.2457953823
1997-04-03,361.9270659765
1997-04-04,362.2952500633
1997-04-07,362.1720048555
1997-04-08,363.1180112078
1997-04-09,362.1182714045
1997-04-10,360.9053145732
1997-04-11,356.9091467627
1997-04-14,356.0146369342
1997-04-15,359.4478516159
1997-04-16,361.9467280249
1997-04-17,362.8915894589
1997-04-18,364.5943370353
1997-04-21,365.0970470305
1997-04-22,366.4490786285
1997-04-23,367.4920386764
1997-04-24,367.0545423927
1997-04-25,364.489037362
1997-04-28,365.3377089175
1997-04-29,370.2970457378
1997-04-30,372.9972056666
1997-05-01,374.7577782623
1997-05-02,378.2484809717
1997-05-05,382.1481817927
1997-05-06,385.9405164131
1997-05-07,384.2902788389
1997-05-08,385.9313258352
1997-05-09,388.7044505264
1997-05-12,393.682794898
1997-05-13,393.7467677267
1997-05-14,395.5794182231
1997-05-15,397.0208849488
1997-05-16,397.4511322778
1997-05-19,396.9320457621
1997-05-20,399.8683174063
1997-05-21,399.8193245534
1997-05-22,398.1118014478
1997-05-23,401.4880060543
1997-05-26,401.5170035721
1997-05-27,400.5225065855
1997-05-28,401.0738136606
1997-05-29,400.1205273105
1997-05-30,398.9729703408
1997-06-02,399.3950244858
1997-06-03,400.5878105896
1997-06-04,400.2431859553
1997-06-05,401.8880386841
1997-06-06,404.6386964892
1997-06-09,408.0256929787
1997-06-10,408.8706330913
1997-06-11,410.4921222945
1997-06-12,412.2145493704
1997-06-13,413.983353981
1997-06-16,415.7806739892
1997-06-17,414.5684345004
1997-06-18,414.5418148447
1997-06-19,416.4012198955
1997-06-20,416.0532303358
1997-06-23,413.108640453
1997-06-24,416.0940326815
1997-06-25,417.9905717395
1997-06-26,417.4746400428
1997-06-27,416.5352403636
1997-06-30,416.0645651459
1997-07-01,417.913391329
1997-07-02,420.4571240393
1997-07-03,425.1020086249
1997-07-04,424.3158650619
1997-07-07,424.6535696255
1997-07-08,424.9882364268
1997-07-09,422.8604748068
1997-07-10,423.9108235837
1997-07-11,424.6864364958
1997-07-14,424.9562768858
1997-07-15,424.1271417912
1997-07-16,427.9008984509
1997-07-17,427.5519054255
1997-07-18,423.5747564598
1997-07-21,421.3642364355
1997-07-22,425.6477887658
1997-07-23,427.7922419813
1997-07-24,427.550309608
1997-07-25,426.913460363
1997-07-28,426.3266569755
1997-07-29,427.4483315571
1997-07-30,429.6922763778
1997-07-31,430.7764016782
1997-08-01,427.2872745235
1997-08-04,425.3810744998
1997-08-05,424.411289981
1997-08-06,427.7750836428
1997-08-07,427.3758994489
1997-08-08,425.1714567438
1997-08-11,423.6282438345
1997-08-12,422.7018957943
1997-08-13,421.9215547888
1997-08-14,420.4362254064
1997-08-15,417.619832991
1997-08-18,416.3875839439
1997-08-19,419.2012911644
1997-08-20,422.7524206366
1997-08-21,421.2441395139
1997-08-22,418.6947648393
1997-08-25,418.1816329872
1997-08-26,417.4267309194
1997-08-27,416.2627824703
1997-08-28,413.2900061558
1997-08-29,409.7749538098
1997-09-01,408.3927336432
1997-09-02,413.7257689191
1997-09-03,417.1119188227
1997-09-04,417.335311853
1997-09-05,418.8926807346
1997-09-08,419.8267154395
1997-09-09,421.8342888999
1997-09-10,418.8560378818
1997-09-11,414.7907452297
1997-09-12,416.6752942378
1997-09-15,418.219256191
1997-09-16,422.3630327468
1997-09-17,423.1117850866
1997-09-18,424.4037449845
1997-09-19,424.927825046
1997-09-22,426.2195190795
1997-09-23,425.7291471249
1997-09-24,428.0993590693
1997-09-25,426.839214179
1997-09-26,427.7472050874
1997-09-29,429.0230399567
1997-09-30,429.3690790264
1997-10-01,430.8862587307
1997-10-02,431.7626221154
1997-10-03,433.5067927588
1997-10-06,435.2107655023
1997-10-07,436.616303151
1997-10-08,435.657308653
1997-10-09,433.0130774417
1997-10-10,432.1475067942
1997-10-13,433.0440862542
1997-10-14,432.7313284192
1997-10-15,431.7628151708
1997-10-16,431.6127107797
1997-10-17,426.4081577899
1997-10-20,426.8773637744
1997-10-21,430.5048408748
1997-10-22,429.4726424777
1997-10-23,419.6958474041
1997-10-24,418.7698945006
1997-10-27,402.5289612706
1997-10-28,403.0201344352
1997-10-29,410.8182737102
1997-10-30,405.2176796787
1997-10-31,408.8493549154
1997-11-03,415.6021693717
1997-11-04,415.7200179038
1997-11-05,415.8682730393
1997-11-06,414.3318055377
1997-11-07,407.435707433
1997-11-10,405.9390499954
1997-11-11,406.2933592236
1997-11-12,399.1463030598
1997-11-13,400.243151811
1997-11-14,400.7255605069
1997-11-17,410.1198434558
1997-11-18,410.1665210608
1997-11-19,406.7660069387
1997-11-20,411.6278828346
1997-11-21,415.0298344058
1997-11-24,410.3144168673
1997-11-25,406.401488658
1997-11-26,406.4630203416
1997-11-27,407.6915262248
1997-11-28,409.0377808742
1997-12-01,414.3347712611
1997-12-02,415.4634959801
1997-12-03,415.6079938855
1997-12-04,414.9104677721
1997-12-05,416.1661523858
1997-12-08,416.4397262049
1997-12-09,416.1159616474
1997-12-10,414.3443978193
1997-12-11,406.7793353596
1997-12-12,405.7908997848
1997-12-15,405.9924005522
1997-12-16,407.2341355612
1997-12-17,412.6101561232
1997-12-18,409.3660814637
1997-12-19,402.3800500036
1997-12-22,399.8867483012
1997-12-23,399.3514083901
1997-12-24,398.3469908803
1997-12-25,398.5181980882
1997-12-26,399.3482621924
1997-12-29,404.1095732347
1997-12-30,409.2412322023
1997-12-31,409.4734464835
1998-01-01,409.4770666247
1998-01-02,409.4172807029
1998-01-05,409.3293427692
1998-01-06,405.6104119515
1998-01-07,404.4721115394
1998-01-08,401.0012833194
1998-01-09,393.5202524979
1998-01-12,388.5091303396
