Date,AC ASIA ex JAPAN IMI MIN VOL (USD)
2001-05-31,1000.0
2001-06-01,995.685330173083
2001-06-04,992.7700369091251
2001-06-05,994.6621846878382
2001-06-06,1002.1380988461821
2001-06-07,994.6154977294098
2001-06-08,1005.4283609538946
2001-06-11,1011.6180288547858
2001-06-12,1003.5635578226666
2001-06-13,1003.1964705828575
2001-06-14,987.3268309720662
2001-06-15,981.3244689697694
2001-06-18,976.3431381579923
2001-06-19,984.3044367657176
2001-06-20,988.1177538210712
2001-06-21,987.0112480448987
2001-06-22,984.9473682617993
2001-06-25,976.9051228779977
2001-06-26,972.109888205931
2001-06-27,976.3510293844432
2001-06-28,982.4348872661113
2001-06-29,995.2165527274393
2001-07-02,990.612983580045
2001-07-03,986.2401423953546
2001-07-04,982.6260338108593
2001-07-05,993.0139889933782
2001-07-06,983.0408587135327
2001-07-09,971.109390550465
2001-07-10,963.8032077267271
2001-07-11,947.6199205594304
2001-07-12,963.2665173046926
2001-07-13,956.9452379133418
2001-07-16,949.4375080417257
2001-07-17,950.7839489935105
2001-07-18,922.8212945685721
2001-07-19,922.629430140981
2001-07-20,919.1636538568692
2001-07-23,916.0753838654024
2001-07-24,903.4022151203005
2001-07-25,898.7911558986024
2001-07-26,909.1420821246011
2001-07-27,914.5091662606056
2001-07-30,913.4549955926047
2001-07-31,917.9888382108644
2001-08-01,917.228778469548
2001-08-02,919.9309916570095
2001-08-03,916.6680541315479
2001-08-06,916.2067261309825
2001-08-07,918.2341872387324
2001-08-08,920.1302147499961
2001-08-09,900.188614280368
2001-08-10,896.1740374354057
2001-08-13,894.0201866088092
2001-08-14,905.2546980445825
2001-08-15,896.0829324171325
2001-08-16,897.1906299299894
2001-08-17,891.0111954046043
2001-08-20,889.0964067971865
2001-08-21,892.8250030794866
2001-08-22,883.0525522005148
2001-08-23,892.6759873730687
2001-08-24,887.9288410457151
2001-08-27,900.4827589842185
2001-08-28,897.0429310028427
2001-08-29,899.8868075226045
2001-08-30,896.7086356455299
2001-08-31,894.1104100323441
2001-09-03,892.3888384064892
2001-09-04,912.6159107744775
2001-09-05,909.2677002169735
2001-09-06,900.2958556633108
2001-09-07,882.0557617681345
2001-09-10,882.8458832079203
2001-09-11,868.7780989655618
2001-09-12,840.8394315529905
2001-09-13,831.3767646516134
2001-09-14,800.2595127626875
2001-09-17,775.5316780911439
2001-09-18,779.0999509699313
2001-09-19,783.1234724619029
2001-09-20,776.3145525514384
2001-09-21,765.8394030876892
2001-09-24,769.9092819864455
2001-09-25,760.5069136103307
2001-09-26,769.6216568390597
2001-09-27,778.6126197518205
2001-09-28,797.6358168944122
2001-10-01,790.9421624417541
2001-10-02,784.803241646952
2001-10-03,780.7387374248625
2001-10-04,795.8772630438617
2001-10-05,793.9022631164204
2001-10-08,781.114287805537
2001-10-09,795.9203052942228
2001-10-10,798.8341445985651
2001-10-11,819.7538808482348
2001-10-12,815.4729529977697
2001-10-15,813.8460280256055
2001-10-16,816.655701284045
2001-10-17,825.5867971359179
2001-10-18,820.8259175245219
2001-10-19,826.329099785279
2001-10-22,833.0418523322147
2001-10-23,843.7421586169037
2001-10-24,847.1757856381689
2001-10-25,842.8813757443294
2001-10-26,849.2759221160582
2001-10-29,832.8618483798933
2001-10-30,821.5230525421941
2001-10-31,830.0624787946641
2001-11-01,827.0261841839437
2001-11-02,831.4609557443902
2001-11-05,844.629677413695
2001-11-06,843.9849394936039
2001-11-07,839.7664354332737
2001-11-08,853.3145386754479
2001-11-09,855.0464316884834
2001-11-12,859.1290517957192
2001-11-13,869.3100210929333
2001-11-14,876.9056301631183
2001-11-15,894.6464153368099
2001-11-16,892.8632394755546
2001-11-19,905.0731917482999
2001-11-20,896.4314419780707
2001-11-21,909.4575467929778
2001-11-22,907.7351602619734
2001-11-23,918.1447242567684
2001-11-26,927.6534019937368
2001-11-27,923.0530759105088
2001-11-28,904.7582695644468
2001-11-29,906.4886708081277
2001-11-30,903.1268770335938
2001-12-03,916.9667219533958
2001-12-04,923.222343986113
2001-12-05,940.3837266982829
2001-12-06,945.6536494038535
2001-12-07,955.1043311897719
2001-12-10,954.1780223106351
2001-12-11,951.1631088089994
2001-12-12,955.5664434550387
2001-12-13,944.8069808744331
2001-12-14,942.3319241425498
2001-12-17,938.8934745196648
2001-12-18,933.9859994812982
2001-12-19,930.1970626209888
2001-12-20,936.2609386732149
2001-12-21,933.1795923938652
2001-12-24,945.7224566504492
2001-12-25,954.2582553912002
2001-12-26,953.7436814154943
2001-12-27,944.3646178554897
2001-12-28,956.1614715911584
2001-12-31,957.8668424358684
2002-01-01,958.1410387005694
2002-01-02,946.4520144733508
2002-01-03,951.8966469265065
2002-01-04,967.4723530921364
2002-01-07,984.9111840854265
2002-01-08,978.9923035859829
2002-01-09,980.5208157146506
2002-01-10,971.4606097230609
2002-01-11,966.9293735608796
2002-01-14,965.1285950901886
2002-01-15,961.5558536771522
2002-01-16,966.5635223738251
2002-01-17,972.3578971792242
2002-01-18,972.6896715978615
2002-01-21,986.9396239824996
2002-01-22,982.0272735648407
2002-01-23,986.2109872628407
2002-01-24,995.1107072600378
2002-01-25,1023.7811274729888
2002-01-28,1033.1842741509315
2002-01-29,1029.3386402704086
2002-01-30,1019.2780316113991
2002-01-31,1026.7066066947061
2002-02-01,1027.3788218286234
2002-02-04,1020.8239565963096
2002-02-05,1018.1279148552509
2002-02-06,1029.9399620751606
2002-02-07,1022.5002309193283
2002-02-08,1023.677078365753
