Date,EM IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1020.9062287679593
2010-05-28,1033.1617066242773
2010-05-31,1043.6438134408518
2010-06-01,1026.1628385476513
2010-06-02,1025.6815969760198
2010-06-03,1041.37067923697
2010-06-04,1026.5968165393654
2010-06-07,1003.0947136068293
2010-06-08,1004.3732101091139
2010-06-09,1015.494398592566
2010-06-10,1030.5539744927366
2010-06-11,1039.5741509274933
2010-06-14,1054.0765639258525
2010-06-15,1060.447583137402
2010-06-16,1062.624539392461
2010-06-17,1068.157862429074
2010-06-18,1074.7966638376656
2010-06-21,1100.409214862672
2010-06-22,1091.633937156079
2010-06-23,1086.7846062462734
2010-06-24,1077.1133566267101
2010-06-25,1076.2367091508481
2010-06-28,1081.6469409907575
2010-06-29,1055.8362895171667
2010-06-30,1047.1598748049812
2010-07-01,1040.6820059965632
2010-07-02,1043.9561410904175
2010-07-05,1044.756214008795
2010-07-06,1064.0327132053317
2010-07-07,1061.2489090613358
2010-07-08,1073.3716856618887
2010-07-09,1081.3272737257314
2010-07-12,1081.0693582596912
2010-07-13,1085.0705446941656
2010-07-14,1086.6114891338893
2010-07-15,1081.428822215367
2010-07-16,1074.2293856875315
2010-07-19,1074.1225282057476
2010-07-20,1084.1727084290671
2010-07-21,1096.2172425901736
2010-07-22,1107.0284969248592
2010-07-23,1114.2018853749482
2010-07-26,1118.6611961337235
2010-07-27,1125.7738435010901
2010-07-28,1128.2515739255123
2010-07-29,1134.2132206117426
2010-07-30,1133.233400289828
2010-08-02,1156.0193598624255
2010-08-03,1150.5196484264277
2010-08-04,1153.3694357047395
2010-08-05,1156.5482400032413
2010-08-06,1155.7080876446603
2010-08-09,1158.674309665525
2010-08-10,1142.931452293832
2010-08-11,1124.9684127442476
2010-08-12,1121.3377172091368
2010-08-13,1123.3568177614636
2010-08-16,1132.3421763773413
2010-08-17,1139.5148618444528
2010-08-18,1139.5673895715915
2010-08-19,1140.0626720993941
2010-08-20,1134.5164572673489
2010-08-23,1134.0289904238753
2010-08-24,1121.9799172532255
2010-08-25,1110.4345312120747
2010-08-26,1115.7958297636494
2010-08-27,1125.1585923139664
2010-08-30,1128.2550599020713
2010-08-31,1124.3731769946346
2010-09-01,1145.1259763443493
2010-09-02,1148.9176443356885
2010-09-03,1158.276910690406
2010-09-06,1164.7540137545009
2010-09-07,1160.0394750229837
2010-09-08,1159.6248140152657
2010-09-09,1167.8003673223488
2010-09-10,1172.0282291982014
2010-09-13,1196.366786025798
2010-09-14,1201.5974603948966
2010-09-15,1201.3132497108975
2010-09-16,1195.350874331513
2010-09-17,1198.8168553820935
2010-09-20,1207.8367507724845
2010-09-21,1208.9210244523206
2010-09-22,1216.3678556892426
2010-09-23,1214.6610950437998
2010-09-24,1220.1855984327813
2010-09-27,1233.179445718812
2010-09-28,1234.5187244581796
2010-09-29,1247.063398787179
2010-09-30,1250.3382371555042
2010-10-01,1257.636958886805
2010-10-04,1261.8164657145917
2010-10-05,1270.7729041120188
