Date,AC ASEAN IMI HIGH DIVIDEND YIELD
2008-05-30,1000.0
2008-06-02,993.1477368782412
2008-06-03,989.4113666697458
2008-06-04,988.8516789040492
2008-06-05,980.4354669487346
2008-06-06,993.029240924004
2008-06-09,976.4308895381172
2008-06-10,964.3317197284211
2008-06-11,961.7377669597115
2008-06-12,954.1404732466924
2008-06-13,949.0158896978356
2008-06-16,958.3022487926638
2008-06-17,956.1018583039335
2008-06-18,945.5164592959148
2008-06-19,931.2924918108939
2008-06-20,943.7230579657883
2008-06-23,933.737377992845
2008-06-24,927.8045590342764
2008-06-25,933.6799871265943
2008-06-26,933.2398008199998
2008-06-27,925.3385320795696
2008-06-30,922.1061534269212
2008-07-01,916.176101108973
2008-07-02,909.875256850515
2008-07-03,899.4023003010933
2008-07-04,894.0834340804049
2008-07-07,894.328758260273
2008-07-08,886.0970810167252
2008-07-09,903.7899390855829
2008-07-10,900.4648670007932
2008-07-11,910.540510036815
2008-07-14,906.0685984783973
2008-07-15,892.7782504012096
2008-07-16,885.8622791510327
2008-07-17,891.0474297754421
2008-07-18,887.581140783155
2008-07-21,902.3494688835239
2008-07-22,897.6051034561045
2008-07-23,910.6050852114548
2008-07-24,909.0777545771897
2008-07-25,898.9416555609366
2008-07-28,901.259344811071
2008-07-29,893.0326272984001
2008-07-30,897.3454476562779
2008-07-31,898.2143428909638
2008-08-01,897.586982449647
2008-08-04,892.8391055767969
2008-08-05,893.6801027203015
2008-08-06,905.1315681927713
2008-08-07,902.1561894284895
2008-08-08,889.3188711130703
2008-08-11,896.7269678461204
2008-08-12,892.1285532618112
2008-08-13,889.5131390853678
2008-08-14,886.720925540374
2008-08-15,880.854430037322
2008-08-18,879.5407689661006
2008-08-19,866.2677535249136
2008-08-20,869.8995583282499
2008-08-21,863.4977708123927
2008-08-22,865.9985531569408
2008-08-25,861.379306245516
2008-08-26,846.4813442890455
2008-08-27,850.2511408932659
2008-08-28,851.424421178035
2008-08-29,860.9824091673277
2008-09-01,852.7231211595644
2008-09-02,845.6563382103575
2008-09-03,838.079735927857
2008-09-04,831.9504458958579
2008-09-05,820.5959067108016
2008-09-08,842.7219272884256
2008-09-09,837.5376043866612
2008-09-10,828.5126667737561
2008-09-11,812.5969429911463
2008-09-12,818.2963515805151
2008-09-15,803.4536311724457
2008-09-16,790.6304995732099
2008-09-17,787.8183108902468
2008-09-18,776.7300694244298
2008-09-19,801.0330701815816
2008-09-22,807.1059698999485
2008-09-23,798.7158576558469
2008-09-24,802.1264772643034
2008-09-25,800.5882992907382
2008-09-26,795.0490579416432
2008-09-29,783.2487173397069
2008-09-30,784.517619235333
2008-10-01,780.7199119125482
2008-10-02,784.8327015401248
2008-10-03,777.6200293836214
2008-10-06,746.2602964633342
2008-10-07,740.2382387369598
2008-10-08,705.5961142673098
2008-10-09,705.8606743013364
2008-10-10,664.7776153613586
2008-10-13,690.3605316117773
2008-10-14,711.1178054491909
2008-10-15,693.5225611601793
2008-10-16,670.0475429205956
2008-10-17,660.6368606087178
2008-10-20,668.2570829213968
2008-10-21,668.5030272261354
2008-10-22,647.9405417802129
2008-10-23,632.4146027295164
2008-10-24,603.4126457833893
2008-10-27,577.359746746425
2008-10-28,573.0079720663649
2008-10-29,563.2410726397849
2008-10-30,588.6286904424735
2008-10-31,591.478854912932
2008-11-03,625.6150601178105
2008-11-04,631.3700495759479
2008-11-05,639.764233237299
2008-11-06,626.7166942492642
2008-11-07,629.1323161081422
2008-11-10,627.6448777374715
2008-11-11,611.8243504017884
2008-11-12,605.8168737441033
2008-11-13,594.6858388379574
2008-11-14,597.3415066275966
2008-11-17,597.0417955920617
2008-11-18,584.2668391877368
2008-11-19,582.8247315313354
2008-11-20,566.3109421471469
2008-11-21,569.9804594518172
2008-11-24,564.6656732811806
2008-11-25,573.6744025967794
2008-11-26,580.8611852580334
2008-11-27,586.4022686524323
2008-11-28,594.3217248944734
2008-12-01,581.8128914230135
2008-12-02,571.2837721703639
2008-12-03,574.3426512298583
2008-12-04,576.8765989366901
2008-12-05,578.6228717776788
2008-12-08,590.0046153530897
2008-12-09,621.690206106251
2008-12-10,637.5329330106614
2008-12-11,645.9142195749288
2008-12-12,630.5047503210739
2008-12-15,654.8550925917793
2008-12-16,661.3919044517305
2008-12-17,672.5988541713142
2008-12-18,690.6144411816534
2008-12-19,681.469537642102
2008-12-22,668.4158043380852
2008-12-23,666.0776964227522
2008-12-24,664.9400509502558
2008-12-25,667.1312584849564
2008-12-26,663.7827274958889
2008-12-29,665.1517337948096
2008-12-30,674.2650741040585
2008-12-31,673.2609023838588
2009-01-01,673.2609023838588
2009-01-02,680.0325390144124
2009-01-05,717.8529915553648
2009-01-06,712.9611978416544
2009-01-07,716.625476500835
2009-01-08,703.5687652806225
2009-01-09,702.1026376304638
2009-01-12,694.7861692402607
2009-01-13,675.571751790664
2009-01-14,679.0778597487632
2009-01-15,657.5949559436821
2009-01-16,669.2995081975691
2009-01-19,666.1331173935797
2009-01-20,656.1002012257336
2009-01-21,654.1178436960889
2009-01-22,659.1656624665956
2009-01-23,648.8463415693572
2009-01-26,652.602736830611
2009-01-27,663.1906220334067
2009-01-28,671.3254635357479
2009-01-29,660.0718260410559
2009-01-30,658.8175133278254
2009-02-02,648.7722545498409
2009-02-03,649.7830683869465
2009-02-04,647.4930299977814
2009-02-05,650.388223100041
