Date,ACWI ex USA SMALL GROWTH
1994-05-31,501.28226754655657
1994-06-30,521.9765496512945
1994-07-29,518.9656974986073
1994-08-31,521.607686432975
1994-09-30,508.8268581505443
1994-10-31,517.2917972742132
1994-11-30,483.50187188902544
1994-12-30,490.3487386471791
1995-01-31,468.91527923600404
1995-02-28,454.67366528047336
1995-03-31,472.24122791768866
1995-04-28,477.2639594656091
1995-05-31,464.308918945082
1995-06-30,457.4761873517501
1995-07-31,481.76354929253745
1995-08-31,470.7950260241794
1995-09-29,474.14080638746566
1995-10-31,460.3547927281554
1995-11-30,461.97699835616413
1995-12-29,480.2044846514462
1996-01-31,484.2788388519189
1996-02-29,488.8879819643764
1996-03-29,499.12774934004256
1996-04-30,525.2101979461679
1996-05-31,519.4445734245645
1996-06-28,518.6320362378344
1996-07-31,494.3750972074045
1996-08-30,492.1795564766292
1996-09-30,489.50908319242717
1996-10-31,483.8186750182296
1996-11-29,484.51814702267416
1996-12-31,469.88158674114356
1997-01-01,469.9430641999594
1997-01-02,469.47107110902886
1997-01-03,469.1229447358636
1997-01-06,470.5007616044781
1997-01-07,471.48259040746666
1997-01-08,469.51233027052336
1997-01-09,466.10938778816234
1997-01-10,462.0089093875448
1997-01-13,465.5378008608403
1997-01-14,466.86494600747966
1997-01-15,468.75048092168294
1997-01-16,472.23168628066327
1997-01-17,470.63203348532846
1997-01-20,467.6931860411349
1997-01-21,465.1199212444511
1997-01-22,464.83051495764715
1997-01-23,462.6115317752399
1997-01-24,463.2121260094961
1997-01-27,459.5732633901367
1997-01-28,455.8247151212234
1997-01-29,456.2287085468331
1997-01-30,456.79477304117245
1997-01-31,460.0895507157941
1997-02-03,460.196716181177
1997-02-04,461.96085296360116
1997-02-05,459.73412250289596
1997-02-06,458.64148875791756
1997-02-07,454.4517374369373
1997-02-10,459.37709779709724
1997-02-11,458.5713057755327
1997-02-12,457.0049758431011
1997-02-13,455.87007873135497
1997-02-14,456.6134442104489
1997-02-17,456.91011569442776
1997-02-18,456.30301903307077
1997-02-19,456.1056907706624
1997-02-20,459.8494037778826
1997-02-21,461.481355751581
1997-02-24,464.7817412389959
1997-02-25,465.25046932403774
1997-02-26,463.4990273825029
1997-02-27,463.3486506223848
1997-02-28,462.336570628766
1997-03-03,459.492190554044
1997-03-04,457.80314099221977
1997-03-05,457.2665923325952
1997-03-06,456.76846369877734
1997-03-07,456.29768766980175
1997-03-10,458.0773204088301
1997-03-11,458.1660651324811
1997-03-12,455.50602954032024
1997-03-13,453.6951509203718
1997-03-14,451.36930532006454
1997-03-17,451.9343530947421
1997-03-18,453.47699318355933
1997-03-19,451.9909190610948
1997-03-20,447.917918359709
1997-03-21,450.1823813465794
1997-03-24,448.1452432973673
1997-03-25,448.84184549559217
1997-03-26,450.2644966395308
1997-03-27,451.633724721618
1997-03-28,451.93723253040713
1997-03-31,451.9830915000766
1997-04-01,447.24800924362006
