Date,AC FAR EAST SMALL GROWTH
1994-05-31,1415.7321521658453
1994-06-30,1534.020823017742
1994-07-29,1485.4651781534187
1994-08-31,1461.8267106051778
1994-09-30,1403.1620432276834
1994-10-31,1427.1737196127115
1994-11-30,1303.5896286304521
1994-12-30,1330.810827290186
1995-01-31,1241.1783136186887
1995-02-28,1165.3944011423212
1995-03-31,1222.3502428796007
1995-04-28,1235.2674947616376
1995-05-31,1153.0751294389272
1995-06-30,1103.4694508057548
1995-07-31,1182.5677988521047
1995-08-31,1165.817174627441
1995-09-29,1150.403228504571
1995-10-31,1107.6448937561538
1995-11-30,1153.9597908110136
1995-12-29,1217.5497662684486
1996-01-31,1232.16155227801
1996-02-29,1210.4720436336345
1996-03-29,1237.8291848950562
1996-04-30,1347.57674975169
1996-05-31,1294.6134149885254
1996-06-28,1286.6096415530346
1996-07-31,1199.0034921800484
1996-08-30,1165.9155266890991
1996-09-30,1158.4705015765462
1996-10-31,1098.9556140344434
1996-11-29,1073.2715768393316
1996-12-31,978.8661990501178
1997-01-01,979.222802083381
1997-01-02,980.886910909256
1997-01-03,979.0157118768639
1997-01-06,983.2708733844737
1997-01-07,978.2198549540724
1997-01-08,965.0652495523068
1997-01-09,944.6102715391132
1997-01-10,929.8426690748947
1997-01-13,942.3762162840525
1997-01-14,943.7491458923885
1997-01-15,944.5579928887914
1997-01-16,956.9641806504567
1997-01-17,954.8341562692217
1997-01-20,942.790560905651
1997-01-21,934.533049248469
1997-01-22,937.3477612565275
1997-01-23,930.6785330714139
1997-01-24,927.9796673948998
1997-01-27,916.0880367399874
1997-01-28,907.5757712109543
1997-01-29,906.1152524037184
1997-01-30,901.8462138764529
1997-01-31,913.618043877829
1997-02-03,912.4974888583445
1997-02-04,916.6900305197986
1997-02-05,901.4903784448983
1997-02-06,894.3644881745198
1997-02-07,880.6275507544013
1997-02-10,892.5716379098511
1997-02-11,892.2803833491067
1997-02-12,888.09549287132
1997-02-13,886.1670057864183
1997-02-14,887.4567553610941
1997-02-17,892.5095499451061
1997-02-18,890.1215867852978
1997-02-19,889.4720682186584
1997-02-20,906.2368520495039
1997-02-21,908.3707849477515
1997-02-24,914.7015064022668
1997-02-25,914.830559038675
1997-02-26,913.0712271397565
1997-02-27,916.7971093759286
1997-02-28,912.398720734953
1997-03-03,905.7839889064193
1997-03-04,899.5014895272964
1997-03-05,896.0947578862376
1997-03-06,889.6588626035057
1997-03-07,888.082608495944
1997-03-10,886.3448706601731
1997-03-11,885.6848245808008
1997-03-12,878.2664190283867
1997-03-13,871.6692154680396
1997-03-14,863.420614114099
1997-03-17,865.9374928278113
1997-03-18,875.9720507431224
1997-03-19,870.4753573963361
1997-03-20,865.5452149997062
1997-03-21,868.5582103060673
1997-03-24,860.1296952229044
1997-03-25,859.5456909570527
1997-03-26,861.2561015276874
1997-03-27,858.3747950207435
1997-03-28,857.585274539638
1997-03-31,854.9909234062981
1997-04-01,852.2954155298194
1997-04-02,856.6710976157306
1997-04-03,854.5628673493675
1997-04-04,843.2675749459627
1997-04-07,825.4262969444827
1997-04-08,817.0154067923569
1997-04-09,808.1039405407715
1997-04-10,797.6953558913297
1997-04-11,798.2415787840457
1997-04-14,794.7103314866872
1997-04-15,798.0602875786196
1997-04-16,808.4455972060849
1997-04-17,815.8051170832731
1997-04-18,832.9412787206394
1997-04-21,848.30828531433
1997-04-22,849.4762305244261
