Date,AC ASIA PACIFIC SMALL GROWTH
1994-05-31,1114.3604675930733
1994-06-30,1204.9701413772643
1994-07-29,1168.5861902823685
1994-08-31,1153.3021536590084
1994-09-30,1106.507330461346
1994-10-31,1124.5918514745588
1994-11-30,1028.5549752479953
1994-12-30,1048.2085422775053
1995-01-31,977.7342492382579
1995-02-28,918.8667478958585
1995-03-31,961.5446604917845
1995-04-28,970.7667274345293
1995-05-31,907.2680546995571
1995-06-30,868.7506812835554
1995-07-31,930.08909530091
1995-08-31,915.9382485468672
1995-09-29,903.8412611017955
1995-10-31,870.7833133845976
1995-11-30,902.9126829410751
1995-12-29,952.6096166470969
1996-01-31,962.5501900008944
1996-02-29,949.362363187497
1996-03-29,970.3033975344571
1996-04-30,1054.0061999463612
1996-05-31,1012.4766770816531
1996-06-28,1007.1694867533975
1996-07-31,938.4819252998842
1996-08-30,913.0308708747066
1996-09-30,905.1142131112774
1996-10-31,860.414104269134
1996-11-29,840.2812872202802
1996-12-31,768.9670972254696
1997-01-01,769.2371456482861
1997-01-02,771.6816173098341
1997-01-03,770.1805157409962
1997-01-06,773.6153355125507
1997-01-07,769.6042732375809
1997-01-08,759.7703405670047
1997-01-09,744.3678453067222
1997-01-10,733.6088962467763
1997-01-13,743.2131368833944
1997-01-14,744.4289723315002
1997-01-15,745.7130602045547
1997-01-16,754.6713305587725
1997-01-17,752.6443708323409
1997-01-20,743.2878237666462
1997-01-21,736.6822751124017
1997-01-22,738.9753667315701
1997-01-23,733.7624495095465
1997-01-24,731.5094108919965
1997-01-27,722.7124565416232
1997-01-28,716.1676282202884
1997-01-29,714.9962690484232
1997-01-30,711.7540461221828
1997-01-31,720.2812121082097
1997-02-03,719.2552176338271
1997-02-04,722.4085067745302
1997-02-05,710.9844204751004
1997-02-06,705.5659244974278
1997-02-07,695.0566471110836
1997-02-10,704.1928049798573
1997-02-11,704.1265925164249
1997-02-12,701.0514642266121
1997-02-13,699.7068956859514
1997-02-14,700.6188357030128
1997-02-17,704.7425591978986
1997-02-18,702.7801936381455
1997-02-19,702.1921900260973
1997-02-20,714.8350631895735
1997-02-21,716.214181905949
1997-02-24,720.7139411976596
1997-02-25,720.848431409862
1997-02-26,719.4614545460738
1997-02-27,722.326955966616
1997-02-28,719.6588084310767
1997-03-03,715.8327652956497
1997-03-04,711.1254316310565
1997-03-05,708.5545788160636
1997-03-06,703.3651988137367
1997-03-07,702.2266784705068
1997-03-10,700.462732861075
1997-03-11,699.5460892658698
1997-03-12,693.9489336234227
1997-03-13,688.7496295300888
1997-03-14,682.3351393833924
1997-03-17,684.1283976256166
1997-03-18,691.6123094239487
1997-03-19,687.2366007960651
1997-03-20,683.5020278122157
1997-03-21,685.8668736458715
1997-03-24,679.4961011346761
1997-03-25,679.0123232257056
1997-03-26,680.4850000947612
1997-03-27,678.3011779483356
1997-03-28,677.6114018411889
1997-03-31,674.6324817337785
1997-04-01,672.5814124200665
1997-04-02,676.2443942980614
1997-04-03,674.7390142942526
1997-04-04,666.1137895788869
1997-04-07,652.2974518966046
1997-04-08,645.9034229433141
1997-04-09,639.6191973942576
1997-04-10,631.6578541018803
1997-04-11,632.018653752598
1997-04-14,629.2176831685687
1997-04-15,631.7915500442821
1997-04-16,639.7332595718417
1997-04-17,645.543348688263
1997-04-18,658.5439131573398
1997-04-21,670.5827744369412
1997-04-22,671.3437180113195
1997-04-23,674.460983555665
1997-04-24,672.8378846611362
1997-04-25,671.4958048468648
1997-04-28,667.2156277908962
1997-04-29,666.1434300612941
1997-04-30,673.3627752948404
1997-05-01,680.1408594666054
1997-05-02,681.1172340203964
1997-05-05,681.769050563659
1997-05-06,697.3107328856262
1997-05-07,699.9165782311463
1997-05-08,702.2175137806748
1997-05-09,709.2089314706689
1997-05-12,723.5488022330971
1997-05-13,725.6125796801097
1997-05-14,730.133907928626
1997-05-15,738.5981472964438
1997-05-16,747.2438961931651
1997-05-19,747.9256879240182
1997-05-20,759.0982623630642
1997-05-21,752.2086412654818
1997-05-22,742.9617464718865
1997-05-23,748.0286616333691
1997-05-26,744.0158721214797
1997-05-27,740.8059964172108
1997-05-28,751.4311433103239
1997-05-29,750.7846389464303
1997-05-30,751.274813675969
1997-06-02,753.640495809339
1997-06-03,757.0604273803413
1997-06-04,758.4513845902006
1997-06-05,761.6398822517751
1997-06-06,762.4225142069055
1997-06-09,774.2327863971835
1997-06-10,776.0483066155716
1997-06-11,778.7278728617407
1997-06-12,767.7039692979026
1997-06-13,763.5479070701815
1997-06-16,772.0098785677607
1997-06-17,773.0282111777959
1997-06-18,772.6925919769664
1997-06-19,769.3866887321731
