Date,AC ASIA SMALL GROWTH
1994-05-31,1351.0476964785184
1994-06-30,1462.5359801476056
1994-07-29,1418.1023566220601
1994-08-31,1399.2809754064451
1994-09-30,1342.7115617813413
1994-10-31,1364.6861089118322
1994-11-30,1247.464007732949
1994-12-30,1271.4715391306072
1995-01-31,1185.7339198478303
1995-02-28,1113.9215839393585
1995-03-31,1165.9332245428423
1995-04-28,1176.017414801138
1995-05-31,1098.7167845961371
1995-06-30,1051.3597212344982
1995-07-31,1126.0034006985761
1995-08-31,1108.9023610699007
1995-09-29,1093.7248627992258
1995-10-31,1052.676295122078
1995-11-30,1093.1192600336533
1995-12-29,1153.1443908874514
1996-01-31,1164.769917240887
1996-02-29,1148.406828295575
1996-03-29,1173.1726706496052
1996-04-30,1275.2889654416042
1996-05-31,1225.5731774014398
1996-06-28,1218.7937298721702
1996-07-31,1134.5507460891633
1996-08-30,1102.7648733991464
1996-09-30,1092.8076174769462
1996-10-31,1037.2620747840003
1996-11-29,1012.3615378022735
1996-12-31,925.579264975906
1997-01-01,925.9085313135259
1997-01-02,928.872039742648
1997-01-03,927.0809508832621
1997-01-06,931.1847904699887
1997-01-07,926.315220557241
1997-01-08,914.3875035906727
1997-01-09,895.6374872468699
1997-01-10,882.5420244900718
1997-01-13,894.2549766213574
1997-01-14,895.6761800698454
1997-01-15,897.2048760611406
1997-01-16,908.1246581866611
1997-01-17,905.5638898909978
1997-01-20,894.1598362991163
1997-01-21,886.1846021293952
1997-01-22,888.9841232365698
1997-01-23,882.8586752938885
1997-01-24,880.2549026587099
1997-01-27,869.6129219389352
1997-01-28,861.695872890012
1997-01-29,860.2652908248416
1997-01-30,856.2021751799741
1997-01-31,866.6316142290975
1997-02-03,865.4205463670041
1997-02-04,869.3475206790391
1997-02-05,855.4290648784511
1997-02-06,848.8547409303758
1997-02-07,836.1925830785511
1997-02-10,847.2741794568462
1997-02-11,847.1822695556573
1997-02-12,843.4219761692601
1997-02-13,841.5880790205205
1997-02-14,842.730097945381
1997-02-17,847.7898771608217
1997-02-18,845.5104816241193
1997-02-19,844.7811114329724
1997-02-20,860.157107345681
1997-02-21,861.852073252757
1997-02-24,867.2646387929349
1997-02-25,867.3779426078223
1997-02-26,865.7167410012668
1997-02-27,869.355056124064
1997-02-28,866.0518913239102
1997-03-03,861.3309487801324
1997-03-04,855.4658952062968
1997-03-05,852.3077567449822
1997-03-06,846.0301926239454
1997-03-07,844.6120122263636
1997-03-10,842.5222599382439
1997-03-11,841.5082910281834
1997-03-12,834.6762517173128
1997-03-13,828.4391990931756
1997-03-14,820.6463066288039
1997-03-17,822.9504443385063
1997-03-18,832.14664011635
1997-03-19,826.8597175156507
1997-03-20,822.3160007519093
1997-03-21,825.1326634985143
1997-03-24,817.3471944701848
1997-03-25,816.7784166420028
1997-03-26,818.4449528866857
1997-03-27,815.731700377943
