Date,AC ASIA PACIFIC ex JAPAN SMALL GROWTH
1997-05-30,575.1666404891881
1997-06-02,578.4073493203804
1997-06-03,579.4422947651328
1997-06-04,579.5763142443542
1997-06-05,581.3735713502042
1997-06-06,582.3079161662383
1997-06-09,583.5012500051255
1997-06-10,582.7948867103875
1997-06-11,578.9225498455945
1997-06-12,573.3828487770536
1997-06-13,572.8433492159528
1997-06-16,574.790501925171
1997-06-17,575.9868157194051
1997-06-18,574.7039033705806
1997-06-19,575.4416829490469
1997-06-20,580.7525979195321
1997-06-23,581.4077842448065
1997-06-24,580.1604743266785
1997-06-25,583.3556183485946
1997-06-26,582.4078843211427
1997-06-27,583.0675604994084
1997-06-30,588.0775627270324
1997-07-01,589.1029777786639
1997-07-02,589.6138971743377
1997-07-03,589.6444400010968
1997-07-04,588.2260605054153
1997-07-07,589.5309609805212
1997-07-08,587.6254001991091
1997-07-09,587.8705219251485
1997-07-10,588.0297725379036
1997-07-11,588.832995604417
1997-07-14,589.7952533150143
1997-07-15,586.2315796854513
1997-07-16,583.5436206266497
1997-07-17,585.2815000129264
1997-07-18,587.1710492149618
1997-07-21,584.1302515687879
1997-07-22,581.3746902893635
1997-07-23,582.3016565614906
1997-07-24,586.0995445512165
1997-07-25,588.955169037475
1997-07-28,592.8706821137071
1997-07-29,593.0019654404666
1997-07-30,592.8687987590577
1997-07-31,595.5300319302038
1997-08-01,596.5423014857207
1997-08-04,597.8786814101779
1997-08-05,599.8197213061864
1997-08-06,600.7914889289855
1997-08-07,598.737655099064
1997-08-08,597.5461230579873
1997-08-11,596.6606694515626
1997-08-12,594.7911056847743
1997-08-13,590.4821915697354
1997-08-14,589.816661060383
1997-08-15,588.2097266412954
1997-08-18,580.2871521507996
1997-08-19,575.6956093327299
1997-08-20,584.731244593952
1997-08-21,587.8378003245724
1997-08-22,585.3150546419575
1997-08-25,585.8911482098376
1997-08-26,585.3960278095853
1997-08-27,580.5715684556563
1997-08-28,569.9480001576622
1997-08-29,558.9062499652189
1997-09-01,547.1068459222016
