Date,ACWI SMALL GROWTH
1994-05-31,354.06310210078095
1994-06-30,357.95064758779836
1994-07-29,359.3422020394942
1994-08-31,370.12181025056327
1994-09-30,364.6992157408281
1994-10-31,370.7489569811183
1994-11-30,349.15952017067
1994-12-30,354.83373394307426
1995-01-31,343.0181763584926
1995-02-28,343.1679790407072
1995-03-31,355.98292536776916
1995-04-28,360.5139792295596
1995-05-31,356.50862584445633
1995-06-30,362.81918630038535
1995-07-31,385.82432784700404
1995-08-31,382.51341959011876
1995-09-29,387.02549330135736
1995-10-31,373.2290323574961
1995-11-30,380.7940578000583
1995-12-29,392.4281331305054
1996-01-31,393.0704330635326
1996-02-29,402.26785629235366
1996-03-29,412.3391263164212
1996-04-30,439.9321920401052
1996-05-31,445.51652092330454
1996-06-28,434.8890079567205
1996-07-31,401.7404232080553
1996-08-30,411.7526622868438
1996-09-30,419.56029832035057
1996-10-31,409.5483008410055
1996-11-29,413.57069741933935
1996-12-31,408.7010773646335
1997-01-01,408.7304614012625
1997-01-02,406.3967406114743
1997-01-03,408.1548506102371
1997-01-06,409.4209281370534
1997-01-07,411.5800622419855
1997-01-08,410.72911645935636
1997-01-09,410.22045886125784
1997-01-10,408.6183678191257
1997-01-13,409.74039893431706
1997-01-14,411.10993858917635
1997-01-15,411.71496427916077
1997-01-16,413.50212933787947
1997-01-17,413.17909648390815
1997-01-20,412.86578999799343
1997-01-21,412.7958215883753
1997-01-22,413.06593363271185
1997-01-23,411.7098016572425
1997-01-24,409.97769009532124
1997-01-27,406.2660563397081
1997-01-28,404.82832758966924
1997-01-29,404.8944740624729
1997-01-30,406.0727489920558
1997-01-31,408.13907747263096
1997-02-03,407.83158869964933
1997-02-04,407.86616851244935
1997-02-05,404.9148566346838
1997-02-06,404.22465452616666
1997-02-07,402.56702444806234
1997-02-10,402.4921022892232
1997-02-11,400.8598627931981
1997-02-12,402.21845790337727
1997-02-13,403.254263029297
1997-02-14,403.860271819983
1997-02-17,404.0016765728762
1997-02-18,403.6183859880544
1997-02-19,403.01952855262886
1997-02-20,402.7851712300069
1997-02-21,402.19795873469866
1997-02-24,403.8415917270829
1997-02-25,404.1356987070544
1997-02-26,401.4142760625247
1997-02-27,399.23262807629567
1997-02-28,397.9438105475208
1997-03-03,396.3910458698585
1997-03-04,396.7073338528922
1997-03-05,397.9134837967079
1997-03-06,397.3242016831853
1997-03-07,398.09470660445555
1997-03-10,399.1567575373924
1997-03-11,399.0263356455934
1997-03-12,395.7429262189184
1997-03-13,392.2900010618971
1997-03-14,391.4810038087406
1997-03-17,388.90739418976926
1997-03-18,387.8561754087874
1997-03-19,384.78678109433025
1997-03-20,383.54985958523486
1997-03-21,384.8645851387126
1997-03-24,381.93346268039346
1997-03-25,382.68885814266423
1997-03-26,384.89123535153726
1997-03-27,383.8363976583447
1997-03-28,383.9810847155787
1997-03-31,380.3474068293938
1997-04-01,376.82841725061814
1997-04-02,375.2105960558598
1997-04-03,374.04209600290153
1997-04-04,376.2733268095236
1997-04-07,375.7741216285857
1997-04-08,375.32187731675054
1997-04-09,374.7268309159778
1997-04-10,372.45952442956394
1997-04-11,369.23704441693974
1997-04-14,368.06986537686134
1997-04-15,369.1091817486417
1997-04-16,369.5397873730788
1997-04-17,370.621111266705
1997-04-18,372.7424556120317
1997-04-21,372.371906154335
1997-04-22,371.72796266689306
1997-04-23,372.71389287213765
1997-04-24,372.5085928163448
1997-04-25,369.7445917889763
1997-04-28,368.34165558656167
1997-04-29,370.44606160023085
1997-04-30,372.83162988434555
1997-05-01,376.00363579479034
1997-05-02,380.77972232185317
1997-05-05,387.13930468110397
1997-05-06,389.93668240207916
1997-05-07,389.7759897476163
1997-05-08,390.51883568348717
1997-05-09,393.1653941526534
1997-05-12,396.84110855313094
1997-05-13,397.3797356792109
1997-05-14,398.7713898626713
1997-05-15,401.3911582927188
1997-05-16,402.516931941402
1997-05-19,402.38108898092844
1997-05-20,405.5901491811483
1997-05-21,406.4892324726551
1997-05-22,405.4208068548262
1997-05-23,408.6076421921436
1997-05-26,408.38085983606913
1997-05-27,408.7346663784846
1997-05-28,411.2328980461119
1997-05-29,411.53628159984595
1997-05-30,411.9757889297251
1997-06-02,413.0671807982891
1997-06-03,413.7901546290852
1997-06-04,413.51290460875083
1997-06-05,415.2988072702257
1997-06-06,416.80918981737534
1997-06-09,419.86971359834405
1997-06-10,418.96720982760456
1997-06-11,419.6621902400086
1997-06-12,418.6178681939435
1997-06-13,418.5842813450602
1997-06-16,420.5870665270827
1997-06-17,421.0338039913575
1997-06-18,420.67599438867717
1997-06-19,422.43094240887166
1997-06-20,421.8459256607185
1997-06-23,420.5349190070411
1997-06-24,421.7395012049641
1997-06-25,422.9989692447942
1997-06-26,422.7027133364596
1997-06-27,423.15126428491993
1997-06-30,426.74609264798244
1997-07-01,425.295252218766
