Date,ACWI ex EMU SMALL GROWTH
2007-05-31,1000.0
2007-06-01,1007.3905189867489
2007-06-04,1011.2643251080328
2007-06-05,1008.9943532972048
2007-06-06,999.6052607672278
2007-06-07,984.5061052572331
2007-06-08,985.5676330398342
2007-06-11,986.4326461055701
2007-06-12,978.4511969623954
2007-06-13,984.7912689468465
2007-06-14,994.7692371746225
2007-06-15,1005.4620409729556
2007-06-18,1007.7881320850761
2007-06-19,1008.5637019446964
2007-06-20,1003.227517497484
2007-06-21,1004.7926357868138
2007-06-22,1000.7158554577204
2007-06-25,993.3986877120758
2007-06-26,989.8219046334723
2007-06-27,994.1378189549197
2007-06-28,1000.7201669146423
2007-06-29,1002.96742684444
2007-07-02,1014.970881480379
2007-07-03,1021.56906697845
2007-07-04,1023.8514489986504
2007-07-05,1026.4104738356828
2007-07-06,1031.462162538117
2007-07-09,1035.8794727858458
2007-07-10,1027.1056489257412
2007-07-11,1028.7940287241743
2007-07-12,1041.026575353767
2007-07-13,1045.1088244558289
2007-07-16,1040.5177756196626
2007-07-17,1040.048899658836
2007-07-18,1037.710115947586
2007-07-19,1044.1871385995162
2007-07-20,1039.3603261531184
2007-07-23,1038.3838879845323
2007-07-24,1023.283120875213
2007-07-25,1017.9907585639326
2007-07-26,996.8008606328191
2007-07-27,978.5983934909842
2007-07-30,986.7013071828233
2007-07-31,988.2291605700924
2007-08-01,978.0911509149173
2007-08-02,984.9688831658185
2007-08-03,969.540723652488
2007-08-06,967.5088884954042
2007-08-07,972.3848847182584
2007-08-08,990.3882983690276
2007-08-09,978.0508169302271
2007-08-10,964.8465776706621
2007-08-13,964.4036732363074
2007-08-14,948.9548956810364
2007-08-15,927.5089119099977
2007-08-16,909.3815800129873
2007-08-17,916.6420727455373
2007-08-20,929.7200442749148
2007-08-21,932.4217229276202
2007-08-22,947.2923189731005
2007-08-23,950.2600840451576
2007-08-24,961.2288734228331
2007-08-27,959.5693142632522
2007-08-28,943.0070600317727
2007-08-29,952.9606907409266
2007-08-30,955.1287095414906
2007-08-31,971.742799620361
2007-09-03,974.055970857189
2007-09-04,981.1659623003827
2007-09-05,972.2872664763315
2007-09-06,976.5444785184892
2007-09-07,966.7160114224426
2007-09-10,956.6224339485863
2007-09-11,969.3830234579484
2007-09-12,969.6124202705734
2007-09-13,970.019138558009
2007-09-14,971.5306821955961
2007-09-17,963.1659077720149
2007-09-18,978.7232426618398
2007-09-19,994.08968407633
2007-09-20,993.3316474184958
2007-09-21,996.9087163985026
2007-09-24,994.842896441268
2007-09-25,994.3817974980619
2007-09-26,1001.4772960680212
2007-09-27,1012.6257918397258
2007-09-28,1013.85338427144
2007-10-01,1025.5149919810128
2007-10-02,1031.9268303510303
2007-10-03,1031.2366700911625
2007-10-04,1031.5449575250052
2007-10-05,1046.0921049000078
2007-10-08,1042.9506175283054
2007-10-09,1050.6546687692046
2007-10-10,1055.337421661631
2007-10-11,1054.602365162038
2007-10-12,1056.7870572913223
2007-10-15,1052.9306853390365
2007-10-16,1042.8639597640192
2007-10-17,1045.6852131238918
2007-10-18,1051.7800650639215
2007-10-19,1032.5280195044725
2007-10-22,1025.5966662632266
2007-10-23,1041.8937600394493
2007-10-24,1038.6701600320641
2007-10-25,1037.122412506187
2007-10-26,1051.8989531788275
2007-10-29,1061.0668701132765
2007-10-30,1055.8257604944433
2007-10-31,1072.2899177135362
2007-11-01,1053.8768410941877
2007-11-02,1051.8649876355412
2007-11-05,1041.7371190404497
2007-11-06,1054.1968601731196
2007-11-07,1038.5505170246379
2007-11-08,1029.5329838763741
2007-11-09,1014.3985118317335
2007-11-12,989.5996061610705
2007-11-13,1003.935993499953
2007-11-14,1010.7413487252464
2007-11-15,996.4845387854815
2007-11-16,992.5324806468525
2007-11-19,971.1447712580527
2007-11-20,971.2073554087659
2007-11-21,953.2024269363358
2007-11-22,951.9166961714998
2007-11-23,962.3464069636243
2007-11-26,958.5292312214146
2007-11-27,959.9365172455117
2007-11-28,981.563382248354
2007-11-29,987.0123354787041
2007-11-30,993.9368369989953
2007-12-03,990.2131505106095
2007-12-04,982.5887502828668
2007-12-05,991.6698821588508
2007-12-06,1005.0919555310512
2007-12-07,1007.8684484821689
2007-12-10,1011.4020099843864
2007-12-11,996.5088423882114
2007-12-12,999.9322199960662
2007-12-13,988.5010713065577
2007-12-14,974.5663772323389
2007-12-17,948.1983524159602
2007-12-18,954.2825055349276
2007-12-19,955.3734645768316
2007-12-20,961.1257762575852
2007-12-21,977.639902121272
2007-12-24,985.0733398502583
2007-12-25,986.4713102995694
2007-12-26,992.1541992635696
2007-12-27,983.7131448882186
2007-12-28,986.6594981710128
2007-12-31,984.7911262026528
2008-01-01,985.0362129766116
2008-01-02,978.814479606171
2008-01-03,974.8461738676574
2008-01-04,951.8006336389514
2008-01-07,940.5881937755186
2008-01-08,929.8831642323719
2008-01-09,929.0323627700031
