Date,ACWI ex JAPAN SMALL GROWTH
2007-05-31,1000.0
2007-06-01,1006.4165127643276
2007-06-04,1009.6096961436205
2007-06-05,1007.4904728546508
2007-06-06,994.5644208858661
2007-06-07,978.088393214007
2007-06-08,980.1749558928726
2007-06-11,982.8145827429884
2007-06-12,974.6822291622573
2007-06-13,981.845351303896
2007-06-14,992.2365345616342
2007-06-15,1003.5222184155682
2007-06-18,1005.0140859807311
2007-06-19,1006.2550042106425
2007-06-20,1001.3563582671476
2007-06-21,1001.3431777244331
2007-06-22,998.0472465106604
2007-06-25,991.2409281642063
2007-06-26,986.803191120703
2007-06-27,991.1832460438766
2007-06-28,998.3146434924071
2007-06-29,1001.0121285592808
2007-07-02,1013.3491804247844
2007-07-03,1020.6528200109318
2007-07-04,1023.7429983692781
2007-07-05,1025.4154357667142
2007-07-06,1031.8301266294357
2007-07-09,1035.9398984601794
2007-07-10,1026.7703090454788
2007-07-11,1028.8934647388894
2007-07-12,1043.5796712698411
2007-07-13,1047.1592614199776
2007-07-16,1041.9257878080564
2007-07-17,1041.4695741257178
2007-07-18,1039.1272872365366
2007-07-19,1046.466424517889
2007-07-20,1040.2625998129624
2007-07-23,1040.7916830761042
2007-07-24,1023.7307612131542
2007-07-25,1016.0792314548373
2007-07-26,993.012880903844
2007-07-27,975.2382300563959
2007-07-30,982.4389475184316
2007-07-31,986.388700269562
2007-08-01,976.3845517254489
2007-08-02,983.8094986245977
2007-08-03,968.0038064240512
2007-08-06,963.7664690480487
2007-08-07,970.3967687198477
2007-08-08,991.6886611876204
2007-08-09,974.2127841490467
2007-08-10,960.1920861692107
2007-08-13,961.6104905100694
2007-08-14,944.5894787440361
2007-08-15,923.8445014637122
2007-08-16,899.808315503259
2007-08-17,913.755575348517
2007-08-20,926.224073708751
2007-08-21,926.5156381079787
2007-08-22,945.1395887006712
2007-08-23,947.4062930731816
2007-08-24,959.1129293696752
2007-08-27,957.9945212850072
2007-08-28,939.2554146249403
2007-08-29,951.4912918379448
2007-08-30,954.6330245086865
2007-08-31,970.3199780241644
2007-09-03,973.2047971224647
2007-09-04,981.6068724038498
2007-09-05,973.3373712350368
2007-09-06,978.4048460162098
2007-09-07,965.9522683274994
2007-09-10,956.4967981915097
2007-09-11,971.4148689703524
2007-09-12,972.3392583352538
2007-09-13,974.0599289175768
2007-09-14,973.049044429568
2007-09-17,962.4013365978003
2007-09-18,981.7114650873209
2007-09-19,997.8346686648291
2007-09-20,996.6453219839932
2007-09-21,1002.7762707829664
2007-09-24,1001.0058405428421
2007-09-25,997.8682058479593
2007-09-26,1004.5782422003125
2007-09-27,1013.5873102809838
2007-09-28,1014.7834588392304
2007-10-01,1028.2973237460942
2007-10-02,1033.8082279733467
2007-10-03,1032.355072039003
2007-10-04,1032.7672634494654
2007-10-05,1047.9770232879287
2007-10-08,1045.2086000733734
2007-10-09,1051.8301342781515
2007-10-10,1057.8769667498864
2007-10-11,1057.5647081927032
2007-10-12,1059.7928765240013
2007-10-15,1056.255785025439
2007-10-16,1046.256173134232
2007-10-17,1052.056617497928
2007-10-18,1054.6418313897332
2007-10-19,1035.3518591760032
2007-10-22,1026.5186110112645
2007-10-23,1045.1678679886206
2007-10-24,1040.2017196101474
2007-10-25,1041.7729972046893
2007-10-26,1055.4519555079055
2007-10-29,1064.6973380050006
2007-10-30,1058.652503743605
2007-10-31,1076.207648883359
2007-11-01,1056.527350040158
2007-11-02,1056.4081081415313
2007-11-05,1046.7699233442931
2007-11-06,1060.9932668156066
2007-11-07,1046.1067896152408
2007-11-08,1037.9667347472873
2007-11-09,1019.9843915388471
2007-11-12,995.4148440841378
2007-11-13,1009.2336085186967
