Date,GOLDEN DRAGON SMALL GROWTH
2007-05-31,1000.0
2007-06-01,1006.3695845958673
2007-06-04,1004.1486565017692
2007-06-05,1009.5445172772861
2007-06-06,1008.6684368057051
2007-06-07,1014.2057027515434
2007-06-08,1013.7959038791863
2007-06-11,1021.5655381497468
2007-06-12,1028.176712391333
2007-06-13,1031.6522484940356
2007-06-14,1033.3345148611559
2007-06-15,1039.1647716888378
2007-06-18,1041.8276115911392
2007-06-19,1042.5451018619406
2007-06-20,1047.1784904361382
2007-06-21,1051.66464016903
2007-06-22,1066.7125018345653
2007-06-25,1070.0196066367341
2007-06-26,1066.9104896746796
2007-06-27,1064.3139381701003
2007-06-28,1066.148671121129
2007-06-29,1069.7311928077274
2007-07-02,1074.53005932733
2007-07-03,1091.1473071422506
2007-07-04,1095.1064010836162
2007-07-05,1108.584187872026
2007-07-06,1117.2169549961154
2007-07-09,1137.2399444417858
2007-07-10,1139.9298431982645
2007-07-11,1134.2642430266208
2007-07-12,1142.1838448212686
2007-07-13,1147.9154257218606
2007-07-16,1143.0788249734178
2007-07-17,1158.286038918564
2007-07-18,1158.881039817763
2007-07-19,1161.180141705341
2007-07-20,1181.497466536844
2007-07-23,1201.3278064175383
2007-07-24,1215.0149381801457
2007-07-25,1230.969405812084
2007-07-26,1219.9846511573462
2007-07-27,1183.9928327217885
2007-07-30,1173.116324778529
2007-07-31,1200.4274947352847
2007-08-01,1169.3480551615842
2007-08-02,1153.362250657729
2007-08-03,1154.886156319975
2007-08-06,1121.7949755391014
2007-08-07,1105.709024631495
2007-08-08,1132.3447115431834
2007-08-09,1157.1862791754818
2007-08-10,1128.3828878516244
2007-08-13,1112.648775604654
2007-08-14,1107.2720036020096
2007-08-15,1064.941074979268
2007-08-16,1008.103907630114
2007-08-17,980.7897400706553
2007-08-20,1038.401630725148
2007-08-21,1035.8259225016116
2007-08-22,1038.7876440122582
2007-08-23,1073.5241614267456
2007-08-24,1085.4615862707676
2007-08-27,1102.875869865661
2007-08-28,1100.465081563472
2007-08-29,1085.402832470878
2007-08-30,1104.846660559315
2007-08-31,1129.7028737408214
2007-09-03,1132.5801602247152
2007-09-04,1124.4683140530792
2007-09-05,1121.514732508672
2007-09-06,1135.6213476027626
2007-09-07,1145.4149625555401
2007-09-10,1141.6954394110994
2007-09-11,1142.1313302019114
2007-09-12,1149.6554085869027
2007-09-13,1145.0115424478824
2007-09-14,1155.7921383564665
2007-09-17,1141.0891810145342
2007-09-18,1140.7148072393868
2007-09-19,1135.995719240031
2007-09-20,1136.3410210633872
2007-09-21,1157.2802856822548
2007-09-24,1157.8291140694394
2007-09-25,1151.952446504773
2007-09-26,1160.6866344313235
2007-09-27,1184.705095619571
2007-09-28,1199.0221993132288
2007-10-01,1205.5679194420823
2007-10-02,1223.1643486933594
2007-10-03,1214.4469425405089
2007-10-04,1199.257216637207
2007-10-05,1209.1379575242872
2007-10-08,1203.0911554113925
2007-10-09,1196.6976890396288
2007-10-10,1212.7819299204991
2007-10-11,1228.3276317333882
2007-10-12,1220.4976553444112
2007-10-15,1213.6675372891918
2007-10-16,1213.9834957792834
2007-10-17,1213.9014229626816
2007-10-18,1223.7642105420043
2007-10-19,1224.1674831231942
2007-10-22,1188.2839518305655
2007-10-23,1204.8303231196405
2007-10-24,1198.255646621622
