Date,ACWI ex USA MOMENTUM
1998-12-31,1000.0
1999-01-01,1000.0004691477633
1999-01-04,1032.7054928086402
1999-01-05,1048.832419499155
1999-01-06,1069.1492747916666
1999-01-07,1063.718315978599
1999-01-08,1065.098901275123
1999-01-11,1053.63740491509
1999-01-12,1036.1089116873038
1999-01-13,996.3899441853467
1999-01-14,1004.2875680025504
1999-01-15,1022.8181839441763
1999-01-18,1046.5714116065053
1999-01-19,1044.6656655427146
1999-01-20,1056.8684914863454
1999-01-21,1046.008205196289
1999-01-22,1018.3429844574393
1999-01-25,1021.8056194012995
1999-01-26,1024.9231298089815
1999-01-27,1029.6324427113143
1999-01-28,1040.518068547217
1999-01-29,1046.7022191928324
1999-02-01,1063.4432108986514
1999-02-02,1053.4556325877936
1999-02-03,1039.4902333110465
1999-02-04,1038.5716843751836
1999-02-05,1028.3828242135385
1999-02-08,1018.7330272066681
1999-02-09,996.2163442020077
1999-02-10,989.7827597727685
1999-02-11,1006.7912949745954
1999-02-12,1017.214613123045
1999-02-15,1020.8464419585127
1999-02-16,1021.2757030734847
1999-02-17,1011.3074349189839
1999-02-18,1013.5579589685694
1999-02-19,1021.5764992876873
1999-02-22,1036.5255959175443
1999-02-23,1050.001337948755
1999-02-24,1058.6584068428037
1999-02-25,1041.9930915356997
1999-02-26,1038.913281197956
1999-03-01,1027.4207323507314
1999-03-02,1028.4231522102696
1999-03-03,1019.2724934493143
1999-03-04,1024.2952526809459
1999-03-05,1046.3555998314735
1999-03-08,1042.2262165678699
1999-03-09,1047.6014294082577
1999-03-10,1045.5557527394988
1999-03-11,1053.655944873677
1999-03-12,1055.0461895855142
1999-03-15,1054.51689192939
1999-03-16,1057.7454130810854
1999-03-17,1046.1211922516868
1999-03-18,1036.501827594544
1999-03-19,1054.1641176710875
1999-03-22,1049.8856922244318
1999-03-23,1031.6192634662034
1999-03-24,1019.9773353880735
1999-03-25,1035.1669074758624
1999-03-26,1031.8730158792464
1999-03-29,1045.055011824714
1999-03-30,1041.8143946803325
1999-03-31,1054.7161831375213
