Date,AC PACIFIC MOMENTUM
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,990.8653407225204
1999-01-05,995.6202129123932
1999-01-06,1014.1053397229598
1999-01-07,1046.5750291005609
1999-01-08,1043.747675047927
1999-01-11,1054.5049683627317
1999-01-12,1035.798507220425
1999-01-13,997.1787448336811
1999-01-14,998.9450040041006
1999-01-15,1009.7972788671511
1999-01-18,1013.2895344550515
1999-01-19,1020.7169573944449
1999-01-20,1034.6324759880872
1999-01-21,1031.7669335915164
1999-01-22,1009.7904744052139
1999-01-25,1005.5432280642215
1999-01-26,1012.4729617341426
1999-01-27,1025.7413406382616
1999-01-28,1022.5054696114875
1999-01-29,1035.1420613308749
1999-02-01,1051.5163304213966
1999-02-02,1056.7625678986465
1999-02-03,1047.0100219752974
1999-02-04,1048.9337389128498
1999-02-05,1037.5115410047667
1999-02-08,1035.5457201735583
1999-02-09,1016.4733146546649
1999-02-10,1006.6540586696561
1999-02-11,1014.7966981713708
1999-02-12,1027.809988859628
1999-02-15,1023.5714549727497
1999-02-16,1015.3416134380846
1999-02-17,1006.593736742511
1999-02-18,996.851169052475
1999-02-19,1004.8014881537977
1999-02-22,1018.9145676732759
1999-02-23,1023.6467007198272
1999-02-24,1025.3870339020673
1999-02-25,1021.9802267966412
1999-02-26,1033.0177406241876
1999-03-01,1036.0118396511016
1999-03-02,1024.3801708162669
1999-03-03,1026.8520025762605
1999-03-04,1025.5614824423287
1999-03-05,1055.6084692204608
1999-03-08,1059.4201736627833
1999-03-09,1074.0046371874241
1999-03-10,1085.014944065762
1999-03-11,1100.9071821953883
1999-03-12,1099.4818797070586
1999-03-15,1118.5288223207035
1999-03-16,1136.542937081052
1999-03-17,1124.9087294674416
1999-03-18,1106.794021117266
1999-03-19,1147.971560072574
1999-03-22,1147.2388180123028
1999-03-23,1138.066848692677
1999-03-24,1116.5521748174813
1999-03-25,1132.8103481662597
1999-03-26,1138.1749679997083
1999-03-29,1143.4989322941933
1999-03-30,1139.9515361708475
1999-03-31,1145.5611597479347
1999-04-01,1173.0048696186348
1999-04-02,1175.81703254771
1999-04-05,1176.9485898269634
1999-04-06,1194.087272362064
1999-04-07,1199.2119268926972
1999-04-08,1208.3827487085152
1999-04-09,1215.1119420473324
1999-04-12,1192.8822601630877
1999-04-13,1211.1971473900953
1999-04-14,1224.1956037700959
1999-04-15,1233.6781511346048
1999-04-16,1258.1830999810577
1999-04-19,1282.7574200341303
1999-04-20,1262.4115538013036
1999-04-21,1246.0007614147291
1999-04-22,1260.1120935891674
1999-04-23,1273.2580635592158
1999-04-26,1300.309757504856
1999-04-27,1305.292005995368
1999-04-28,1309.8410456454442
1999-04-29,1304.3495953711604
1999-04-30,1299.4022076075858
1999-05-03,1294.3314274928164
1999-05-04,1295.6551634504754
1999-05-05,1286.9519488823694
1999-05-06,1313.6254436601612
1999-05-07,1290.2788916476134
1999-05-10,1289.1343779693564
1999-05-11,1272.9490273765261
1999-05-12,1280.7422847547712
1999-05-13,1266.1112414554257
1999-05-14,1250.8970392594306
1999-05-17,1218.1105999426443
1999-05-18,1223.4385422243536
1999-05-19,1192.298840413224
1999-05-20,1190.21189075593
1999-05-21,1208.9136662172134
1999-05-24,1209.8048808266242
1999-05-25,1203.403884966567
1999-05-26,1225.4631632329488
1999-05-27,1227.9313188370118
1999-05-28,1231.3564202927707
1999-05-31,1228.4221583991898
1999-06-01,1249.2313789517225
1999-06-02,1277.1715768213976
1999-06-03,1268.5154601954657
1999-06-04,1281.7759015600332
1999-06-07,1320.1650196879505
1999-06-08,1328.167192474911
1999-06-09,1323.1085602516916
1999-06-10,1350.3912848027978
1999-06-11,1362.4517163077949
1999-06-14,1345.6402437138267
1999-06-15,1345.9007884886298
1999-06-16,1367.142661870717
1999-06-17,1391.2086090943392
1999-06-18,1375.169007881811
1999-06-21,1409.4930987731148
1999-06-22,1425.3246388980847
1999-06-23,1416.1327984214047
1999-06-24,1404.1999721172645
1999-06-25,1385.6618829789518
1999-06-28,1415.16400678004
1999-06-29,1429.37270078103
1999-06-30,1415.0359897013982
1999-07-01,1459.377065294296
1999-07-02,1480.445122454303
1999-07-05,1497.4567467353627
1999-07-06,1491.2085577312923
1999-07-07,1494.457426701351
1999-07-08,1488.224686512972
1999-07-09,1494.7451554657393
1999-07-12,1508.3814417630492
1999-07-13,1503.4593656329216
1999-07-14,1496.9350851398142
1999-07-15,1515.974408982703
1999-07-16,1517.2719752211167
1999-07-19,1536.3186267638036
1999-07-20,1495.6980585147517
1999-07-21,1459.0373482970317
1999-07-22,1441.5244233475785
1999-07-23,1410.2275744177775
1999-07-26,1376.4972790493607
1999-07-27,1397.727712603575
1999-07-28,1433.8235401329014
1999-07-29,1459.4383720770102
1999-07-30,1460.4958629199923
1999-08-02,1460.4161282824123
1999-08-03,1475.0271583834271
