Date,UNITED KINGDOM IMI VALUE
1998-12-31,483.16228630053416
1999-01-01,483.16228630053416
1999-01-04,476.25267328717626
1999-01-05,478.4541649661101
1999-01-06,495.2532065417492
1999-01-07,491.95773559714854
1999-01-08,496.7740476706549
1999-01-11,493.6411101323368
1999-01-12,488.8464233220429
1999-01-13,475.4332435394407
1999-01-14,475.0920182585526
1999-01-15,486.3753574960196
1999-01-18,495.9442322366008
1999-01-19,491.3264511303866
1999-01-20,494.5526807184833
1999-01-21,489.2379391792493
1999-01-22,479.0487797048141
1999-01-25,481.45689913437036
1999-01-26,481.40870776130373
1999-01-27,481.4550753090434
1999-01-28,484.31980107271806
1999-01-29,489.34180842745184
1999-02-01,500.47597135059294
1999-02-02,504.894508991655
1999-02-03,499.3247860649281
1999-02-04,503.05159901778893
1999-02-05,499.8912262482281
1999-02-08,499.57713500223235
1999-02-09,493.4674155471508
1999-02-10,488.68026000511617
1999-02-11,495.9837777020898
1999-02-12,502.02078937635616
1999-02-15,508.5940375262021
1999-02-16,518.450778192183
1999-02-17,514.2443825886189
1999-02-18,511.6579675396925
1999-02-19,513.4701383176409
1999-02-22,515.1915168322203
1999-02-23,519.4885142108429
1999-02-24,527.9555513250317
1999-02-25,520.5534886817699
1999-02-26,524.8370577424564
1999-03-01,522.4122166905167
1999-03-02,525.9990442691583
1999-03-03,528.0609657280552
1999-03-04,534.2124623396284
1999-03-05,543.306957362474
1999-03-08,540.098755537152
1999-03-09,543.086656862618
1999-03-10,545.193792621259
1999-03-11,562.3850892511863
1999-03-12,557.7664124751917
1999-03-15,547.3800228063297
1999-03-16,549.3188236708768
1999-03-17,542.8106686767966
1999-03-18,543.017152305057
1999-03-19,550.0477434065533
1999-03-22,550.5952785431301
1999-03-23,547.051311936426
1999-03-24,546.23902246976
1999-03-25,551.0063680664055
1999-03-26,557.5108071603644
1999-03-29,565.4055809062618
1999-03-30,560.1681004553294
1999-03-31,558.6123983593936
1999-04-01,553.4689873028187
1999-04-02,554.3201751068094
