Date,DENMARK IMI VALUE
1998-12-31,276.9754634398618
1999-01-01,276.9754634398618
1999-01-04,284.7005348751775
1999-01-05,284.34083355687375
1999-01-06,286.5808574842253
1999-01-07,285.4155901628363
1999-01-08,285.1158719587957
1999-01-11,288.2699932019816
1999-01-12,288.24569495417467
1999-01-13,281.87632466566834
1999-01-14,279.91673667569114
1999-01-15,281.18693060088174
1999-01-18,283.3865398418573
1999-01-19,281.1662595657727
1999-01-20,282.43503984713874
1999-01-21,279.60357445812235
1999-01-22,278.55247665710573
1999-01-25,280.66756944590935
1999-01-26,280.51172019060914
1999-01-27,282.059254724881
1999-01-28,282.38562071255353
1999-01-29,280.7233439907332
1999-02-01,280.8121965040276
1999-02-02,278.7884200346495
1999-02-03,276.8682980554152
1999-02-04,276.1003276456414
1999-02-05,275.7620703155335
1999-02-08,273.98550534860993
1999-02-09,273.85226083944883
1999-02-10,272.23465477613104
1999-02-11,272.9513726016941
1999-02-12,269.45107406165283
1999-02-15,265.3472781637653
1999-02-16,265.04297570166926
1999-02-17,266.5345975001258
1999-02-18,267.0912793326087
1999-02-19,267.00776098199646
1999-02-22,267.566857072805
1999-02-23,271.34682150047115
1999-02-24,269.1622356250008
1999-02-25,267.12317762550094
1999-02-26,265.6011667361248
1999-03-01,261.75998502746063
1999-03-02,263.5166869036602
1999-03-03,264.6246968970913
1999-03-04,260.8466422256208
1999-03-05,260.5563881400554
1999-03-08,256.5930839695047
1999-03-09,251.34982123088915
1999-03-10,249.05866466812088
1999-03-11,247.46874190454537
1999-03-12,250.0514934218765
1999-03-15,244.40967683566836
1999-03-16,245.08519771574976
1999-03-17,249.75158329775962
1999-03-18,250.74379311484256
1999-03-19,253.28839861414326
1999-03-22,252.00557005546398
1999-03-23,250.0769559373651
1999-03-24,250.57985367030994
1999-03-25,250.7476499823061
1999-03-26,248.50556070511226
1999-03-29,245.03913868363082
1999-03-30,245.90424147301724
1999-03-31,246.98621175704983
1999-04-01,246.9765109797087
1999-04-02,247.02294776942526
1999-04-05,247.05801724425564
1999-04-06,249.8441839126623
1999-04-07,255.75576157704418
1999-04-08,259.05499610745926
1999-04-09,261.1494740445932
1999-04-12,258.40959805401434
1999-04-13,260.07165085555835
1999-04-14,259.7345898098901
1999-04-15,256.85875498705127
1999-04-16,254.79790539921018
1999-04-19,254.7468388394353
1999-04-20,249.35073072189692
1999-04-21,250.03561998358853
1999-04-22,249.17740128033725
1999-04-23,248.35643124123962
1999-04-26,251.692129298171
1999-04-27,257.2901224774702
1999-04-28,261.6387471304466
1999-04-29,263.7754240017666
1999-04-30,263.9906679377158
1999-05-03,264.5896005661202
1999-05-04,263.1493857498508
1999-05-05,260.02145965473505
1999-05-06,260.4682152757788
1999-05-07,260.9358395852609
1999-05-10,259.89764833169824
1999-05-11,260.3905975350332
1999-05-12,259.2906892413641
1999-05-13,259.32009636244584
1999-05-14,261.87995821398704
1999-05-17,259.66814910369527
1999-05-18,261.0188759565146
1999-05-19,263.3670833832458
1999-05-20,264.6562251930617
1999-05-21,263.6305311972676
1999-05-24,263.5889541506309
1999-05-25,263.89077880087876
1999-05-26,265.1975402075315
1999-05-27,264.8886311981476
1999-05-28,265.56261638742535
1999-05-31,266.5885837648935
1999-06-01,265.5516615019395
1999-06-02,266.5404686843971
1999-06-03,269.8513654494174
1999-06-04,270.7108938915299
1999-06-07,272.5543934972047
1999-06-08,270.4297948532079
1999-06-09,270.76600475831094
1999-06-10,268.031688776344
1999-06-11,265.78995665182146
1999-06-14,263.49845466734183
1999-06-15,264.40797898374905
1999-06-16,266.8520615123467
1999-06-17,265.33333308821483
1999-06-18,264.46951996179365
1999-06-21,266.1277510538951
1999-06-22,266.5466253284331
1999-06-23,265.47213107605006
1999-06-24,264.2132754228378
1999-06-25,263.5111632169733
1999-06-28,261.0542204956957
1999-06-29,260.90611027029337
1999-06-30,263.07420995719104
1999-07-01,261.89569363768493
1999-07-02,263.12663316850086
1999-07-05,268.6069953915998
1999-07-06,268.82903238663374
1999-07-07,268.2899293462094
1999-07-08,269.87146105017877
1999-07-09,273.32629124347403
1999-07-12,274.86060555247
1999-07-13,277.47067660884176
1999-07-14,279.44549317732617
1999-07-15,282.01959258116835
1999-07-16,280.8521882141762
1999-07-19,277.0698696767653
1999-07-20,275.6810502604244
1999-07-21,272.0724619828476
1999-07-22,271.18642610020805
1999-07-23,270.47289427719875
1999-07-26,269.4740335254513
1999-07-27,271.156256664743
1999-07-28,272.66268894405385
1999-07-29,271.71670954794126
1999-07-30,271.44711205654136
