Date,FINLAND IMI VALUE
1998-12-31,266.0899909432405
1999-01-01,266.02606473237506
1999-01-04,274.17108257154325
1999-01-05,273.375848907576
1999-01-06,273.37584890757614
1999-01-07,273.8482633302532
1999-01-08,272.7167601337944
1999-01-11,275.73507183918287
1999-01-12,274.448570068626
1999-01-13,262.994861478366
1999-01-14,263.34504396771894
1999-01-15,260.20210259201576
1999-01-18,263.36064623998124
1999-01-19,266.0069081655773
1999-01-20,264.4856725706583
1999-01-21,260.3909413799827
1999-01-22,255.15925864451643
1999-01-25,252.11558893153807
1999-01-26,251.25532289894264
1999-01-27,260.09031650835357
1999-01-28,261.5564614794338
1999-01-29,259.53626816301943
1999-02-01,260.9463951637433
1999-02-02,259.45081688587715
1999-02-03,260.4934622870069
1999-02-04,263.64448538169233
1999-02-05,269.2015602865789
1999-02-08,272.3949645579388
1999-02-09,268.76451423237154
1999-02-10,263.56691134815975
1999-02-11,267.77124864323343
1999-02-12,268.6134377194904
1999-02-15,265.2727659686315
1999-02-16,265.3814491151339
1999-02-17,258.81062620969277
1999-02-18,260.0363942106581
1999-02-19,262.9937361214097
1999-02-22,260.7332366795619
1999-02-23,262.42429695526846
1999-02-24,262.91819402540193
1999-02-25,263.74936600000615
1999-02-26,263.75582907712055
1999-03-01,264.5478204231639
1999-03-02,266.5475143807874
1999-03-03,268.55093980374704
1999-03-04,272.10824011185963
1999-03-05,273.925769953166
1999-03-08,275.3159841927196
1999-03-09,274.28928277525597
1999-03-10,275.1383771115298
1999-03-11,277.0492370237367
1999-03-12,277.52815728122243
1999-03-15,278.2995772669255
1999-03-16,278.08749867067957
1999-03-17,277.3782164841691
1999-03-18,276.42526253138874
1999-03-19,281.29458503186873
1999-03-22,281.8146505078217
1999-03-23,282.519889417167
1999-03-24,279.6486720581561
1999-03-25,284.41721725534615
1999-03-26,284.67033473077004
1999-03-29,285.26597499951686
1999-03-30,285.20703327702216
1999-03-31,283.5849643332795
1999-04-01,283.81719686269906
1999-04-02,283.81719068936496
1999-04-05,283.81719902287847
1999-04-06,279.5681434372018
1999-04-07,280.76942674651514
1999-04-08,281.90127270971846
1999-04-09,284.51021208240354
1999-04-12,282.1152511547847
1999-04-13,284.5097846361644
1999-04-14,290.67477045801104
1999-04-15,300.258434447381
1999-04-16,306.309892815994
1999-04-19,307.22208944430866
1999-04-20,305.3025712467705
1999-04-21,305.7143339275398
1999-04-22,304.2599619186869
1999-04-23,306.63357623077684
1999-04-26,305.61484655660166
1999-04-27,305.3918674830189
1999-04-28,306.6010443043919
1999-04-29,312.0180707368305
1999-04-30,316.1766115504784
1999-05-03,316.18047115082817
1999-05-04,318.85726368914015
1999-05-05,319.875236569672
1999-05-06,318.7155532023066
1999-05-07,318.1503095003888
1999-05-10,319.4463490075095
1999-05-11,321.3465323109833
1999-05-12,317.7192414656318
1999-05-13,317.71924565698953
1999-05-14,314.51350439070865
1999-05-17,315.34231830661133
1999-05-18,313.97862578225266
1999-05-19,315.07806644785586
1999-05-20,314.8280005572858
1999-05-21,315.78287292939746
1999-05-24,311.93218666235947
1999-05-25,308.5796721662818
1999-05-26,307.4613346768399
1999-05-27,307.0567517289369
1999-05-28,305.7792521542368
1999-05-31,303.105640646474
