Date,PORTUGAL IMI VALUE
1998-12-31,644.8813299116066
1999-01-01,644.8864743565799
1999-01-04,659.109069201461
1999-01-05,654.7860838360564
1999-01-06,665.3570048167226
1999-01-07,667.878179092851
1999-01-08,671.1726160981161
1999-01-11,681.5809225717119
1999-01-12,675.5136857714598
1999-01-13,662.3184591598863
1999-01-14,668.2856045848054
1999-01-15,675.7417805240144
1999-01-18,688.7741428361473
1999-01-19,683.8159018003106
1999-01-20,685.0672862391726
1999-01-21,697.8871132308802
1999-01-22,684.5707641001536
1999-01-25,689.2458939232357
1999-01-26,694.4421656790188
1999-01-27,688.775267197512
1999-01-28,690.8471624868679
1999-01-29,690.8420983815826
1999-02-01,692.6975011195921
1999-02-02,690.1378429658432
1999-02-03,688.1440961697042
1999-02-04,686.2412240062221
1999-02-05,683.7612067282736
1999-02-08,667.900430751157
1999-02-09,662.0313021139484
1999-02-10,661.7763983381377
1999-02-11,667.6953203237862
1999-02-12,667.514427815469
1999-02-15,663.011475468223
1999-02-16,663.011474759994
1999-02-17,652.9814766656439
1999-02-18,644.9894903318446
1999-02-19,651.3100273757589
1999-02-22,652.0959186259154
1999-02-23,650.3602862847956
1999-02-24,648.3422474568213
1999-02-25,646.5914224735743
1999-02-26,654.7270328305863
1999-03-01,647.8936416258654
1999-03-02,640.2669374592141
1999-03-03,638.6685416837249
1999-03-04,633.1333433118673
1999-03-05,643.4592589811385
1999-03-08,635.88682272056
1999-03-09,626.3641623622051
1999-03-10,611.9764596162063
1999-03-11,627.7348958270567
1999-03-12,625.2156839544754
1999-03-15,631.3118840780622
1999-03-16,627.0171269149037
1999-03-17,615.2962032081641
1999-03-18,602.6036325672708
1999-03-19,605.3541432430849
1999-03-22,607.0854294660345
1999-03-23,613.7495978118344
1999-03-24,613.3495263170814
1999-03-25,628.9639329492484
1999-03-26,631.6408400211599
1999-03-29,627.019626358287
1999-03-30,628.2152051467684
1999-03-31,626.2794562737462
1999-04-01,631.7369146578565
1999-04-02,631.7369147508184
1999-04-05,631.7369154748824
1999-04-06,633.4619386370281
1999-04-07,636.3288963708725
1999-04-08,639.1610412219209
1999-04-09,644.6928277820393
1999-04-12,634.6274333653799
1999-04-13,628.7655142159674
1999-04-14,621.435417592208
1999-04-15,612.5781327889009
1999-04-16,607.5666537878524
1999-04-19,609.7002493554429
1999-04-20,597.7984701580551
1999-04-21,609.1259159592706
1999-04-22,605.9837712924078
1999-04-23,601.9612124828512
1999-04-26,602.2174457953798
1999-04-27,607.1683088237471
1999-04-28,608.6168775094053
1999-04-29,604.3565679945473
1999-04-30,607.6046762684309
1999-05-03,606.8704400268383
1999-05-04,597.8841343006791
1999-05-05,590.0522454333344
1999-05-06,591.8141445387595
1999-05-07,600.9833635024318
1999-05-10,619.5907176539895
1999-05-11,624.4807366628048
1999-05-12,618.9400782574348
1999-05-13,622.0777054163028
1999-05-14,614.7231344538775
1999-05-17,600.5203174412134
1999-05-18,607.066838282125
1999-05-19,611.8921788653057
1999-05-20,610.9462727944828
1999-05-21,609.7329205923522
1999-05-24,609.5454577684708
1999-05-25,612.9013745707167
1999-05-26,612.8510043133982
1999-05-27,614.9908515047775
1999-05-28,612.6218043675228
1999-05-31,619.7173635802939
1999-06-01,617.4071151074621
1999-06-02,611.5018359260771
1999-06-03,611.5018360810291
1999-06-04,611.0023098047886
1999-06-07,616.3908944511664
1999-06-08,619.2075329927891
1999-06-09,617.1761045876649
1999-06-10,617.1761045559432
1999-06-11,611.773284149884
1999-06-14,606.6151774743648
1999-06-15,605.3414782553344
1999-06-16,600.3640561064062
1999-06-17,602.010554220523
1999-06-18,601.0055894263264
1999-06-21,599.2997642259155
1999-06-22,595.9229165172333
1999-06-23,588.4340157168826
1999-06-24,582.9144663951581
1999-06-25,579.981478491533
1999-06-28,584.1571226576782
1999-06-29,591.2005246534975
1999-06-30,597.6232331835649
1999-07-01,592.1917311130363
1999-07-02,589.6425729809009
1999-07-05,593.3786012719572
1999-07-06,594.7651693395486
1999-07-07,592.6528704055347
1999-07-08,589.7252407672938
1999-07-09,588.0595207426477
1999-07-12,588.9574836198366
1999-07-13,582.8344238007152
