Date,SWEDEN IMI VALUE
1998-12-31,256.3370694110326
1999-01-01,256.3370694110326
1999-01-04,263.89391419367234
1999-01-05,268.0262435281731
1999-01-06,271.22194237965266
1999-01-07,273.7142230463707
1999-01-08,277.8269003137531
1999-01-11,277.6159770909586
1999-01-12,272.7222707522163
1999-01-13,264.9510879525819
1999-01-14,266.8648502687723
1999-01-15,270.4009100951841
1999-01-18,276.1838029679303
1999-01-19,281.83061357836743
1999-01-20,284.7377217406588
1999-01-21,278.87309542860237
1999-01-22,275.1791786566299
1999-01-25,273.87391465044686
1999-01-26,273.22446847066624
1999-01-27,277.4164140586626
1999-01-28,280.1495939773169
1999-01-29,280.39261889218614
1999-02-01,284.09478337655224
1999-02-02,284.01231777599827
1999-02-03,283.3364785979125
1999-02-04,286.163556083783
1999-02-05,290.2866764319287
1999-02-08,286.1047113708734
1999-02-09,280.7228572521908
1999-02-10,278.76123566959166
1999-02-11,278.6497494260328
1999-02-12,279.43603013191756
1999-02-15,281.26892168127165
1999-02-16,283.3097873360395
1999-02-17,278.0392956160952
1999-02-18,278.3812583636864
1999-02-19,281.49841723048144
1999-02-22,282.59191758551754
1999-02-23,283.0343158035558
1999-02-24,282.18922288967116
1999-02-25,278.237524620379
1999-02-26,276.7271261124981
1999-03-01,273.3001338263859
1999-03-02,275.6732826577226
1999-03-03,277.42101582253076
1999-03-04,280.7405386334298
1999-03-05,287.37260016450915
1999-03-08,286.0924890565321
1999-03-09,285.61170003679104
1999-03-10,286.9803661635112
1999-03-11,287.4417208825675
1999-03-12,285.11412021823145
1999-03-15,283.6984139975256
1999-03-16,283.0782267200601
1999-03-17,281.4357627881321
1999-03-18,278.1803313951064
1999-03-19,281.98060234456153
1999-03-22,281.4134976827368
1999-03-23,280.6865278918158
1999-03-24,277.58754801557046
1999-03-25,283.2959870135238
1999-03-26,284.4615289729897
1999-03-29,286.7596244676344
1999-03-30,286.18701413832645
1999-03-31,290.6104601199432
1999-04-01,290.5045866110588
1999-04-02,290.567608778425
1999-04-05,290.8154976089913
1999-04-06,298.672733608694
1999-04-07,297.71962713267664
1999-04-08,298.3115783757972
1999-04-09,300.9584563519393
1999-04-12,296.0145110895906
1999-04-13,298.1696601635311
1999-04-14,300.0833576727158
1999-04-15,301.53878323303576
1999-04-16,306.97620786465467
1999-04-19,311.24290271274936
1999-04-20,306.53256852007246
1999-04-21,306.96303387544657
1999-04-22,309.644634766957
1999-04-23,309.99549110294265
1999-04-26,312.59325087907945
1999-04-27,313.0178121893627
1999-04-28,310.81711287384104
1999-04-29,312.9532534110154
1999-04-30,315.66563448466434
1999-05-03,318.7785135699299
1999-05-04,319.2611286133036
1999-05-05,314.93808800800446
1999-05-06,309.6885547902871
1999-05-07,312.18293498254013
1999-05-10,312.84724236136213
1999-05-11,315.6121889486816
1999-05-12,313.2826226306872
1999-05-13,313.1463938523154
1999-05-14,309.76927132103276
1999-05-17,306.9230675364557
1999-05-18,309.9088621145987
1999-05-19,313.53284125789423
1999-05-20,317.54255790827165
1999-05-21,316.76242792668415
1999-05-24,316.58098159028407
1999-05-25,312.1829460208902
1999-05-26,310.8102290847092
1999-05-27,307.99794400635267
1999-05-28,306.6484619553645
1999-05-31,307.03333776323126
1999-06-01,307.5805714363284
1999-06-02,309.9060647726242
1999-06-03,312.90087710056963
1999-06-04,316.4652158493673
1999-06-07,317.561660761388
1999-06-08,316.8935637017931
1999-06-09,316.47095714397574
1999-06-10,315.1289190250672
1999-06-11,319.15292437141454
1999-06-14,318.20895521043275
1999-06-15,316.57719045180363
1999-06-16,318.7335620022526
1999-06-17,319.6191626450791
1999-06-18,323.49320029062795
1999-06-21,325.7119172692038
1999-06-22,323.17342649014415
1999-06-23,323.1571677581107
1999-06-24,320.8625699647053
1999-06-25,319.5993937575027
1999-06-28,321.92637587194065
1999-06-29,323.9101612241105
1999-06-30,320.7890258365017
1999-07-01,323.47630294285625
1999-07-02,325.89699853832025
1999-07-05,327.54865837438314
1999-07-06,326.53252020684374
1999-07-07,324.1526737255266
1999-07-08,324.8521683009592
1999-07-09,329.5464847458588
1999-07-12,329.61962137492964
1999-07-13,325.77274056636134
1999-07-14,328.6329369001896
1999-07-15,330.9642222344992
1999-07-16,331.7542308221925
1999-07-19,334.90537737986847
1999-07-20,332.3869136693271
1999-07-21,327.9216911372902
1999-07-22,326.2074256786586
1999-07-23,323.96681517800647
1999-07-26,319.0964671015936
1999-07-27,320.88837010949675
1999-07-28,325.0454442622996
1999-07-29,321.02435997633495
1999-07-30,325.1971181244608
1999-08-02,324.6977182386509
1999-08-03,325.75318821343285
1999-08-04,325.62849610666206
1999-08-05,321.76391878528784
1999-08-06,325.45357074200723
1999-08-09,327.3446061649262
1999-08-10,326.5033594005136
1999-08-11,331.13187877030714
