Date,SPAIN IMI VALUE
1998-12-31,402.9940964500812
1999-01-01,402.97531019460035
1999-01-04,428.435786370607
1999-01-05,433.9398397724513
1999-01-06,433.9398396723479
1999-01-07,428.55416275439785
1999-01-08,427.2898943580617
1999-01-11,423.72842589568796
1999-01-12,420.93985695187075
1999-01-13,401.1390667144885
1999-01-14,397.4372676617742
1999-01-15,404.658065044445
1999-01-18,416.70051854055464
1999-01-19,414.4298290653844
1999-01-20,414.48323599408724
1999-01-21,413.0006765423974
1999-01-22,404.0175152884041
1999-01-25,406.7385203497169
1999-01-26,404.40080803427554
1999-01-27,404.79820882402066
1999-01-28,410.2645090025292
1999-01-29,410.8531045202852
1999-02-01,416.5873777030744
1999-02-02,412.7466333981456
1999-02-03,410.2549341434617
1999-02-04,407.1900057013422
1999-02-05,405.51662552975733
1999-02-08,399.06717231965746
1999-02-09,395.215269432743
1999-02-10,402.00989070186773
1999-02-11,402.947564904267
1999-02-12,403.6736073182058
1999-02-15,406.6909719848554
1999-02-16,404.09655447859996
1999-02-17,403.9165607225792
1999-02-18,400.2754652461008
1999-02-19,403.69838467732933
1999-02-22,403.5815653946664
1999-02-23,412.7590247223565
1999-02-24,413.41069861178653
1999-02-25,404.9642693493343
1999-02-26,406.4148384679392
1999-03-01,400.8269331427579
1999-03-02,400.07281766129313
1999-03-03,396.19666372286673
1999-03-04,399.1577468201422
1999-03-05,402.73918091484023
1999-03-08,397.6008690827875
1999-03-09,398.8470792911667
1999-03-10,398.89030381909976
1999-03-11,408.11195930168464
1999-03-12,406.39211000349405
1999-03-15,406.9664509271267
1999-03-16,409.63251738122534
1999-03-17,407.2104849978072
1999-03-18,403.11532904321155
1999-03-19,403.36955051935115
1999-03-22,399.8183267591888
1999-03-23,393.4750659519775
1999-03-24,392.4289614988958
1999-03-25,396.33034627813606
1999-03-26,390.30921723985506
1999-03-29,390.2314624287681
1999-03-30,388.4160932612761
1999-03-31,392.6869471778677
1999-04-01,392.6869470390718
1999-04-02,392.6869465666815
1999-04-05,392.89630063547924
1999-04-06,396.3691392375585
1999-04-07,394.4247911329182
1999-04-08,396.12478222256954
1999-04-09,393.85032155015784
1999-04-12,391.6276917890799
1999-04-13,391.9036087365831
1999-04-14,386.8529057478217
1999-04-15,382.3031251760045
1999-04-16,372.5457308934395
1999-04-19,373.08794515288486
1999-04-20,369.6467188317598
1999-04-21,374.2504968449258
1999-04-22,378.9645289696428
1999-04-23,381.1840485881492
1999-04-26,382.6227169517963
1999-04-27,385.7579778438091
1999-04-28,384.4218632682735
1999-04-29,384.1293750003025
1999-04-30,383.4736617736473
1999-05-03,388.6067394547002
