Date,NETHERLANDS IMI VALUE
1998-12-31,520.882059201535
1999-01-01,520.8833615849587
1999-01-04,535.6197493614604
1999-01-05,540.747012833179
1999-01-06,549.3246696603314
1999-01-07,535.3721833825614
1999-01-08,533.8181631042235
1999-01-11,519.1620281869824
1999-01-12,514.7578535693688
1999-01-13,489.51065391999555
1999-01-14,496.1920081974585
1999-01-15,504.43760628413844
1999-01-18,517.4167559167294
1999-01-19,517.4756490443265
1999-01-20,521.1517893224502
1999-01-21,516.7662932149049
1999-01-22,494.6896279128082
1999-01-25,496.79127178984265
1999-01-26,495.2662887990652
1999-01-27,497.14389292360653
1999-01-28,502.83111924326965
1999-01-29,496.47326348015224
1999-02-01,505.5748284060008
1999-02-02,501.9666282164971
1999-02-03,496.96424439945355
1999-02-04,504.90588911790275
1999-02-05,514.1956548622937
1999-02-08,512.4399936455749
1999-02-09,504.7169065584049
1999-02-10,499.79857563847753
1999-02-11,502.7979370469159
1999-02-12,507.6866858655264
1999-02-15,508.19905404384355
1999-02-16,505.7763112208857
1999-02-17,496.5428262171564
1999-02-18,490.63502667599323
1999-02-19,500.29198172836226
1999-02-22,511.5727447232883
1999-02-23,519.2007017444546
1999-02-24,521.2251246186885
1999-02-25,515.4997655060117
1999-02-26,519.0103984546887
1999-03-01,509.4138793208719
1999-03-02,506.9856395694455
1999-03-03,501.75833001793336
1999-03-04,507.8861579999828
1999-03-05,523.6728911833558
1999-03-08,517.7244493293894
1999-03-09,515.9626623531042
1999-03-10,516.9265165491547
1999-03-11,530.9390202338492
1999-03-12,537.7443422904526
1999-03-15,538.0171352832856
1999-03-16,542.2878029940942
1999-03-17,542.8944059370269
1999-03-18,547.1620416374851
1999-03-19,559.8512570228206
1999-03-22,560.9932320058638
1999-03-23,551.6756780937135
1999-03-24,542.6760556662421
1999-03-25,549.4110106882755
1999-03-26,547.0053203036202
1999-03-29,560.957656319578
1999-03-30,558.911408021798
1999-03-31,560.8618165988179
1999-04-01,557.6205312047118
1999-04-02,557.6180130723036
1999-04-05,557.6223298707177
1999-04-06,560.8149100844824
1999-04-07,564.5839198524171
1999-04-08,557.9714610930058
1999-04-09,560.16845854213
1999-04-12,561.0569167806459
1999-04-13,565.1565748949664
1999-04-14,568.9509519692069
1999-04-15,573.8564792538199
1999-04-16,592.6837320961598
1999-04-19,607.7987116045274
1999-04-20,597.4508513001801
1999-04-21,601.6377949176771
1999-04-22,604.7184726002756
1999-04-23,607.954216750737
1999-04-26,611.7394482980053
1999-04-27,621.1553522738343
1999-04-28,620.9140290686767
1999-04-29,624.962725651175
1999-04-30,624.9648870881657
1999-05-03,627.2202177107089
1999-05-04,632.2402428195556
1999-05-05,620.0274423966869
1999-05-06,620.0620464558477
1999-05-07,621.6255381655981
1999-05-10,618.8986040855417
1999-05-11,618.3872406577224
1999-05-12,612.4023385688124
1999-05-13,612.4023385688124
1999-05-14,610.533427245149
1999-05-17,599.8923866673447
1999-05-18,597.8800849058904
1999-05-19,603.3357092107361
1999-05-20,609.9832152264555
1999-05-21,614.6512347671766
1999-05-24,614.6512347671766
1999-05-25,611.6375993939076
1999-05-26,611.8416842433841
1999-05-27,608.5444929282809
1999-05-28,605.6658409702352
1999-05-31,605.8586374361953
1999-06-01,603.6015811762411
