Date,IRELAND IMI VALUE
1998-12-31,382.3036870491082
1999-01-01,382.3011072288198
1999-01-04,388.33990697502765
1999-01-05,402.065399869794
1999-01-06,421.36592395696925
1999-01-07,412.2742825633483
1999-01-08,412.31722233944026
1999-01-11,413.6472596842688
1999-01-12,413.4713757777502
1999-01-13,397.14038963883314
1999-01-14,399.9002228780135
1999-01-15,395.2545858426457
1999-01-18,398.5845683462685
1999-01-19,401.0507336916589
1999-01-20,411.1671717108388
1999-01-21,416.573421684466
1999-01-22,407.88567233487856
1999-01-25,404.6985098390372
1999-01-26,402.06404588954337
1999-01-27,400.8542652481256
1999-01-28,399.56933195503933
1999-01-29,392.0511532229574
1999-02-01,390.09085162378204
1999-02-02,391.35381774455976
1999-02-03,403.5266268011951
1999-02-04,394.33620106310553
1999-02-05,390.774491945518
1999-02-08,391.2357307998229
1999-02-09,384.9434695427998
1999-02-10,380.4271279701335
1999-02-11,380.01884233816486
1999-02-12,396.6976665515145
1999-02-15,396.1740108273011
1999-02-16,402.2803696028281
1999-02-17,400.36130593503236
1999-02-18,401.0969162954037
1999-02-19,403.99770936745296
1999-02-22,405.5911075240697
1999-02-23,409.99841216162343
1999-02-24,412.11719527775665
1999-02-25,413.34814669534495
1999-02-26,413.5959673957156
1999-03-01,412.51592696232655
1999-03-02,410.36775525003713
1999-03-03,411.2666140133727
1999-03-04,410.82098567313056
1999-03-05,416.74889372054224
1999-03-08,415.1725344545637
1999-03-09,412.6244318660929
1999-03-10,411.8295890645034
1999-03-11,414.7734611868192
1999-03-12,413.28607687120325
1999-03-15,409.1393382911938
1999-03-16,406.2459855132774
1999-03-17,406.24598551327745
1999-03-18,409.52579385573574
1999-03-19,419.9417259626279
1999-03-22,428.6233924362409
1999-03-23,426.82391609328516
1999-03-24,419.8747120179272
1999-03-25,419.0882441343077
1999-03-26,415.6675383728974
1999-03-29,416.4885835530389
1999-03-30,417.42224082917915
1999-03-31,419.3402121933527
1999-04-01,419.00418114787493
1999-04-02,419.0041811478749
1999-04-05,419.00418114787493
1999-04-06,421.25613796131825
1999-04-07,418.3942742462308
1999-04-08,420.8735363339503
1999-04-09,419.2356935618623
1999-04-12,420.56140272605205
1999-04-13,430.1459570937605
1999-04-14,433.1328832143119
1999-04-15,432.9057411037795
1999-04-16,440.71319257109906
1999-04-19,446.1298050322733
1999-04-20,440.06398755031597
1999-04-21,438.1388769547635
1999-04-22,442.1037307861215
1999-04-23,443.09963507376267
1999-04-26,440.53733879206516
1999-04-27,443.1793557507571
1999-04-28,439.3936915279409
1999-04-29,437.13203526545817
1999-04-30,442.46025679322463
1999-05-03,442.46025679322463
1999-05-04,438.19649152003586
1999-05-05,436.6919807066482
1999-05-06,437.1305282820796
1999-05-07,433.80410407254743
1999-05-10,430.98674391622694
1999-05-11,434.1388989114953
1999-05-12,437.208475554356
1999-05-13,430.92046298440954
1999-05-14,426.0507715944841
1999-05-17,415.9340317087598
1999-05-18,413.7057451688857
