Date,GERMANY IMI VALUE
1998-12-31,611.5042304925853
1999-01-01,611.4930315438445
1999-01-04,640.9118607650349
1999-01-05,646.0507565270017
1999-01-06,663.7865881639709
1999-01-07,650.9337310371667
1999-01-08,652.0506074192361
1999-01-11,639.1940817672697
1999-01-12,632.5236911784349
1999-01-13,607.9881317355312
1999-01-14,609.204303491234
1999-01-15,612.384528551462
1999-01-18,623.9578756565398
1999-01-19,633.1355658899157
1999-01-20,637.8373245658319
1999-01-21,640.2949478965788
1999-01-22,623.1902320094986
1999-01-25,615.7130901852973
1999-01-26,615.0510779366654
1999-01-27,621.5837647092573
1999-01-28,632.3393786251448
1999-01-29,642.9429686708755
1999-02-01,644.4849082814021
1999-02-02,635.4687590401852
1999-02-03,628.6833929948275
1999-02-04,633.4096449277635
1999-02-05,634.0033225304438
1999-02-08,634.1375223032298
1999-02-09,615.1194096997302
1999-02-10,607.4390307077088
1999-02-11,617.0899155688267
1999-02-12,625.4689720592191
1999-02-15,621.8448760428607
1999-02-16,624.3022851454646
1999-02-17,615.0617076644742
1999-02-18,624.920319069086
1999-02-19,622.4625441305649
1999-02-22,627.9633353374651
1999-02-23,641.0581702717376
1999-02-24,641.2926735820456
1999-02-25,634.9438660685639
1999-02-26,635.5407651633979
1999-03-01,626.4285948132673
1999-03-02,635.0825440604017
1999-03-03,619.3122172055898
1999-03-04,617.2990505584175
1999-03-05,627.4448914446001
1999-03-08,625.1489447149339
1999-03-09,623.3090669306506
1999-03-10,621.0777525079129
1999-03-11,626.5088778965165
1999-03-12,645.9856973188257
1999-03-15,649.1458110591808
1999-03-16,654.3413262232124
1999-03-17,649.9001584650726
1999-03-18,644.4560201994366
1999-03-19,652.1867609979662
1999-03-22,646.4035248971225
1999-03-23,635.0261755246644
1999-03-24,626.8259265894144
1999-03-25,635.7076592696695
1999-03-26,626.9152425119436
1999-03-29,633.4416148581639
1999-03-30,629.3613496023399
1999-03-31,631.9648423249486
1999-04-01,635.9044651910433
1999-04-02,635.9043497885715
1999-04-05,635.9042251046003
1999-04-06,647.0707185929433
1999-04-07,651.2218987026855
1999-04-08,655.004789811451
1999-04-09,662.6944359145224
1999-04-12,663.7005945796539
1999-04-13,669.8112945922404
1999-04-14,668.7698014575241
1999-04-15,663.5458863223183
1999-04-16,659.9021196573465
1999-04-19,666.8873074512691
1999-04-20,652.4681789332698
1999-04-21,655.2386900056013
1999-04-22,656.6273541249067
1999-04-23,654.9110301476696
1999-04-26,657.6281599579378
1999-04-27,674.7827737880447
1999-04-28,671.8045637586994
1999-04-29,672.9763336837466
1999-04-30,672.1419918194151
1999-05-03,674.6580032737365
1999-05-04,674.6292517065913
1999-05-05,664.2147116660634
1999-05-06,668.1134050858965
1999-05-07,668.1639532002787
1999-05-10,670.3381114020439
1999-05-11,674.4242106664237
1999-05-12,668.2495779823173
1999-05-13,668.2494943799351
1999-05-14,663.3294863420186
1999-05-17,651.9746845856754
1999-05-18,654.7999507883626
1999-05-19,662.1594468470512
