Date,ETH
2018-02-12,1060.491977
2018-02-13,1037.180634
2018-02-14,1138.201596
2018-02-15,1159.250456
2018-02-16,1170.569024
2018-02-17,1218.206432
2018-02-18,1140.293968
2018-02-19,1164.9267
2018-02-20,1091.5964
2018-02-21,1033.062984
2018-02-22,987.444612
2018-02-23,1049.461371
2018-02-24,1026.031776
2018-02-25,1034.985448
2018-02-26,1071.19936
2018-02-27,1071.995247
2018-02-28,1039.484684
2018-03-01,1058.718777
2018-03-02,1052.589816
2018-03-03,1051.432488
2018-03-04,1062.808776
2018-03-05,1043.830512
2018-03-06,1010.305044
2018-03-07,932.342862
2018-03-08,866.016962
2018-03-09,892.916568
2018-03-10,838.160163
2018-03-11,883.808937
2018-03-12,856.932716
2018-03-13,854.874192
2018-03-14,757.341501
2018-03-15,753.072502
2018-03-16,737.211231
2018-03-17,675.755435
2018-03-18,661.633887
2018-03-19,683.383371
2018-03-20,684.01872
2018-03-21,688.114288
2018-03-22,664.091036
2018-03-23,670.474222
2018-03-24,641.917924
2018-03-25,645.238998
2018-03-26,602.665749
2018-03-27,555.595768
2018-03-28,552.901208
2018-03-29,472.325535
2018-03-30,485.040807
2018-03-31,484.942239
2018-04-01,466.177356
2018-04-02,473.816376
2018-04-03,511.385092
2018-04-04,464.229216
2018-04-05,467.55962
2018-04-06,452.59683
2018-04-07,470.76432
2018-04-08,489.249894
2018-04-09,490.74504
2018-04-10,513.142193
2018-04-11,532.524384
2018-04-12,608.448125
2018-04-13,610.812347
2018-04-14,619.434247
2018-04-15,657.444509
2018-04-16,632.04515
2018-04-17,621.43353
2018-04-18,650.915072
2018-04-19,701.514592
2018-04-20,759.256047
2018-04-21,744.6945
2018-04-22,764.118102
2018-04-23,787.527538
2018-04-24,859.221189
2018-04-25,752.18005
2018-04-26,804.438648
2018-04-27,776.20963
2018-04-28,824.47756
2018-04-29,831.65921
2018-04-30,809.341316
2018-05-01,809.752002
2018-05-02,824.844879
2018-05-03,931.130832
2018-05-04,935.604761
2018-05-05,976.526772
2018-05-06,942.451029
2018-05-07,894.340084
2018-05-08,887.15193
2018-05-09,890.390445
2018-05-10,858.874424
2018-05-11,809.280342
2018-05-12,816.691356
2018-05-13,870.716574
2018-05-14,872.043084
2018-05-15,839.022981
2018-05-16,834.000816
2018-05-17,789.11703
2018-05-18,816.694263
2018-05-19,820.417059
2018-05-20,843.554943
2018-05-21,820.284322
2018-05-22,755.865666
2018-05-23,676.4297
2018-05-24,706.916928
2018-05-25,683.326075
2018-05-26,683.489525
2018-05-27,666.093775
2018-05-28,596.242664
2018-05-29,655.45418
2018-05-30,647.6116
2018-05-31,675.079096
2018-06-01,674.958298
2018-06-02,689.299499
2018-06-03,722.451128
2018-06-04,693.821018
2018-06-05,709.5598
2018-06-06,713.10018
2018-06-07,715.379676
2018-06-08,704.334942
2018-06-09,697.153248
2018-06-10,617.531652
2018-06-11,626.73282
2018-06-12,582.527596
2018-06-13,560.2605
2018-06-14,609.96
2018-06-15,565.374576
2018-06-16,576.309604
2018-06-17,576.43716
2018-06-18,600.705651
2018-06-19,620.852152
2018-06-20,620.140836
2018-06-21,606.402666
2018-06-22,538.83648
2018-06-23,552.720896
2018-06-24,529.995648
2018-06-25,536.1876
2018-06-26,501.25404
2018-06-27,512.834784
2018-06-28,486.624996
2018-06-29,506.808234
2018-06-30,529.04004
2018-07-01,527.23305
2018-07-02,554.156068
2018-07-03,538.794685
2018-07-04,543.355424
2018-07-05,547.348914
2018-07-06,551.332824
2018-07-07,568.801584
2018-07-08,569.915364
2018-07-09,555.804194
2018-07-10,506.751232
2018-07-11,522.2075
2018-07-12,502.494774
2018-07-13,503.198817
2018-07-14,504.060399
2018-07-15,523.224777
2018-07-16,560.802
2018-07-17,583.699313
2018-07-18,556.492008
2018-07-19,542.712392
2018-07-20,523.2828
2018-07-21,538.11537
2018-07-22,533.24898
2018-07-23,526.669348
2018-07-24,560.553516
2018-07-25,550.72759
2018-07-26,540.962868
2018-07-27,545.6775
2018-07-28,544.58475
2018-07-29,541.736625
2018-07-30,533.000712
2018-07-31,506.807424
2018-08-01,490.88112
2018-08-02,477.179892
2018-08-03,483.845352
2018-08-04,470.901556
2018-08-05,473.358212
2018-08-06,467.202925
2018-08-07,438.578804
2018-08-08,411.884649
2018-08-09,421.706968
2018-08-10,379.892416
2018-08-11,363.888384
2018-08-12,364.220608
2018-08-13,323.61714
2018-08-14,317.702724
2018-08-15,318.437088
2018-08-16,326.00064
2018-08-17,361.743987
2018-08-18,335.556078
2018-08-19,341.262969
2018-08-20,309.10514
2018-08-21,323.367228
2018-08-22,313.899168
2018-08-23,319.429873
2018-08-24,325.576448
2018-08-25,321.74082
2018-08-26,317.8009
2018-08-27,335.018767
2018-08-28,346.28812
2018-08-29,336.67084
2018-08-30,332.134644
2018-08-31,327.777583
2018-09-01,344.088983
2018-09-02,343.634594
2018-09-03,335.105394
2018-09-04,329.86386
2018-09-05,264.000108
2018-09-06,266.53494
2018-09-07,249.269515
2018-09-08,228.72258
2018-09-09,227.479775
2018-09-10,227.740422
2018-09-11,214.153722
2018-09-12,211.7738
2018-09-13,245.2982
2018-09-14,243.727339
2018-09-15,259.250331
2018-09-16,257.286579
2018-09-17,228.506509
2018-09-18,243.660207
2018-09-19,244.551987
2018-09-20,263.825673
2018-09-21,290.847106
2018-09-22,282.345349
2018-09-23,287.213575
2018-09-24,268.247805
2018-09-25,258.257833
2018-09-26,251.383066
2018-09-27,267.727383
2018-09-28,255.621232
2018-09-29,266.757344
2018-09-30,268.586352
2018-10-01,266.984424
2018-10-02,259.382753
2018-10-03,253.270736
2018-10-04,254.205702
2018-10-05,260.679936
2018-10-06,256.963498
2018-10-07,258.65488
2018-10-08,261.29667
2018-10-09,258.77405
2018-10-10,256.7605
2018-10-11,217.968825
2018-10-12,224.350416
2018-10-13,227.753172
2018-10-14,222.33654
2018-10-15,237.051489
2018-10-16,238.136024
2018-10-17,234.42796
2018-10-18,229.13358
2018-10-19,229.48029
2018-10-20,232.30191
2018-10-21,231.91193
2018-10-22,231.25928
2018-10-23,230.696322
2018-10-24,228.417784
2018-10-25,228.023184
2018-10-26,227.71684
2018-10-27,228.51099
2018-10-28,229.702215
2018-10-29,221.178354
2018-10-30,222.220252
2018-10-31,222.828784
2018-11-01,224.21424
2018-11-02,228.020324
