Date,EURIBOR3M
1994-01-31,0.0691
1994-02-01,0.069082143
1994-02-02,0.069064286
1994-02-03,0.069046429
1994-02-04,0.069028571
1994-02-05,0.069010714
1994-02-06,0.068992857
1994-02-07,0.068975
1994-02-08,0.068957143
1994-02-09,0.068939286
1994-02-10,0.068921429
1994-02-11,0.068903571
1994-02-12,0.068885714
1994-02-13,0.068867857
1994-02-14,0.06885
1994-02-15,0.068832143
1994-02-16,0.068814286
1994-02-17,0.068796429
1994-02-18,0.068778571
1994-02-19,0.068760714
1994-02-20,0.068742857
1994-02-21,0.068725
1994-02-22,0.068707143
1994-02-23,0.068689286
1994-02-24,0.068671429
1994-02-25,0.068653571
1994-02-26,0.068635714
1994-02-27,0.068617857
1994-02-28,0.0686
1994-03-01,0.068564516
1994-03-02,0.068529032
1994-03-03,0.068493548
1994-03-04,0.068458065
1994-03-05,0.068422581
1994-03-06,0.068387097
1994-03-07,0.068351613
1994-03-08,0.068316129
1994-03-09,0.068280645
1994-03-10,0.068245161
1994-03-11,0.068209677
1994-03-12,0.068174194
1994-03-13,0.06813871
1994-03-14,0.068103226
1994-03-15,0.068067742
1994-03-16,0.068032258
1994-03-17,0.067996774
1994-03-18,0.06796129
1994-03-19,0.067925806
1994-03-20,0.067890323
1994-03-21,0.067854839
1994-03-22,0.067819355
1994-03-23,0.067783871
1994-03-24,0.067748387
1994-03-25,0.067712903
1994-03-26,0.067677419
1994-03-27,0.067641935
1994-03-28,0.067606452
1994-03-29,0.067570968
1994-03-30,0.067535484
1994-03-31,0.0675
1994-04-01,0.06744
1994-04-02,0.06738
1994-04-03,0.06732
1994-04-04,0.06726
1994-04-05,0.0672
1994-04-06,0.06714
1994-04-07,0.06708
1994-04-08,0.06702
1994-04-09,0.06696
1994-04-10,0.0669
1994-04-11,0.06684
1994-04-12,0.06678
1994-04-13,0.06672
1994-04-14,0.06666
1994-04-15,0.0666
1994-04-16,0.06654
1994-04-17,0.06648
1994-04-18,0.06642
1994-04-19,0.06636
1994-04-20,0.0663
1994-04-21,0.06624
1994-04-22,0.06618
1994-04-23,0.06612
1994-04-24,0.06606
1994-04-25,0.066
1994-04-26,0.06594
1994-04-27,0.06588
1994-04-28,0.06582
1994-04-29,0.06576
1994-04-30,0.0657
1994-05-01,0.065593548
1994-05-02,0.065487097
1994-05-03,0.065380645
1994-05-04,0.065274194
1994-05-05,0.065167742
1994-05-06,0.06506129
1994-05-07,0.064954839
1994-05-08,0.064848387
1994-05-09,0.064741935
1994-05-10,0.064635484
1994-05-11,0.064529032
1994-05-12,0.064422581
1994-05-13,0.064316129
1994-05-14,0.064209677
1994-05-15,0.064103226
1994-05-16,0.063996774
1994-05-17,0.063890323
1994-05-18,0.063783871
1994-05-19,0.063677419
1994-05-20,0.063570968
1994-05-21,0.063464516
1994-05-22,0.063358065
1994-05-23,0.063251613
1994-05-24,0.063145161
1994-05-25,0.06303871
1994-05-26,0.062932258
1994-05-27,0.062825806
1994-05-28,0.062719355
1994-05-29,0.062612903
1994-05-30,0.062506452
1994-05-31,0.0624
1994-06-01,0.06242
1994-06-02,0.06244
1994-06-03,0.06246
1994-06-04,0.06248
1994-06-05,0.0625
1994-06-06,0.06252
1994-06-07,0.06254
1994-06-08,0.06256
1994-06-09,0.06258
1994-06-10,0.0626
1994-06-11,0.06262
1994-06-12,0.06264
1994-06-13,0.06266
1994-06-14,0.06268
1994-06-15,0.0627
1994-06-16,0.06272
1994-06-17,0.06274
1994-06-18,0.06276
1994-06-19,0.06278
1994-06-20,0.0628
1994-06-21,0.06282
1994-06-22,0.06284
1994-06-23,0.06286
1994-06-24,0.06288
1994-06-25,0.0629
1994-06-26,0.06292
1994-06-27,0.06294
1994-06-28,0.06296
1994-06-29,0.06298
1994-06-30,0.063
1994-07-01,0.063012903
1994-07-02,0.063025806
1994-07-03,0.06303871
1994-07-04,0.063051613
1994-07-05,0.063064516
1994-07-06,0.063077419
1994-07-07,0.063090323
1994-07-08,0.063103226
1994-07-09,0.063116129
1994-07-10,0.063129032
