Date,FM LATIN AMERICA & CARIBBEAN INDEX IMI
2010-11-30,1000.0
2010-12-01,1021.6815237864354
2010-12-02,1023.3561935857133
2010-12-03,1002.0395227164087
2010-12-06,1022.2899329782188
2010-12-07,1010.1020674051538
2010-12-08,1017.8933886146667
2010-12-09,1026.058663140011
2010-12-10,1039.281181756848
2010-12-13,1025.377766055499
2010-12-14,1019.5984906335177
2010-12-15,1000.5510436704648
2010-12-16,1010.3546480739531
2010-12-17,1013.4082171489243
2010-12-20,1022.3346649312807
2010-12-21,1025.5782083668457
2010-12-22,1032.7777198556414
2010-12-23,1029.5264145465374
2010-12-24,1024.15868728264
2010-12-27,1016.1397531301178
2010-12-28,1014.0805385998731
2010-12-29,1020.5616611530747
2010-12-30,1016.3525634743202
2010-12-31,1014.2542440275632
2011-01-03,1038.6758652509482
2011-01-04,1038.6528547134667
2011-01-05,1040.9384129826321
2011-01-06,1052.870422216902
2011-01-07,1055.7868008427522
2011-01-10,1054.0859475768586
2011-01-11,1055.9281431375289
2011-01-12,1052.9665095779405
2011-01-13,1020.6569604811348
2011-01-14,1011.8732516076693
2011-01-17,1017.4472837095225
2011-01-18,1029.4575458296874
2011-01-19,1042.0106584457626
2011-01-20,1042.9510107954145
2011-01-21,1025.5496028346597
2011-01-24,1014.7419758359816
2011-01-25,1008.1883267824153
2011-01-26,1018.7377291343145
2011-01-27,1008.4178638931185
2011-01-28,990.1277286403383
2011-01-31,992.9071522277065
2011-02-01,990.4011899247117
2011-02-02,986.2598342227207
2011-02-03,997.7835863638185
2011-02-04,988.2736421404627
2011-02-07,981.0234855897525
2011-02-08,978.9895405217922
2011-02-09,963.8941168999646
2011-02-10,948.9166127702161
2011-02-11,959.6989969277258
2011-02-14,978.4563853418451
2011-02-15,963.7897669147511
2011-02-16,967.5429548459949
2011-02-17,959.1473659087964
2011-02-18,958.5040392856487
2011-02-21,957.1861248276128
2011-02-22,941.9227464214679
2011-02-23,907.8012886430998
2011-02-24,901.0123979001597
2011-02-25,921.4152396282318
2011-02-28,920.5009844936279
2011-03-01,909.3116775441046
2011-03-02,895.2301102603204
2011-03-03,911.3346207890771
2011-03-04,908.6577482818277
2011-03-07,903.1659333890495
2011-03-08,916.4298161958679
2011-03-09,910.9966647062281
2011-03-10,902.024420525345
2011-03-11,897.4927211097156
2011-03-14,880.8774457062327
2011-03-15,869.4963127338413
2011-03-16,857.5500762950749
2011-03-17,864.7000626099824
2011-03-18,863.0959527572041
2011-03-21,870.5545243272545
2011-03-22,865.0023382856651
2011-03-23,867.6116969247876
2011-03-24,871.7942577745981
2011-03-25,870.8546299279427
2011-03-28,877.1447081010235
2011-03-29,878.3789346845496
2011-03-30,887.3614801352376
2011-03-31,874.7726301256569
2011-04-01,897.8679654609542
2011-04-04,911.0220303344197
2011-04-05,918.3719478585102
2011-04-06,908.1954769950985
2011-04-07,900.2596208079075
2011-04-08,893.2988805539611
2011-04-11,883.1124796480713
2011-04-12,872.0083802548706
2011-04-13,869.5831509467463
2011-04-14,860.724105803878
2011-04-15,861.4110137694063
2011-04-18,855.7821304801722
2011-04-19,851.6016586737089
2011-04-20,848.7365640525838
2011-04-21,849.2017481148234
2011-04-22,849.2017481148234
2011-04-25,847.7985264766946
2011-04-26,836.855975203495
2011-04-27,832.2568759543819
2011-04-28,816.4873309241837
2011-04-29,823.5144048643634
2011-05-02,817.5033334323566
2011-05-03,817.2426093202961
2011-05-04,810.7794306249586
2011-05-05,821.4759871571823
2011-05-06,830.134365384193
2011-05-09,865.8508210726467
2011-05-10,889.5876413742013
2011-05-11,875.2031536540964
2011-05-12,878.4216202301621
2011-05-13,867.4254489187055
2011-05-16,860.0018738509427
2011-05-17,868.9688201853352
2011-05-18,877.95852031049
2011-05-19,875.6088413205173
2011-05-20,876.8021583541309
2011-05-23,872.4004397230951
2011-05-24,866.4020322739568
2011-05-25,871.707057402191
2011-05-26,875.4432895759796
2011-05-27,870.2757599351803
2011-05-30,869.6354252952365
2011-05-31,864.8698027591208
2011-06-01,832.5400605440456
2011-06-02,831.4725550177036
2011-06-03,825.8800857324692
2011-06-06,816.3984585307841
2011-06-07,811.1535933748424
2011-06-08,803.3767264837027
2011-06-09,823.2280733861065
2011-06-10,825.6947992791063
2011-06-13,830.2115225295915
2011-06-14,839.7468744018972
2011-06-15,846.5301563953234
2011-06-16,845.0237046893309
2011-06-17,856.9343680405088
2011-06-20,861.7223521691872
2011-06-21,867.0798188823603
2011-06-22,856.1745704575891
2011-06-23,873.7663793732419
2011-06-24,865.9340426047718
2011-06-27,866.347922635636
2011-06-28,872.9835169217215
2011-06-29,885.2667858029804
2011-06-30,892.501996719584
2011-07-01,908.0523756258438
