Date,ACWI ESG SELECTION P-SERIES
2018-05-31,1000.0
2018-06-01,1009.4109901681652
2018-06-04,1017.8670708013333
2018-06-05,1016.9813901842625
2018-06-06,1025.425319166003
2018-06-07,1024.4473651465667
2018-06-08,1023.0304245683747
2018-06-11,1025.9751777649276
2018-06-12,1027.2998757845344
2018-06-13,1025.0657850522748
2018-06-14,1023.5186851677313
2018-06-15,1020.0965216143491
2018-06-18,1015.3888881626285
2018-06-19,1006.8472426314743
2018-06-20,1009.768587245698
2018-06-21,1003.4345678197163
2018-06-22,1005.884489457077
2018-06-25,991.6035390911069
2018-06-26,990.7245838796766
2018-06-27,981.5547320284761
2018-06-28,982.1634610032248
2018-06-29,990.069751531467
2018-07-02,986.1770818945344
2018-07-03,985.5875912132287
2018-07-04,985.4601750247144
2018-07-05,991.9860235295675
2018-07-06,1000.5455346865302
2018-07-09,1010.6714854304605
2018-07-10,1012.049312589188
2018-07-11,1004.0039098035727
2018-07-12,1010.2250276232695
2018-07-13,1013.0127362836454
2018-07-16,1011.6749914854361
2018-07-17,1014.6912144143857
2018-07-18,1017.3374303532909
2018-07-19,1012.3486449917672
2018-07-20,1015.3206290558868
2018-07-23,1015.7067026951717
2018-07-24,1020.8834589061037
2018-07-25,1027.3030176994864
2018-07-26,1029.6752246842052
2018-07-27,1025.767447636171
2018-07-30,1019.7469585999688
2018-07-31,1020.8838626820906
2018-08-01,1019.3561012248002
2018-08-02,1016.6228982105802
2018-08-03,1020.7598563642407
2018-08-06,1020.4522538963794
2018-08-07,1025.6822159450792
2018-08-08,1025.1755163078442
2018-08-09,1024.4180671275958
2018-08-10,1011.6788398358958
2018-08-13,1004.1954469646282
2018-08-14,1008.8654554520965
2018-08-15,998.1933185041759
2018-08-16,1003.2008692707525
2018-08-17,1005.6359341037813
2018-08-20,1010.1580311920457
2018-08-21,1014.2385369306214
2018-08-22,1017.3251665801718
2018-08-23,1015.1176064316372
2018-08-24,1021.0260676103161
2018-08-27,1032.0317515258698
2018-08-28,1033.8476117564219
2018-08-29,1037.3855549221455
2018-08-30,1031.1633278119125
2018-08-31,1028.2849130767731
2018-09-03,1025.8553438430029
2018-09-04,1020.0597474638676
2018-09-05,1012.9047284817858
2018-09-06,1010.1213101061937
2018-09-07,1007.6560912271277
2018-09-10,1010.2529584307822
2018-09-11,1010.3708504702735
2018-09-12,1011.8083678424047
2018-09-13,1017.2827904273089
2018-09-14,1021.4221702108405
2018-09-17,1017.3515017811109
2018-09-18,1022.5305180814958
2018-09-19,1025.9084898426672
2018-09-20,1034.7592896440726
2018-09-21,1038.457304899786
