Date,NORTH AMERICA SRI
2007-09-28,1078.9029708269584
2007-10-01,1091.5771445509342
2007-10-02,1094.6956370589694
2007-10-03,1089.0850336333494
2007-10-04,1091.7557996264395
2007-10-05,1104.2156290502353
2007-10-08,1108.179805445693
2007-10-09,1115.0884019308276
2007-10-10,1106.7358933625655
2007-10-11,1096.5557575434111
2007-10-12,1104.9913568705135
2007-10-15,1092.256267031818
2007-10-16,1090.1580695130729
2007-10-17,1088.501573020845
2007-10-18,1084.4535403989114
2007-10-19,1063.5932283894495
2007-10-22,1076.596926402692
2007-10-23,1078.212360294166
2007-10-24,1077.4349915821595
2007-10-25,1073.7865164205607
2007-10-26,1080.7699201192725
2007-10-29,1085.7587675979682
2007-10-30,1077.6015201214911
2007-10-31,1088.287450103584
2007-11-01,1065.9149557790577
2007-11-02,1067.437194542136
2007-11-05,1066.9098336992256
2007-11-06,1073.2745318623138
2007-11-07,1037.7297153265847
2007-11-08,1030.2404701934033
2007-11-09,1013.4362800753618
2007-11-12,1018.4433211263996
2007-11-13,1039.9386399352782
2007-11-14,1028.5802345959198
2007-11-15,1019.4849219089974
2007-11-16,1028.2009932987742
2007-11-19,1010.9228742890174
2007-11-20,1004.2963703572585
2007-11-21,984.9744058280247
2007-11-22,984.3157535034782
2007-11-23,1001.4828905805616
2007-11-26,980.9316630746284
2007-11-27,993.0388894260846
2007-11-28,1027.2293439595965
2007-11-29,1026.6570453281622
2007-11-30,1036.1027800627207
2007-12-03,1032.4209675283403
2007-12-04,1022.1176391618045
2007-12-05,1041.460074396118
2007-12-06,1055.8756268893276
2007-12-07,1050.7427767418355
2007-12-10,1055.029526602192
2007-12-11,1034.4281910761592
2007-12-12,1042.335772117594
2007-12-13,1047.754573363886
2007-12-14,1046.432841264819
2007-12-17,1036.7222616608076
2007-12-18,1039.2101701974461
2007-12-19,1040.5083662198615
2007-12-20,1048.2117746178103
2007-12-21,1061.7190459867647
2007-12-24,1068.0045941071871
2007-12-25,1068.0045941071871
2007-12-26,1059.5436393385971
2007-12-27,1041.9187591054997
2007-12-28,1034.6926864767704
2007-12-31,1032.6261226088477
2008-01-01,1032.6261226088477
2008-01-02,1008.173470499994
2008-01-03,1007.0670968165023
2008-01-04,978.9106642685773
2008-01-07,983.229001023725
2008-01-08,969.6539216616899
2008-01-09,982.971230607914
2008-01-10,986.421682423722
2008-01-11,967.9839997369932
2008-01-14,973.5077550250013
2008-01-15,952.0339915366496
2008-01-16,958.053322092651
2008-01-17,931.5008915988072
2008-01-18,931.6835323527582
2008-01-21,935.5963834651596
2008-01-22,925.8361263283402
2008-01-23,949.1427731192373
2008-01-24,949.5840310120302
2008-01-25,937.0158227419372
2008-01-28,943.6720093649446
2008-01-29,947.9194928686856
2008-01-30,943.3031259915309
2008-01-31,956.3360812643962
2008-02-01,966.9753415894346
2008-02-04,957.9943892095799
2008-02-05,943.0202272865637
2008-02-06,937.5792587908329
2008-02-07,953.3245272386266
2008-02-08,951.2969414227912
2008-02-11,959.7549676185296
2008-02-12,963.1208387165689
2008-02-13,976.4818647706031
2008-02-14,958.3096362006862
2008-02-15,952.658502157702
2008-02-18,954.5677044600317
2008-02-19,948.5051586310541
2008-02-20,967.2057815233478
2008-02-21,948.3486861537284
2008-02-22,955.800100091649
2008-02-25,969.234223219207
2008-02-26,975.0348893945705
2008-02-27,961.0998855537774
2008-02-28,948.3482696100435
2008-02-29,925.4684154384905
2008-03-03,925.0062442291025
2008-03-04,921.3570145627044
2008-03-05,924.989845456431
2008-03-06,903.5821055507427
2008-03-07,896.7546796040334
2008-03-10,884.203442691473
2008-03-11,920.2331930993356
2008-03-12,905.7418743350737
2008-03-13,904.9611888196107
2008-03-14,886.5247988398605
2008-03-17,872.7016166202412
2008-03-18,904.1439053495666
2008-03-19,889.2650966489036
2008-03-20,918.047622966151
2008-03-21,918.047622966151
2008-03-24,934.0009012854428
2008-03-25,926.6368414491295
2008-03-26,907.2623400668168
