Date,EUROPE & MIDDLE EAST SRI
2010-05-26,935.5527488322034
2010-05-27,962.852367592009
2010-05-28,960.4161168299221
2010-05-31,964.3189686994763
2010-06-01,969.5670822520394
2010-06-02,971.8721744337109
2010-06-03,985.5984087299937
2010-06-04,966.9900056522496
2010-06-07,957.454903603588
2010-06-08,946.7405257010591
2010-06-09,966.7223142318463
2010-06-10,984.2172138607757
2010-06-11,985.5445436803703
2010-06-14,1000.1245812174509
2010-06-15,1008.7954251289824
2010-06-16,1011.7688262973437
2010-06-17,1011.3849911921108
2010-06-18,1017.0900454545196
2010-06-21,1027.51697604198
2010-06-22,1022.0039196143955
2010-06-23,1014.1884837653754
2010-06-24,996.3273875542973
2010-06-25,993.3308645838821
2010-06-28,1002.0228548125685
2010-06-29,973.1211108924672
2010-06-30,967.9007517565126
2010-07-01,946.9538856376163
2010-07-02,949.8517679184301
2010-07-05,948.7911319899674
2010-07-06,972.4046169155902
2010-07-07,986.5263006590394
2010-07-08,993.4737769551589
2010-07-09,1001.7301704724372
2010-07-12,1004.1441349513184
2010-07-13,1021.6272973616263
2010-07-14,1021.8907375478533
2010-07-15,1012.1205252930179
2010-07-16,994.0918720090165
2010-07-19,986.9884223698624
2010-07-20,986.3742713732635
2010-07-21,995.6785599425671
2010-07-22,1015.7511187182544
2010-07-23,1021.5524665705303
2010-07-26,1024.3614840893656
2010-07-27,1027.77018749287
2010-07-28,1023.6883641771104
2010-07-29,1019.2450493720623
2010-07-30,1016.2509000128737
2010-08-02,1041.4355661665595
2010-08-03,1044.5040597709637
2010-08-04,1040.3569658285949
2010-08-05,1036.8313121554086
2010-08-06,1025.7430881751563
2010-08-09,1038.5508687886863
2010-08-10,1030.700487437819
2010-08-11,1010.2269350943035
2010-08-12,1009.2472715885332
2010-08-13,1008.6272162773713
2010-08-16,1010.9097965001546
2010-08-17,1024.5054071463928
2010-08-18,1024.14129778825
2010-08-19,1010.278607152366
2010-08-20,1003.1636533320009
2010-08-23,1008.5487057782813
2010-08-24,993.6660491241083
2010-08-25,984.9890827278239
2010-08-26,994.0503110485444
2010-08-27,1000.9289414187696
2010-08-30,1000.1481955962497
2010-08-31,1000.0
2010-09-01,1027.3416579692444
2010-09-02,1027.8324892331555
2010-09-03,1035.7777591985011
2010-09-06,1038.0500222650724
2010-09-07,1032.4292569648378
2010-09-08,1043.8129478449093
2010-09-09,1056.5298097622886
2010-09-10,1053.4954211352133
2010-09-13,1060.4193428853064
2010-09-14,1060.1287134671766
2010-09-15,1056.7678740536855
2010-09-16,1048.6462912320853
2010-09-17,1048.0913990299377
2010-09-20,1060.516393076306
2010-09-21,1057.543658607134
2010-09-22,1043.2774498462888
2010-09-23,1043.3146637449138
2010-09-24,1055.606234451276
2010-09-27,1049.5813504388188
2010-09-28,1047.6595241087766
2010-09-29,1042.2658516063218
2010-09-30,1037.8907833072092
2010-10-01,1034.804971792048
2010-10-04,1028.381788025828
2010-10-05,1042.445965875847
2010-10-06,1045.7048361374823
2010-10-07,1045.2757332944257
2010-10-08,1044.7247119307397
2010-10-11,1048.5051121328286
2010-10-12,1045.0650753510583
2010-10-13,1060.0364386519902
2010-10-14,1059.3212135820136
2010-10-15,1061.2173868412372
2010-10-18,1062.2435589765018
2010-10-19,1059.1022421698622
2010-10-20,1063.7073074361842
2010-10-21,1070.6752758952794
2010-10-22,1067.3172805174363
2010-10-25,1069.543886255099
2010-10-26,1068.257598989364
2010-10-27,1060.829606163696
2010-10-28,1064.9414452141773
2010-10-29,1065.0125614174895
2010-11-01,1065.7371215724672
2010-11-02,1070.3098243998538
2010-11-03,1064.6904538512492
2010-11-04,1082.4045477481147
2010-11-05,1085.015885555447
2010-11-08,1084.2287441337423
2010-11-09,1090.6718309494195
2010-11-10,1084.6963852826543
2010-11-11,1084.2953231799795
2010-11-12,1080.1123566044814
2010-11-15,1088.552271899309
2010-11-16,1063.647734476142
2010-11-17,1068.0072071408567
2010-11-18,1081.9548136315282
2010-11-19,1075.5454260623198
2010-11-22,1068.5433928297205
2010-11-23,1053.355906388758
2010-11-24,1063.9964438080528
2010-11-25,1068.5131321415558
2010-11-26,1063.6349609473245
2010-11-29,1045.909755066248
2010-11-30,1043.6380789725197
2010-12-01,1066.3976234648749
2010-12-02,1086.2765104964217
2010-12-03,1085.6923095984198
2010-12-06,1086.0486315378453
2010-12-07,1094.89306368115
2010-12-08,1100.5008464881694
2010-12-09,1102.7519937073594
2010-12-10,1102.149938162962
2010-12-13,1104.917593186451
2010-12-14,1107.2358297483618
2010-12-15,1100.1414965870615
2010-12-16,1104.0927616506972
2010-12-17,1100.2347396779064
2010-12-20,1108.5421808766625
2010-12-21,1118.7273754869198
2010-12-22,1118.90355035874
2010-12-23,1120.8479878975015
2010-12-24,1120.6808327389824
