Date,WORLD ex UK SRI
2007-09-28,1000.0
2007-10-01,1009.3048123502225
2007-10-02,1016.6432701806024
2007-10-03,1014.4705149193298
2007-10-04,1014.127443560045
2007-10-05,1022.5564083788416
2007-10-08,1023.9550950410938
2007-10-09,1030.296072614881
2007-10-10,1025.2000019327677
2007-10-11,1021.6723311576933
2007-10-12,1024.9655391443432
2007-10-15,1013.6805966579799
2007-10-16,1007.8035977431475
2007-10-17,1005.7850911067346
2007-10-18,1004.1811843026807
2007-10-19,991.2415953402267
2007-10-22,992.0437758926947
2007-10-23,996.3515436488987
2007-10-24,994.190064825175
2007-10-25,993.9154684783483
2007-10-26,1001.0536595331981
2007-10-29,1007.6774426834759
2007-10-30,1002.4940834050896
2007-10-31,1010.6114844681488
2007-11-01,998.5906470843745
2007-11-02,994.8627834535653
2007-11-05,991.9128547164084
2007-11-06,995.7727306312948
2007-11-07,975.819162140914
2007-11-08,965.1404662115966
2007-11-09,952.5873475080546
2007-11-12,953.4564934827373
2007-11-13,963.9802570723627
2007-11-14,963.4474747092415
2007-11-15,956.9676880207593
2007-11-16,957.3110179747015
2007-11-19,943.2222776762816
2007-11-20,942.3755641339997
2007-11-21,924.1136529574264
2007-11-22,923.5581431484005
2007-11-23,937.4433183326119
2007-11-26,929.1537670480568
2007-11-27,935.0690974007139
2007-11-28,956.7840702547386
2007-11-29,961.8723960828452
2007-11-30,971.1140278534207
2007-12-03,969.8893236029867
2007-12-04,960.543869845142
2007-12-05,975.2780185918516
2007-12-06,984.6370358704205
2007-12-07,984.4918608663861
2007-12-10,987.0024807167599
2007-12-11,977.8167026023593
2007-12-12,980.1927431608917
2007-12-13,973.9355459775164
2007-12-14,972.5109724618031
2007-12-17,959.5787784715045
2007-12-18,960.4943617680316
2007-12-19,958.4351240334507
2007-12-20,963.1901724428966
2007-12-21,973.5567576585981
2007-12-24,976.5185668890607
2007-12-25,978.9372586138654
2007-12-26,975.3492825277841
2007-12-27,965.8220244378116
2007-12-28,959.9104049729247
2007-12-31,961.9804306138377
2008-01-01,961.9804306138377
2008-01-02,948.0743879561828
2008-01-03,944.751478023826
2008-01-04,921.3179710300132
2008-01-07,920.4184645739952
2008-01-08,917.6148162434172
2008-01-09,923.6708103960697
2008-01-10,921.2503332622126
2008-01-11,908.7602088304459
2008-01-14,913.5612535802632
2008-01-15,893.4474537493477
2008-01-16,888.9436401913554
2008-01-17,878.23940296575
2008-01-18,876.6240441855033
2008-01-21,860.3693450953859
2008-01-22,848.0278704345513
2008-01-23,856.9434740225206
2008-01-24,871.1140027177404
2008-01-25,872.7614207864889
2008-01-28,868.4280061982877
2008-01-29,877.1425800417489
2008-01-30,871.5434327675379
2008-01-31,880.336312126329
2008-02-01,891.4974715435017
2008-02-04,890.0553776746654
2008-02-05,873.44514389976
2008-02-06,865.8997102573043
2008-02-07,870.9729384656765
2008-02-08,867.2927323105451
2008-02-11,869.3890470019027
2008-02-12,877.6075344545168
2008-02-13,884.1907567401048
2008-02-14,881.3067354965377
2008-02-15,873.2931093682591
2008-02-18,877.7311062952829
2008-02-19,877.799293168893
2008-02-20,879.6016324160914
2008-02-21,875.3820966217096
2008-02-22,875.215342744504
2008-02-25,888.5461998620017
2008-02-26,895.4582891562529
2008-02-27,891.2831835575311
2008-02-28,879.2126697597289
2008-02-29,863.3942933554741
2008-03-03,854.848113082899
2008-03-04,848.5787824265832
2008-03-05,852.1375001541826
2008-03-06,840.532021349838
2008-03-07,829.3372775993454
2008-03-10,818.8524592189302
2008-03-11,840.1832508626128
2008-03-12,837.3278564615526
2008-03-13,829.7108695449645
2008-03-14,818.4703015764115
2008-03-17,799.4061292838778
2008-03-18,821.5940833928186
2008-03-19,817.9008250565033
2008-03-20,831.2126112927458
2008-03-21,833.3161869437422
2008-03-24,839.4616689640338
2008-03-25,846.7628189185642
2008-03-26,837.4418571658849
2008-03-27,833.5485809422797
2008-03-28,831.9660642229142
2008-03-31,825.0624656958568
2008-04-01,852.0463151996222
2008-04-02,858.5992144947347
2008-04-03,859.8671413199758
2008-04-04,857.6006387283243
2008-04-07,861.5099465092205
2008-04-08,855.3586645759971
2008-04-09,844.4286744317748
2008-04-10,845.1135002257989
2008-04-11,837.0921486206761
2008-04-14,828.8612264314664
2008-04-15,832.6148212322357
2008-04-16,842.2723147051082
2008-04-17,842.1955837730775
2008-04-18,858.0163158999085
2008-04-21,856.1379190620182
2008-04-22,846.4111096955232
2008-04-23,850.230219866317
2008-04-24,858.2606521788787
2008-04-25,870.2588803814812
2008-04-28,872.3746100877781
2008-04-29,868.3940752241799
2008-04-30,870.1982500739149
2008-05-01,881.8524586660631
2008-05-02,892.8871503856712
2008-05-05,888.624044985437
2008-05-06,887.0803946642638
2008-05-07,888.5132240194209
