Date,EUROPE ex UK SRI
2007-09-28,1000.0
2007-10-01,1010.3249939034046
2007-10-02,1016.6369033488357
2007-10-03,1016.7504215104
2007-10-04,1014.3090827794786
2007-10-05,1021.2293064920173
2007-10-08,1018.2496662024759
2007-10-09,1024.010186479471
2007-10-10,1023.9284840982771
2007-10-11,1028.8675945382706
2007-10-12,1028.4868212760982
2007-10-15,1016.6913454722289
2007-10-16,1008.9533798360258
2007-10-17,1010.9869563045722
2007-10-18,1004.7996773043693
2007-10-19,999.7940631510226
2007-10-22,986.5103887285713
2007-10-23,996.4580106408431
2007-10-24,989.6853658811903
2007-10-25,1000.6032192569751
2007-10-26,1003.320165825606
2007-10-29,1008.0623976933059
2007-10-30,1005.989934701898
2007-10-31,1014.4734019120446
2007-11-01,1000.3249171015002
2007-11-02,999.2693318617793
2007-11-05,997.1869588523874
2007-11-06,1001.2326413158145
2007-11-07,993.1413691044452
2007-11-08,983.0571719037958
2007-11-09,968.1064466301503
2007-11-12,972.9676026677105
2007-11-13,975.4552561640344
2007-11-14,983.2809189519392
2007-11-15,975.5677340979429
2007-11-16,972.4285066260848
2007-11-19,952.7289267719889
2007-11-20,965.1346328949596
2007-11-21,944.6169993606092
2007-11-22,948.2035345857694
2007-11-23,963.4236087366392
2007-11-26,957.3967853937445
2007-11-27,955.2615097184288
2007-11-28,974.1065564642432
2007-11-29,978.0683462505989
2007-11-30,989.4969411485581
2007-12-03,986.658462619677
2007-12-04,978.0989562784606
2007-12-05,991.406672760082
2007-12-06,987.7860587925003
2007-12-07,995.6477079750862
2007-12-10,1000.587097354438
2007-12-11,996.4278633496264
2007-12-12,997.0875413298518
2007-12-13,975.859405350633
2007-12-14,978.9461816527961
2007-12-17,962.6649503428905
2007-12-18,963.3168430818919
2007-12-19,959.4238250391785
2007-12-20,960.2950332083146
2007-12-21,970.4430865062261
2007-12-24,971.0756292573388
2007-12-25,971.0756292573388
2007-12-26,971.3667434110293
2007-12-27,972.1954689297318
2007-12-28,974.0782078841835
2007-12-31,974.089886425081
2008-01-01,974.089886425081
2008-01-02,963.3054908900896
2008-01-03,953.9736019179121
2008-01-04,937.3334898759931
2008-01-07,935.9429524481069
2008-01-08,947.310977002621
2008-01-09,937.9559393809066
2008-01-10,933.3248900314128
2008-01-11,929.7812153329808
2008-01-14,937.1381547910314
2008-01-15,906.7971254647047
2008-01-16,896.99310856182
2008-01-17,895.41550947607
2008-01-18,887.2451653594148
2008-01-21,838.2092898224265
2008-01-22,854.0940109965284
2008-01-23,827.6045262226438
2008-01-24,869.2937434494395
2008-01-25,869.411991057144
2008-01-28,863.1765846861673
2008-01-29,875.8420109171731
2008-01-30,874.4766816690734
2008-01-31,873.9624646631967
2008-02-01,891.9155810962864
2008-02-04,893.3942369796974
2008-02-05,862.255847350628
2008-02-06,868.3844700930788
2008-02-07,854.006359517091
2008-02-08,851.6342851585523
2008-02-11,845.9597502191478
2008-02-12,871.5627536449476
2008-02-13,876.6662814092144
2008-02-14,877.4268445271991
2008-02-15,863.6161101838206
2008-02-18,877.5510201863062
2008-02-19,880.1385583862342
2008-02-20,870.4414022265165
2008-02-21,876.6660801658833
2008-02-22,870.7648483624009
2008-02-25,886.122019087116
2008-02-26,897.23345303851
2008-02-27,898.6934851063892
2008-02-28,884.8134252028422
2008-02-29,876.2037179719035
2008-03-03,866.8436829554411
2008-03-04,852.7882400526463
2008-03-05,865.4426617833573
2008-03-06,854.8577277816628
2008-03-07,844.9183568003929
2008-03-10,835.2896662761761
2008-03-11,848.2864057517545
2008-03-12,856.0457962736325
2008-03-13,843.8435574680238
2008-03-14,839.5482868949439
2008-03-17,811.0083730005709
