Date,WORLD ex AU SRI
2007-09-28,1000.0
2007-10-01,1009.5563595447837
2007-10-02,1016.1099042014328
2007-10-03,1013.8891657099904
2007-10-04,1014.4188438726253
2007-10-05,1021.921635536138
2007-10-08,1022.7804166030807
2007-10-09,1029.5369998375543
2007-10-10,1025.0613570756282
2007-10-11,1021.9858345985316
2007-10-12,1025.198336790738
2007-10-15,1013.4891375308617
2007-10-16,1008.8040061845869
2007-10-17,1008.0267307308189
2007-10-18,1004.5826134239262
2007-10-19,991.703879819
2007-10-22,992.0957446381449
2007-10-23,996.4805520268442
2007-10-24,993.5388438858495
2007-10-25,994.1000919931026
2007-10-26,1000.5630205028243
2007-10-29,1006.963767802764
2007-10-30,1002.1526986892866
2007-10-31,1010.6245198602703
2007-11-01,997.507715447091
2007-11-02,994.4083800498598
2007-11-05,990.1763595159024
2007-11-06,994.192140070638
2007-11-07,973.040452008096
2007-11-08,965.729070347892
2007-11-09,952.7524984261399
2007-11-12,955.0268527255885
2007-11-13,964.0367399651811
2007-11-14,962.9094330396968
2007-11-15,955.7846672573418
2007-11-16,955.9699594953128
2007-11-19,939.5723448245641
2007-11-20,941.2804679896266
2007-11-21,922.4840495793832
2007-11-22,923.3426210832216
2007-11-23,938.2764278021448
2007-11-26,929.072841975986
2007-11-27,934.4638407536648
2007-11-28,958.0344256164393
2007-11-29,963.2789894068056
2007-11-30,973.3647731871293
2007-12-03,972.2031102302224
2007-12-04,961.9176187701675
2007-12-05,977.7666769526336
2007-12-06,985.6241885103693
2007-12-07,985.983427835516
2007-12-10,989.5658633803545
2007-12-11,980.0559279416866
2007-12-12,982.7075324520841
2007-12-13,974.7644159175978
2007-12-14,975.0629928787287
2007-12-17,961.9644116646427
2007-12-18,962.7444621533517
2007-12-19,960.9016091309488
2007-12-20,965.7338890810827
2007-12-21,975.7375508691022
2007-12-24,978.2221601060978
2007-12-25,980.5420922535051
2007-12-26,976.9821287201968
2007-12-27,968.1802237028928
2007-12-28,962.3527751317637
2007-12-31,963.9789415148764
2008-01-01,963.9789415148764
2008-01-02,948.9314676524672
2008-01-03,946.1242677083732
2008-01-04,922.0563486970855
2008-01-07,922.0107048335033
2008-01-08,918.5641267230227
2008-01-09,922.7038827346136
2008-01-10,919.0904626516249
2008-01-11,907.1061051069332
2008-01-14,911.6641270332682
2008-01-15,891.316855774625
2008-01-16,887.9154092092795
2008-01-17,877.6480795148751
2008-01-18,876.1280627961034
2008-01-21,858.6349665233504
2008-01-22,852.0957139466677
2008-01-23,857.8715728906047
2008-01-24,873.5393812855741
2008-01-25,873.4401768730862
2008-01-28,868.3826799401058
2008-01-29,879.4220104183904
2008-01-30,873.9861639571697
2008-01-31,883.7926916750712
2008-02-01,894.0336763170899
2008-02-04,892.2344966138954
2008-02-05,874.8380884169393
2008-02-06,868.8170728359898
2008-02-07,872.9388801895769
2008-02-08,869.9976790041046
2008-02-11,871.6191377992515
2008-02-12,882.0771093094751
2008-02-13,889.588397798627
2008-02-14,885.7821411260543
2008-02-15,876.732929073742
2008-02-18,883.1430640634645
2008-02-19,881.6245352469566
2008-02-20,884.0002341257411
2008-02-21,879.8187177249835
2008-02-22,879.8300968326793
2008-02-25,892.9398372226938
2008-02-26,899.7795690478371
2008-02-27,894.7357056873049
2008-02-28,882.3341546678766
2008-02-29,867.4761108772557
2008-03-03,858.8399384642921
2008-03-04,852.9603933691798
2008-03-05,858.2625648944078
2008-03-06,846.8050719102652
2008-03-07,836.6747753604185
2008-03-10,826.2989802431849
2008-03-11,846.7489639170318
2008-03-12,844.3028804160778
2008-03-13,836.7207258396174
2008-03-14,824.8397630807581
2008-03-17,803.3368258471294
2008-03-18,827.281794956774
2008-03-19,820.6996589768443
2008-03-20,834.7297849045167
2008-03-21,836.7487915758734
2008-03-24,842.3688977969114
2008-03-25,850.7415949358262
2008-03-26,840.3896121207343
2008-03-27,837.60778793442
2008-03-28,835.483876446794
2008-03-31,828.8830726033975
2008-04-01,857.1700442881879
2008-04-02,862.2150592156634
2008-04-03,862.6712880899221
2008-04-04,860.5238651306364
2008-04-07,865.5273196515138
2008-04-08,858.6829367934638
2008-04-09,848.7721757222005
2008-04-10,849.4668895261199
2008-04-11,840.7777023300794
2008-04-14,833.1379551743084
2008-04-15,836.8292164223608
2008-04-16,846.8417506838429
2008-04-17,846.5749110588441
2008-04-18,864.7937637542758
2008-04-21,859.5669729379098
2008-04-22,850.4082302426102
2008-04-23,854.2935839817472
2008-04-24,862.9276644198063
2008-04-25,876.1213025818575
2008-04-28,878.0598141090791
2008-04-29,872.7417091535993
2008-04-30,873.8068057201228
2008-05-01,886.4639249212298
2008-05-02,897.7085917264493
2008-05-05,892.5315423140719
2008-05-06,892.2916499329041
2008-05-07,893.784829589403
2008-05-08,893.0441736236694
2008-05-09,883.4361375090095
2008-05-12,885.8519590377058
2008-05-13,886.8872968473238
2008-05-14,891.2347835050455
2008-05-15,900.3492254234344
2008-05-16,900.2738360540319
2008-05-19,904.1453378229703
2008-05-20,888.8312520877033
2008-05-21,872.9422932045024
2008-05-22,876.9927474655594
2008-05-23,865.6636892800065
2008-05-26,861.8247489428014
2008-05-27,866.9863376435818
2008-05-28,875.5745460729001
2008-05-29,886.0282609585992
2008-05-30,891.3806920186485
2008-06-02,886.6790141091359
2008-06-03,888.6670995946419
2008-06-04,889.3659821314872
2008-06-05,890.5193813727386
2008-06-06,867.4178238548543
2008-06-09,863.028666929475
2008-06-10,866.0228152146155
2008-06-11,854.9321483905163
2008-06-12,859.6800543405925
2008-06-13,869.838703726185
2008-06-16,868.0976936807346
2008-06-17,864.7525239277035
2008-06-18,855.0630381226979
2008-06-19,852.7157943229661
2008-06-20,833.8484202444384
2008-06-23,837.8285210265797
2008-06-24,829.0071658590779
2008-06-25,835.2803907256164
2008-06-26,811.7562535212285
2008-06-27,806.80586900765
2008-06-30,808.6856311054565
2008-07-01,803.7963638527119
2008-07-02,788.69514374049
2008-07-03,796.5793380378651
2008-07-04,792.7275795451295
2008-07-07,793.7532555646085
2008-07-08,792.9950099205654
2008-07-09,788.8195798696615
2008-07-10,785.057990518481
2008-07-11,769.7449192208246
2008-07-14,768.6762322685213
2008-07-15,757.1135636361308
2008-07-16,774.0815113701588
2008-07-17,784.099092373853
2008-07-18,788.7472402016465
2008-07-21,788.255161562533
2008-07-22,795.2661686455108
2008-07-23,806.2675784646082
2008-07-24,795.613949165088
2008-07-25,793.9945988040124
2008-07-28,782.7399657885427
2008-07-29,795.3633023915295
2008-07-30,808.0387850745007
2008-07-31,804.4837996962422
2008-08-01,798.1947297958708
