Date,EMU REGION SRI
2012-05-31,1000.0
2012-06-01,975.7472997191788
2012-06-04,974.7145147808143
2012-06-05,975.2790789607063
2012-06-06,1001.3054593767948
2012-06-07,1009.8180491626002
2012-06-08,1007.8391010349161
2012-06-11,1005.9374469822528
2012-06-12,1003.1666710818918
2012-06-13,1003.3189661944172
2012-06-14,1006.5899281200872
2012-06-15,1023.7567235787545
2012-06-18,1018.3047254201817
2012-06-19,1039.9092027618087
2012-06-20,1046.8146909179854
2012-06-21,1039.6850965165359
2012-06-22,1030.7698841400088
2012-06-25,1009.7150330335911
2012-06-26,1007.9973475430731
2012-06-27,1021.7106651583545
2012-06-28,1020.4931590507282
2012-06-29,1066.589661055811
2012-07-02,1078.9948924308815
2012-07-03,1087.5765772999575
2012-07-04,1085.984219415958
2012-07-05,1075.680006073927
2012-07-06,1054.073553420874
2012-07-09,1053.6079756192032
2012-07-10,1062.2944937945447
2012-07-11,1063.3484414784073
2012-07-12,1059.015663483315
2012-07-13,1076.1839578884349
2012-07-16,1080.3206755246067
2012-07-17,1080.1884171988745
2012-07-18,1094.2420037060676
2012-07-19,1101.9412764916592
2012-07-20,1080.9599751032201
2012-07-23,1048.8602092858384
2012-07-24,1040.622243784932
2012-07-25,1045.6942207006925
2012-07-26,1082.7506762066894
2012-07-27,1100.0653571068328
2012-07-30,1113.3766455674743
2012-07-31,1103.0648942191813
2012-08-01,1103.7868883734761
2012-08-02,1076.4923482400532
2012-08-03,1115.8377549766853
2012-08-06,1130.6722830917065
2012-08-07,1142.7260885765988
2012-08-08,1140.7292549430674
2012-08-09,1144.7651586849727
2012-08-10,1137.4000570181288
2012-08-13,1135.8511188814982
2012-08-14,1142.4170452773178
2012-08-15,1139.9553184715053
2012-08-16,1150.5749265240527
2012-08-17,1158.484573357787
2012-08-20,1153.2689445831454
2012-08-21,1166.0727584056795
2012-08-22,1151.4259405837408
2012-08-23,1143.328211553156
2012-08-24,1143.8375937883436
2012-08-27,1154.9994334264193
2012-08-28,1145.8040988483153
2012-08-29,1143.3455113976459
2012-08-30,1133.6925372588885
2012-08-31,1147.2966455418282
2012-09-03,1157.1015916371641
2012-09-04,1148.8054899768995
2012-09-05,1152.3359185628055
2012-09-06,1183.4104219680833
2012-09-07,1189.6893919466597
2012-09-10,1188.3322576564574
2012-09-11,1192.6716440830887
2012-09-12,1200.0539614442662
2012-09-13,1193.1081004325913
2012-09-14,1211.5070620279323
2012-09-17,1207.5326095340554
2012-09-18,1195.4555592256293
2012-09-19,1202.1089706894993
2012-09-20,1198.6084267537335
2012-09-21,1208.6737440534735
2012-09-24,1199.0559716313164
2012-09-25,1209.533525361004
2012-09-26,1183.3725838218302
2012-09-27,1185.9139065298166
2012-09-28,1169.245577557254
2012-10-01,1189.1342826644443
2012-10-02,1184.2714622230744
2012-10-03,1182.055566691414
2012-10-04,1180.2222748535835
2012-10-05,1197.7356632368947
2012-10-08,1184.4115271622402
2012-10-09,1177.051282336117
2012-10-10,1167.0869842348595
2012-10-11,1178.2167468815778
2012-10-12,1172.2177274785704
2012-10-15,1181.4784706171426
2012-10-16,1201.4530731830066
2012-10-17,1210.0715607762831
2012-10-18,1211.8408015383027
2012-10-19,1199.5365066614502
2012-10-22,1194.727598751244
2012-10-23,1170.5940902165491
2012-10-24,1179.3220327443935
2012-10-25,1177.8207917153534
2012-10-26,1180.7814715183056
2012-10-29,1175.0663545538073
2012-10-30,1186.923516377345
2012-10-31,1184.5937091231954
2012-11-01,1196.6931652433561
2012-11-02,1201.8222240784614
2012-11-05,1190.1750610667495
2012-11-06,1197.7551372674293
2012-11-07,1175.9770343539924
2012-11-08,1170.5730079946527
2012-11-09,1171.956231554065
2012-11-12,1171.9077749648088
2012-11-13,1180.0129245934927
2012-11-14,1176.4558874482188
2012-11-15,1166.464451677173
2012-11-16,1150.4278356047514
2012-11-19,1176.6469799889396
2012-11-20,1184.596583119056
2012-11-21,1191.6047837195774
2012-11-22,1201.0493631636036
2012-11-23,1208.8321655660075
2012-11-26,1204.9454307326282
2012-11-27,1206.3919169831547
2012-11-28,1208.5377692411055
2012-11-29,1223.6062212293546
2012-11-30,1220.45270878139
2012-12-03,1223.4928872718774
2012-12-04,1225.6953548433685
2012-12-05,1225.9001743376855
2012-12-06,1234.4886447911956
2012-12-07,1235.0100587897034
2012-12-10,1232.8628510485978
2012-12-11,1242.3894436250548
2012-12-12,1244.9264282346655
2012-12-13,1242.5610879043352
2012-12-14,1243.4322891657869
2012-12-17,1242.5789853020822
2012-12-18,1244.1765446591226
2012-12-19,1253.6376469036975
2012-12-20,1255.7001391620438
2012-12-21,1251.1693281040018
2012-12-24,1251.4152012779628
2012-12-25,1251.4152012779628
2012-12-26,1251.4152012779618
2012-12-27,1255.9229409401512
2012-12-28,1244.2832712522345
2012-12-31,1248.8238693605945
2013-01-01,1248.8238693605945
2013-01-02,1280.1443638241672
2013-01-03,1276.4311044308004
2013-01-04,1274.1461629341645
2013-01-07,1267.862279790228
2013-01-08,1264.6445117695719
2013-01-09,1271.2042955563093
2013-01-10,1270.6589479005063
2013-01-11,1272.4954928623843
2013-01-14,1272.009064266631
2013-01-15,1264.8608495669955
2013-01-16,1266.2306932713946
2013-01-17,1274.976518927315
2013-01-18,1271.9452550270298
2013-01-21,1278.8318585644063
2013-01-22,1274.7472562937164
2013-01-23,1273.7667632324267
2013-01-24,1281.6111594697477
2013-01-25,1288.8111140513563
2013-01-28,1287.5787608762105
2013-01-29,1292.772077102226
2013-01-30,1292.519843665643
2013-01-31,1286.2149623337793
2013-02-01,1293.603062276553
2013-02-04,1260.637056579914
2013-02-05,1267.9328790939458
2013-02-06,1255.3064446600044
2013-02-07,1251.6262027983478
2013-02-08,1260.489679414443
2013-02-11,1255.4438078970513
2013-02-12,1267.2654477452998
2013-02-13,1271.4167982338067
2013-02-14,1265.215029613706
2013-02-15,1261.4482523964987
2013-02-18,1262.9420267422279
2013-02-19,1276.7894888267888
2013-02-20,1267.2985849006343
2013-02-21,1240.5742704001746
2013-02-22,1263.062280697618
2013-02-25,1271.2257063213472
2013-02-26,1241.8608031758897
2013-02-27,1255.0512620793022
2013-02-28,1264.017684499728
2013-03-01,1259.1175849123001
2013-03-04,1258.7747470577967
2013-03-05,1287.1681675044024
2013-03-06,1290.1458496117148
2013-03-07,1298.2412370045097
2013-03-08,1314.8097370426528
2013-03-11,1311.9521103061343
2013-03-12,1314.656514824059
2013-03-13,1314.9112385962517
2013-03-14,1329.2830494548573
2013-03-15,1321.0539235019287
2013-03-18,1314.9024395395181
2013-03-19,1306.1711882837203
2013-03-20,1319.500495360947
2013-03-21,1303.9775664478018
2013-03-22,1302.074701956621
2013-03-25,1292.1697603061275
2013-03-26,1291.6820053252918
2013-03-27,1279.9237012583028
