Date,NEW ZEALAND IMI GROWTH
1994-05-31,184.05556649537837
1994-06-30,170.67189958011497
1994-07-29,175.86640444330996
1994-08-31,185.1541024365314
1994-09-30,179.83222344785773
1994-10-31,190.90028097475158
1994-11-30,190.9076065171218
1994-12-30,185.75586056972202
1995-01-31,187.79822316591913
1995-02-28,191.5924737696035
1995-03-31,199.90944859964665
1995-04-28,222.32402671467662
1995-05-31,218.62548559339257
1995-06-30,210.0460597283446
1995-07-31,223.36399135920584
1995-08-31,215.79002286304276
1995-09-29,218.43980343781504
1995-10-31,226.23684302922436
1995-11-30,219.1324911137377
1995-12-29,220.62584183905423
1996-01-31,222.44581919014252
1996-02-29,227.53371035753236
1996-03-29,233.45633319889944
1996-04-30,232.6299340292621
1996-05-31,218.81202895924955
1996-06-28,225.33291268502978
1996-07-31,234.2317676453286
1996-08-30,244.4570654135131
1996-09-30,247.19734360642286
1996-10-31,269.0865592999539
1996-11-29,275.31594315580884
1996-12-31,274.81455066083305
1997-01-01,274.81455066083305
1997-01-02,275.2035033898131
1997-01-03,275.84456720845344
1997-01-06,278.7664743128693
1997-01-07,280.5679212909532
1997-01-08,278.269895302083
1997-01-09,278.8012103758017
1997-01-10,278.6640430192916
1997-01-13,277.24696146119277
1997-01-14,277.28092602023423
1997-01-15,280.45599410675766
1997-01-16,281.4023316019901
1997-01-17,281.97577162921857
1997-01-20,282.163380278698
1997-01-21,280.0569358273603
1997-01-22,280.2097485897831
1997-01-23,275.97845217551344
1997-01-24,273.07177952325316
1997-01-27,270.4576929483279
1997-01-28,267.9874937691245
1997-01-29,269.98535705130996
1997-01-30,270.93326557433676
1997-01-31,269.3527645590046
1997-02-03,268.1331909948432
1997-02-04,263.9334270814113
1997-02-05,263.5625391915301
1997-02-06,262.818604977991
1997-02-07,259.72189441437223
1997-02-10,260.64358876830954
1997-02-11,259.6960740792015
1997-02-12,260.459256848673
1997-02-13,265.7212981014073
1997-02-14,263.2360764029627
1997-02-17,262.6238687113643
1997-02-18,261.583485716862
1997-02-19,261.15773248385216
1997-02-20,262.5794056744776
1997-02-21,259.8022185950414
1997-02-24,261.8743582009859
1997-02-25,259.93369469387125
1997-02-26,257.4062263541914
1997-02-27,254.9834486012867
1997-02-28,256.0389179797269
1997-03-03,259.45953990400085
1997-03-04,262.40771399382226
1997-03-05,261.45429446061956
1997-03-06,261.36874897318114
1997-03-07,262.9489944693677
1997-03-10,260.3904615297078
1997-03-11,259.92953768823105
1997-03-12,260.3167586082587
1997-03-13,256.66481125887555
1997-03-14,254.0146007373282
1997-03-17,254.5751637785168
1997-03-18,252.17239140039416
1997-03-19,251.0839885693752
1997-03-20,252.05102627449773
1997-03-21,254.76542736854492
1997-03-24,255.63399651408426
1997-03-25,254.6051282350701
1997-03-26,254.57221179068006
1997-03-27,258.70365293979347
1997-03-28,258.57336115113395
1997-03-31,258.5955594993897
1997-04-01,257.16881381942426
1997-04-02,257.428477379514
1997-04-03,257.3629087354571
1997-04-04,256.6314696933234
1997-04-07,256.3462531305606
1997-04-08,256.2747068606566
1997-04-09,257.3435535424282
1997-04-10,258.71739618388483
1997-04-11,259.29727401966113
1997-04-14,258.02606096340173
1997-04-15,258.0446869217474
1997-04-16,259.029551966755
1997-04-17,260.19144776071033
1997-04-18,260.79740345934295
1997-04-21,261.39961232037575
1997-04-22,261.250410741512
